Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Exocyst complex,-0.9863799283154122,-1.9604947866070854,0.0,0.0,0.0,8/8,100.00%,EXOC6;EXOC8;EXOC4;EXOC7;EXOC5;EXOC3;EXOC2;EXOC1
prerank,ESCRT-III complex,-0.9160688665710187,-1.9123923624110821,0.0,0.0,0.0,10/10,100.00%,CHMP4B;CHMP3;CHMP4A;CHMP2B;CHMP6;CHMP1B;CHMP4C;CHMP5;CHMP2A;CHMP1A
prerank,NDC80 kinetochore complex,-0.9964209019327129,-1.8038707496408142,0.0,0.0,0.0,4/4,100.00%,SPC24;NUF2;NDC80;SPC25
prerank,Nup 107-160 subcomplex,-0.8978128361419865,-1.8016980860555476,0.0,0.0,0.0,9/9,100.00%,NUP98;SEC13;NUP43;NUP85;SEH1L;NUP37;NUP133;NUP160;NUP107
prerank,LTA-LTB-LTBR complex,-0.9874776386404294,-1.7581026401185842,0.0,0.0,0.0,3/3,100.00%,LTB;LTA;LTBR
prerank,KLK3-SCG2-SERPINA5 complex,-0.9491949910554561,-1.6910615105298776,0.0,0.0014444530423792206,0.016,3/3,100.00%,SERPINA5;SCG2;KLK3
prerank,IGF1-IGFBP3-ALS complex,-0.9753130590339892,-1.6882331511839714,0.0,0.001547628259692022,0.02,3/3,100.00%,IGFBP3;IGFALS;IGF1
prerank,LATS1-HTRA2-BIRC4 complex,-0.9638640429338103,-1.6871490397903601,0.0,0.001557300936315097,0.023,3/3,100.00%,XIAP;LATS1;HTRA2
prerank,Nogo-potassium channel complex,-0.9001431639226914,-1.667602520832711,0.0,0.0024676072807311685,0.04,4/4,100.00%,CNTNAP1;KCNA2;RTN4;KCNA1
prerank,Rnase/Mrp complex,-0.8931133428981349,-1.6616616616616615,0.0,0.00281668343263948,0.048,10/10,100.00%,POP1;RPP25;RPP14;POP5;RPP40;RPP38;POP4;RPP21;RPP30;POP7
prerank,Exocyst EXOC5-EXOC6-EXOC7 subcomplex,-0.9856887298747764,-1.660390082127696,0.0,0.0026591067371072013,0.05,3/3,100.00%,EXOC6;EXOC7;EXOC5
prerank,GNAI1-GPSM2-NUMA1 complex,-0.9742397137745975,-1.6527326886144973,0.0,0.0032048801877788955,0.067,3/3,100.00%,GPSM2;NUMA1;GNAI1
prerank,"NPC subcomplex (NUP96, NUP107, NUP133, NUP160)",-0.8962061560486757,-1.6419877219387593,0.0,0.004500026785873725,0.095,4/4,100.00%,NUP98;NUP133;NUP160;NUP107
prerank,GALNS-lysosomal hydrolase 1.27 MDa complex,-0.8715103793843951,-1.6272136119464369,0.0,0.006770873636152596,0.149,4/4,100.00%,GLB1;NEU1;GALNS;CTSA
prerank,hASC-1 complex,-0.9026485325697924,-1.6253301110293856,0.0,0.006536150016765973,0.154,4/4,100.00%,ASCC2;TRIP4;ASCC3;ASCC1
prerank,"Serine-palmitoyltransferase (SPTLC1, SPTLC2, SPTLC3) complex",-0.9330948121645796,-1.6229729010493226,0.0,0.006533893058887255,0.163,3/3,100.00%,SPTLC3;SPTLC2;SPTLC1
prerank,"Apoptosome, 700 kDa",-0.9348837209302325,-1.6068808825912126,0.005988023952095809,0.009463291623234452,0.228,3/3,100.00%,CASP9;CYCS;APAF1
prerank,IFNAR1-IFNAR2-IFNB1 complex,-0.9345259391771019,-1.6018397853583752,0.0,0.009870429122924674,0.246,3/3,100.00%,IFNAR1;IFNB1;IFNAR2
prerank,ESCRT-II complex,-0.9130590339892666,-1.5861311195214254,0.005952380952380952,0.013256657856046135,0.327,3/3,100.00%,SNF8;VPS36;VPS25
prerank,IL12A-IL12B-IL12RB1 complex,-0.8815742397137746,-1.5833355645398803,0.011904761904761904,0.013514663777760581,0.341,3/3,100.00%,IL12B;IL12A;IL12RB1
prerank,Arp2/3 protein complex,-0.8015048369759942,-1.5832538388158905,0.0,0.012871108359771982,0.341,7/7,100.00%,ARPC3;ARPC2;ARPC1B;ACTR3;ARPC5;ARPC4;ACTR2
prerank,GAA1-GPI8-PIGT-PIG-PIGS complex,-0.862513426423201,-1.581827484756748,0.0,0.012630757001259207,0.348,5/5,100.00%,PIGU;PIGK;PIGT;PIGS;GPAA1
prerank,IMP3-IMP4-MPP10 complex,-0.9180679785330947,-1.5756034034858062,0.005494505494505495,0.013588849001947994,0.383,3/3,100.00%,IMP4;MPHOSPH10;IMP3
prerank,SCAMP1-SCAMP2-SCAMP3 complex,-0.916994633273703,-1.5684700478413771,0.0058823529411764705,0.014579947896515257,0.413,3/3,100.00%,SCAMP3;SCAMP2;SCAMP1
prerank,GINS complex,-0.8432355046528275,-1.555115511551155,0.010416666666666666,0.017810106012535788,0.489,4/4,100.00%,GINS2;GINS1;GINS3;GINS4
prerank,Cathepsin A-beta-galactosidase-neuraminidase complex,-0.8711985688729874,-1.547225781537975,0.0,0.019812617932249598,0.544,3/3,100.00%,GLB1;NEU1;CTSA
prerank,VILIP-1-AChR-alpha-4-AChR-beta-2 complex,-0.8833631484794275,-1.5426482788305005,0.016666666666666666,0.020663703245147182,0.571,3/3,100.00%,VSNL1;CHRNB2;CHRNA4
prerank,APC/C complex,-0.7868147617341454,-1.5324494068387997,0.0,0.023427222781087984,0.631,7/7,100.00%,CDC27;CDC16;ANAPC7;ANAPC5;ANAPC2;CDC23;ANAPC1
prerank,AP4 adaptor complex,-0.8657838224767358,-1.5240262607825246,0.0,0.02585072858602812,0.673,4/4,100.00%,AP4S1;AP4M1;AP4E1;AP4B1
prerank,IGHM-VPREB1-IGLL1 complex,-0.8697674418604651,-1.50549491908167,0.011049723756906077,0.03266269442080012,0.76,3/3,100.00%,VPREB1;IGLL1;IGHM
prerank,SNAPc (small nuclear RNA-activating protein) complex,-0.7994987468671679,-1.5044273339749759,0.0,0.031941050340353404,0.761,5/5,100.00%,SNAPC4;SNAPC1;SNAPC5;SNAPC3;SNAPC2
prerank,APC/C-ANAPC16 complex,-0.7870967741935484,-1.5009226983801518,0.0,0.031433267910865995,0.778,8/8,100.00%,CDC27;CDC16;ANAPC7;ANAPC5;ANAPC4;ANAPC2;CDC23;ANAPC1
prerank,"APC/C complex, 1.5 MDa",-0.7870967741935484,-1.5009226983801518,0.0,0.031433267910865995,0.778,8/8,100.00%,CDC27;CDC16;ANAPC7;ANAPC5;ANAPC4;ANAPC2;CDC23;ANAPC1
prerank,GPI-GnT activity complex,-0.8289191123836793,-1.4938562260134813,0.01,0.03372691644172952,0.808,4/4,100.00%,PIGQ;PIGC;PIGH;PIGA
prerank,RNF20-RNF40-UbE2E1 complex,-0.8737030411449016,-1.4934340194569733,0.016304347826086956,0.032933529366246224,0.811,3/3,100.00%,UBE2E1;RNF40;RNF20
prerank,NELF complex,-0.8264137437365784,-1.4650337402430889,0.010416666666666666,0.04510906480263441,0.899,4/4,100.00%,NELFE;NELFCD;NELFB;NELFA
prerank,IGF2R-PLIN3-RAB9A complex,-0.857602862254025,-1.4583738944206481,0.022857142857142857,0.04722775859508816,0.917,3/3,100.00%,RAB9A;PLIN3;IGF2R
prerank,"EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3J)",-0.7919799498746868,-1.455652717051843,0.03389830508474576,0.04743887886550703,0.92,5/5,100.00%,EIF3J;EIF3G;EIF3I;EIF3A;EIF3B
prerank,"GABA-A receptor (GABRA1, GABRB2, GABRG2)",-0.8472271914132379,-1.4461505422527652,0.038461538461538464,0.05113919328884895,0.941,3/3,100.00%,GABRA1;GABRG2;GABRB2
prerank,hTREX84 complex,-0.7453438395415473,-1.4420844738574548,0.0,0.05197322603110733,0.948,6/6,100.00%,THOC7;THOC3;THOC6;THOC5;THOC2;THOC1
prerank,"EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C)",-0.7919799498746868,-1.4410264337610141,0.05084745762711865,0.05128689064496464,0.95,5/5,100.00%,EIF3C;EIF3G;EIF3I;EIF3A;EIF3B
prerank,AuroraA-chTOG-Tacc1  complex,-0.8275491949910554,-1.4347883880271164,0.03896103896103896,0.053264205937733754,0.959,3/3,100.00%,CKAP5;TACC1;AURKA
prerank,THO complex,-0.745076978159685,-1.3955330756990225,0.01694915254237288,0.07737061557813814,0.99,5/5,100.00%,THOC7;THOC6;THOC5;THOC2;THOC1
prerank,"EIF3 complex (EIF3B, EIF3J, EIF3I)",-0.7914132379248658,-1.3950743136842692,0.03773584905660377,0.07601844491498597,0.99,3/3,100.00%,EIF3J;EIF3I;EIF3B
prerank,"EIF3 core complex (EIF3A, EIF3B, EIF3G, EIF3I)",-0.7916964924838941,-1.3762512123263864,0.058823529411764705,0.0876301512376727,0.995,4/4,100.00%,EIF3G;EIF3I;EIF3A;EIF3B
prerank,BLOC-2 (biogenesis of lysosome-related organelles complex 2),-0.7681574239713774,-1.3479977571925956,0.0427807486631016,0.10798071520612054,0.999,3/3,100.00%,HPS6;HPS5;HPS3
prerank,"EIF3 complex (EIF3B, EIF3G, EIF3I)",-0.7914132379248658,-1.3341375150784083,0.09146341463414634,0.11747321697583558,1.0,3/3,100.00%,EIF3G;EIF3I;EIF3B
prerank,RAB5A-RABEP1-RABGEF complex,-0.7756708407871198,-1.330756274274106,0.08333333333333333,0.11789219479481029,1.0,3/3,100.00%,RABGEF1;RABEP1;RAB5A
prerank,DLL1-CTNNB1-CDH2 complex,0.9972469710175007,1.2511984002731273,0.0024330900243309003,1.0,0.911,1/3,0.11%,CTNNB1
prerank,ITGA2-ITGB1-CHAD complex,0.9968455251129041,1.250042534984729,0.00851581508515815,1.0,0.947,1/3,0.29%,ITGB1
prerank,PIK3CA-PIK3R1-TRAF6 complex,0.9949910554561718,1.2498511032249637,0.009478672985781991,1.0,0.951,2/3,0.57%,PIK3R1;TRAF6
prerank,ITGA9-ITGB1-VEGFA complex,0.9959127779484387,1.2496562630729129,0.007326007326007326,1.0,0.955,1/3,0.29%,ITGB1
prerank,CD19-VAV1-PIK3R1 complex,0.9944221650556978,1.2495671911534456,0.009791921664626682,0.8993477571499946,0.956,1/3,0.54%,PIK3R1
prerank,ITGA1-ITGB1-PTPN2 complex,0.9974923624347098,1.248853053984977,0.006024096385542169,0.8357286420314509,0.972,1/3,0.29%,ITGB1
prerank,AR-PIK3R1-SRC complex,0.9900329295661232,1.2484504001813614,0.009580838323353293,0.7674518878692868,0.977,2/3,0.54%,SRC;PIK3R1
prerank,ITGA11-ITGB1-COL1A1 complex,0.9974955277280858,1.2483473599224348,0.0024183796856106408,0.6823705837486055,0.979,1/3,0.29%,ITGB1
prerank,CDCP1-PRKCD-SRC complex,0.9933167061651514,1.2482301576907573,0.009433962264150943,0.6186661961980764,0.98,1/3,0.04%,SRC
prerank,CDCP1-EGFR-SRC complex,0.9917710196779964,1.2480709697453563,0.010575793184488837,0.5707724937091302,0.981,2/3,0.89%,SRC;EGFR
prerank,ACTB-CAP1-CFL1 complex,0.995706618962433,1.2479071191177489,0.006165228113440197,0.5319716659738454,0.983,1/3,0.46%,ACTB
prerank,DNAJB2-HSPA8-PSMA3 complex,0.9932021466905188,1.2479008935108704,0.009791921664626682,0.48808175811273147,0.983,2/3,0.75%,HSPA8;PSMA3
prerank,ITGA1-ITGB1-COL6A3 complex,0.996903020094952,1.2478666434309929,0.006075334143377886,0.4530612524249031,0.983,1/3,0.29%,ITGB1
prerank,ESR1-PELP1-SRC complex,0.9964221824686941,1.2471849297941673,0.008443908323281062,0.46084918783874906,0.986,2/3,0.43%,SRC;ESR1
prerank,ITGA9-ITGB1-ADAM9 complex,0.9971193552914517,1.2467794797894012,0.0024691358024691358,0.45531950165817364,0.988,1/3,0.29%,ITGB1
prerank,ITGA2-ITGB1-COL6A3 complex,0.9962569447218461,1.246028928295866,0.007263922518159807,0.4723798689126472,0.992,1/3,0.29%,ITGB1
prerank,AJUBA-CCAR2-CREBBP-ESR1 complex,0.9964221824686941,1.2450485686913395,0.00831353919239905,0.5032491811569635,0.995,2/3,0.43%,CREBBP;ESR1
prerank,ITGA9-ITGB1-SPP1 complex,0.9965073647940567,1.2446972447579552,0.007509386733416771,0.4961091284341229,0.995,1/3,0.29%,ITGB1
