Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,ESCRT-III complex,-0.8954627949183303,-1.770362396842483,0.0,0.0,0.0,10/10,100.00%,CHMP3;CHMP5;CHMP2A;CHMP1A;CHMP2B;CHMP6;CHMP1B;CHMP4C;CHMP4B;CHMP4A
prerank,Paf complex,-0.9235784136182542,-1.7304951704481197,0.0,0.0,0.0,4/4,100.00%,PAF1;LEO1;CTR9;CDC73
prerank,IL12A-IL12B-IL12RB1 complex,-0.9884141926140477,-1.729457370845535,0.0,0.0,0.0,3/3,100.00%,IL12RB1;IL12B;IL12A
prerank,LTA-LTB-LTBR complex,-0.9677769732078203,-1.6966177812083367,0.0,0.00013906633005483185,0.001,3/3,100.00%,LTB;LTA;LTBR
prerank,KLK3-SCG2-SERPINA5 complex,-0.9779145546705286,-1.6868071818891492,0.0,0.000445012256175462,0.004,3/3,100.00%,SERPINA5;SCG2;KLK3
prerank,TICAM1-TICAM2-TLR4 complex,-0.9685010861694424,-1.6774081170527786,0.0,0.001205241527141876,0.011,3/3,100.00%,TLR4;TICAM2;TICAM1
prerank,TF-FVIIa-FXa-TFPI complex,-0.9282868525896415,-1.649687827313209,0.0,0.004609055510388713,0.046,4/4,100.00%,TFPI;F7;F3;F10
prerank,APC/C-ANAPC16 complex,-0.7990569459557489,-1.6478420225895727,0.0,0.0038938572415352923,0.051,8/8,100.00%,ANAPC1;CDC23;ANAPC5;CDC16;ANAPC7;ANAPC4;ANAPC2;CDC27
prerank,"APC/C complex, 1.5 MDa",-0.7990569459557489,-1.6478420225895727,0.0,0.0038938572415352923,0.051,8/8,100.00%,ANAPC1;CDC23;ANAPC5;CDC16;ANAPC7;ANAPC4;ANAPC2;CDC27
prerank,GAA1-GPI8-PIGT-PIG-PIGS complex,-0.9177536231884058,-1.646534078335915,0.0,0.003504471517381763,0.051,5/5,100.00%,PIGK;PIGU;PIGT;PIGS;GPAA1
prerank,"Apoptosome, 700 kDa",-0.9413468501086169,-1.6392503009113315,0.0,0.004096135539796866,0.067,3/3,100.00%,APAF1;CASP9;CYCS
prerank,hASC-1 complex,-0.9427743571169866,-1.6297180520963777,0.0,0.005006387881973947,0.09,4/4,100.00%,ASCC2;TRIP4;ASCC3;ASCC1
