Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,"Respiratory chain complex I (holoenzyme), mitochondrial",-0.7892486399661897,-5.732437490280747,0.0,0.0,0.0,36/38,16.15%,NDUFS5;NDUFC1;NDUFS4;NDUFV2;NDUFA10;NDUFA12;NDUFS1;NDUFA13;NDUFS8;NDUFV3;NDUFS2;NDUFB5;NDUFB7;NDUFA2;NDUFA5;NDUFB10;NDUFB1;NDUFAB1;NDUFB9;NDUFC2;NDUFA8;NDUFA11;NDUFA3;NDUFA7;NDUFB4;NDUFB3;NDUFB2;NDUFB8;NDUFA4;NDUFB11;NDUFV1;NDUFS6;NDUFA6;NDUFS7;NDUFA9;NDUFB6
prerank,PA700-20S-PA28 complex,-0.6640294516096388,-4.2068317412694185,0.0,0.0,0.0,34/36,28.02%,PSMC2;PSMC5;PSMC4;PSMD12;PSMD2;PSMC6;PSMD3;PSMD10;PSMD13;PSMD11;PSMD5;PSMD1;PSMD6;PSMD9;PSME1;PSMD7;PSMD14;PSMD4;PSMC1;PSME2;PSMB5;PSMB7;PSMB6;PSMD8;PSMB2;PSMA5;PSMB3;PSMA4;PSMB4;PSMB1;PSMA7;PSMA2;PSMA1;PSMA6
prerank,"Respiratory chain complex I (lambda subunit), mitochondrial",-0.7947519769949677,-3.6011497410088045,0.0,0.0,0.0,16/16,21.02%,NDUFS4;NDUFV2;NDUFA12;NDUFS1;NDUFA13;NDUFS8;NDUFV3;NDUFS2;NDUFA2;NDUFA5;NDUFA11;NDUFA7;NDUFV1;NDUFS6;NDUFS7;NDUFS3
prerank,PA700 complex,-0.6720006774105058,-3.3621736994558247,0.0,0.0,0.0,19/20,27.59%,PSMC2;PSMC5;PSMC4;PSMD12;PSMD2;PSMC6;PSMD3;PSMD10;PSMD13;PSMD11;PSMD5;PSMD1;PSMD6;PSMD9;PSMD7;PSMD14;PSMD4;PSMC1;PSMD8
prerank,Gamma-BAR-AP1 complex,-0.9688060236643959,-3.250366487779694,0.0,0.0,0.0,9/9,3.47%,AP1S3;AP1AR;AP1S2;AP1G2;AP1S1;AP1M2;AP1B1;AP1M1;AP1G1
prerank,"Respiratory chain complex I (beta subunit), mitochondrial",-0.8430316091954023,-3.2472410588505025,0.0,0.0,0.0,14/14,16.15%,NDUFB5;NDUFB7;NDUFB10;NDUFB1;NDUFAB1;NDUFB9;NDUFC2;NDUFB4;NDUFB3;NDUFB2;NDUFB8;NDUFA4;NDUFB11;NDUFB6
prerank,26S proteasome,-0.6197882709149087,-3.2256836875908093,0.0,0.0,0.0,20/22,28.02%,PSMC2;PSMC5;PSMC4;PSMC6;PSMD13;PSMD4;PSMC1;PSMB5;PSMB7;PSMB6;PSMB2;PSMA5;PSMB3;PSMA4;PSMB4;PSMB1;PSMA7;PSMA2;PSMA1;PSMA6
prerank,AP1 adaptor complex,-0.9684587813620071,-3.054692390599911,0.0,0.0,0.0,8/8,3.47%,AP1S3;AP1S2;AP1G2;AP1S1;AP1M2;AP1B1;AP1M1;AP1G1
prerank,"Respiratory chain complex I (incomplete intermediate), mitochondrial",-0.8428417653390743,-3.0353572597289284,0.0,0.0,0.0,11/11,16.08%,NDUFS4;NDUFV2;NDUFA10;NDUFS1;NDUFV3;NDUFS2;NDUFB8;NDUFV1;NDUFS6;NDUFS7;NDUFA9
prerank,Exosome,-0.8389526542324247,-2.955466594996455,0.0,0.0,0.0,10/10,16.44%,EXOSC5;EXOSC9;EXOSC6;EXOSC7;EXOSC3;EXOSC1;EXOSC8;EXOSC10;EXOSC4;EXOSC2
prerank,"Respiratory chain complex I (intermediate), mitochondrial",-0.7930416068866571,-2.936653098465218,0.0,0.0,0.0,10/10,21.02%,NDUFS5;NDUFS4;NDUFV2;NDUFS2;NDUFA2;NDUFA6;NDUFS7;NDUFA9;NDUFB6;NDUFS3
prerank,AP3-BLOC1 complex,-0.7770247819503148,-2.933671072536442,0.0,0.0,0.0,11/12,12.79%,AP3S1;AP3D1;AP3B1;AP3M1;BLOC1S2;BLOC1S3;SNAPIN;BLOC1S4;BLOC1S6;BLOC1S5;DTNBP1
prerank,"Cytochrome c oxidase including assembly factors (COX, PET100, PET117, MR-1S)",-0.8491039426523298,-2.907334181507661,0.0,0.0,0.0,8/8,15.37%,NDUFA4;COX4I1;COX6A1;COX7B;COX8A;COX6B1;COX7A2;COX5A
prerank,Class C VPS/HOPS complex,-0.9881805157593123,-2.887995317292106,0.0,0.0,0.0,6/6,1.43%,VPS16;VPS39;EEA1;RAB5A;VPS18;VPS11
prerank,PA28-20S proteasome,-0.6498350037916968,-2.883763529299147,0.0,0.0,0.0,15/16,28.02%,PSME1;PSME2;PSMB5;PSMB7;PSMB6;PSMB2;PSMA5;PSMB3;PSMA4;PSMB4;PSMB1;PSMA7;PSMA2;PSMA1;PSMA6
prerank,BLOC1-BLOC2 complex,-0.7679028022721219,-2.840372563220448,0.0,0.0,0.0,10/11,12.79%,HPS6;HPS3;HPS5;BLOC1S2;BLOC1S3;SNAPIN;BLOC1S4;BLOC1S6;BLOC1S5;DTNBP1
prerank,"Respiratory chain complex I (intermediate VII/650kD), mitochondrial",-0.7927572606669058,-2.787745316734569,0.0,0.0,0.0,9/9,21.02%,NDUFS5;NDUFS4;NDUFV2;NDUFS2;NDUFA2;NDUFA6;NDUFS7;NDUFA9;NDUFS3
prerank,PA28gamma-20S proteasome,-0.6444910018569148,-2.750112799093248,0.0,0.0,0.0,14/15,28.02%,PSME3;PSMB5;PSMB7;PSMB6;PSMB2;PSMA5;PSMB3;PSMA4;PSMB4;PSMB1;PSMA7;PSMA2;PSMA1;PSMA6
prerank,"55S ribosome, mitochondrial",0.8702682837192212,2.7309652913920366,0.0,0.0,0.0,77/77,15.37%,MRPL53;MRPL42;MRPL34;MRPL41;MRPL27;MRPL50;MRPL48;MRPL18;MRPL40;MRPL45;MRPL20;MRPL38;MRPL16;MRPL14;MRPL2;MRPL36;MRPL23;MRPL32;MRPL33;MRPL12;MRPL28;MRPL54;MRPL49;MRPL9;MRPL21;MRPL51;MRPL44;MRPL39;MRPL19;MRPL24;MRPL30;MRPL10;MRPL17;MRPL4;MRPL15;MRPL37;MRPL46;MRPL52;MRPL3;MRPL47;MRPL11;LACTB;MRPS7;MRPS25;MRPS2;MRPS28;MRPS6;MRPS30;MRPS18B;MRPS17;MRPS33;MRPS22;MRPS16;MRPS12;MRPS9;MRPS26;MRPS27;MRPS34;MRPS23;MRPS18C;MRPS21;MRPS18A;MRPS24;MRPS5;MRPS35;MRPS31;MRPS15;MRPS14;MRPS11;MRPS10;DAP3;MRPL13;MRPL43;MRPL55;MRPL22;MRPL1;MRPL35
prerank,"APC/C complex, 1.5 MDa",-0.8243727598566308,-2.7250118408841155,0.0,0.0,0.0,8/8,17.83%,ANAPC1;CDC16;CDC27;ANAPC2;CDC23;ANAPC5;ANAPC4;ANAPC7
prerank,APC/C-ANAPC16 complex,-0.8243727598566308,-2.7250118408841155,0.0,0.0,0.0,8/8,17.83%,ANAPC1;CDC16;CDC27;ANAPC2;CDC23;ANAPC5;ANAPC4;ANAPC7
prerank,CTLH complex,-0.9591690544412607,-2.719429070129673,0.0,0.0,0.0,6/6,4.32%,GID8;ARMC8;RMND5A;MAEA;MKLN1;RANBP9
prerank,AP3 adaptor complex,-0.8778215693299892,-2.652919433029669,0.0,0.0,0.0,7/7,12.47%,AP3S1;AP3D1;AP3B2;AP3B1;AP3S2;AP3M1;AP3M2
