Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,"Respiratory chain complex I (holoenzyme), mitochondrial",-0.7998969874096296,-6.2280079391509435,0.0,0.0,0.0,36/38,15.12%,NDUFC1;NDUFS5;NDUFC2;NDUFA11;NDUFA12;NDUFB10;NDUFB8;NDUFB1;NDUFS4;NDUFV2;NDUFV3;NDUFV1;NDUFS6;NDUFS1;NDUFA2;NDUFB7;NDUFB5;NDUFB4;NDUFB9;NDUFB3;NDUFA13;NDUFA5;NDUFA7;NDUFS8;NDUFA10;NDUFAB1;NDUFS2;NDUFA3;NDUFB2;NDUFA4;NDUFB11;NDUFA8;NDUFS7;NDUFA6;NDUFA9;NDUFB6
prerank,PA700-20S-PA28 complex,-0.6728425882764745,-5.8542980443846195,0.0,0.0,0.0,34/36,27.16%,PSMD5;PSMD6;PSMD10;PSMD11;PSMD13;PSMC4;PSMC5;PSMC6;PSMC2;PSME1;PSME2;PSMC1;PSMD3;PSMD2;PSMD14;PSMD12;PSMD9;PSMD7;PSMD1;PSMD4;PSMB5;PSMB7;PSMB6;PSMD8;PSMB2;PSMA7;PSMA4;PSMA5;PSMB1;PSMB4;PSMB3;PSMA2;PSMA1;PSMA6
prerank,"Respiratory chain complex I (lambda subunit), mitochondrial",-0.804292469989087,-3.7236924349482265,0.0,0.0,0.0,16/16,20.07%,NDUFA11;NDUFA12;NDUFS4;NDUFV2;NDUFV3;NDUFV1;NDUFS6;NDUFS1;NDUFA2;NDUFA13;NDUFA5;NDUFA7;NDUFS8;NDUFS2;NDUFS7;NDUFS3
prerank,26S proteasome,-0.6285122064027789,-3.6521124827216846,0.0,0.0,0.0,20/22,27.16%,PSMD13;PSMC4;PSMC5;PSMC6;PSMC2;PSMC1;PSMD4;PSMB5;PSMB7;PSMB6;PSMB2;PSMA7;PSMA4;PSMA5;PSMB1;PSMB4;PSMB3;PSMA2;PSMA1;PSMA6
prerank,PA700 complex,-0.6807682383007166,-3.6459700392838656,0.0,0.0,0.0,19/20,26.73%,PSMD5;PSMD6;PSMD10;PSMD11;PSMD13;PSMC4;PSMC5;PSMC6;PSMC2;PSMC1;PSMD3;PSMD2;PSMD14;PSMD12;PSMD9;PSMD7;PSMD1;PSMD4;PSMD8
prerank,"Respiratory chain complex I (beta subunit), mitochondrial",-0.8535078153398764,-3.5885003422141155,0.0,0.0,0.0,14/14,15.12%,NDUFC2;NDUFB10;NDUFB8;NDUFB1;NDUFB7;NDUFB5;NDUFB4;NDUFB9;NDUFB3;NDUFAB1;NDUFB2;NDUFA4;NDUFB11;NDUFB6
prerank,Gamma-BAR-AP1 complex,-0.9804063860667634,-3.368900101189359,0.0,0.0,0.0,9/9,2.31%,AP1AR;AP1S1;AP1G2;AP1M2;AP1S2;AP1S3;AP1M1;AP1B1;AP1G1
prerank,"Respiratory chain complex I (incomplete intermediate), mitochondrial",-0.8529411764705882,-3.318799307423951,0.0,0.0,0.0,11/11,15.08%,NDUFB8;NDUFS4;NDUFV2;NDUFV3;NDUFV1;NDUFS6;NDUFS1;NDUFA10;NDUFS2;NDUFS7;NDUFA9
prerank,AP1 adaptor complex,-0.9800507798331519,-3.192597841144144,0.0,0.0,0.0,8/8,2.31%,AP1S1;AP1G2;AP1M2;AP1S2;AP1S3;AP1M1;AP1B1;AP1G1
prerank,PA28-20S proteasome,-0.6585254392915413,-3.04101914180688,0.0,0.0,0.0,15/16,27.16%,PSME1;PSME2;PSMB5;PSMB7;PSMB6;PSMB2;PSMA7;PSMA4;PSMA5;PSMB1;PSMB4;PSMB3;PSMA2;PSMA1;PSMA6
prerank,AP3-BLOC1 complex,-0.787523020640001,-2.989660582540255,0.0,0.0,0.0,11/12,11.75%,AP3S1;AP3D1;AP3B1;AP3M1;BLOC1S4;SNAPIN;BLOC1S3;BLOC1S2;BLOC1S5;BLOC1S6;DTNBP1
prerank,Exosome,-0.8490018148820326,-2.9875118795968665,0.0,0.0,0.0,10/10,15.44%,EXOSC7;EXOSC8;EXOSC1;EXOSC5;EXOSC3;EXOSC9;EXOSC6;EXOSC10;EXOSC2;EXOSC4
prerank,PA28gamma-20S proteasome,-0.6531751556477879,-2.919995408235888,0.0,0.0,0.0,14/15,27.16%,PSME3;PSMB5;PSMB7;PSMB6;PSMB2;PSMA7;PSMA4;PSMA5;PSMB1;PSMB4;PSMB3;PSMA2;PSMA1;PSMA6
prerank,"Cytochrome c oxidase including assembly factors (COX, PET100, PET117, MR-1S)",-0.8592673195502357,-2.885435805943057,0.0,0.0,0.0,8/8,14.36%,NDUFA4;COX5A;COX6B1;COX8A;COX7B;COX7A2;COX6A1;COX4I1
prerank,BLOC1-BLOC2 complex,-0.7783934634730132,-2.8835329170017006,0.0,0.0,0.0,10/11,11.75%,HPS6;HPS3;HPS5;BLOC1S4;SNAPIN;BLOC1S3;BLOC1S2;BLOC1S5;BLOC1S6;DTNBP1
prerank,Class C VPS/HOPS complex,-1.0,-2.8104204452083335,0.0,0.0,0.0,6/6,0.25%,VPS16;VPS39;EEA1;RAB5A;VPS18;VPS11
prerank,"Respiratory chain complex I (intermediate), mitochondrial",-0.802540834845735,-2.768720323027299,0.0,0.0,0.0,10/10,20.07%,NDUFS5;NDUFS4;NDUFV2;NDUFA2;NDUFS2;NDUFS7;NDUFA6;NDUFA9;NDUFB6;NDUFS3
