Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,"55S ribosome, mitochondrial",-0.8750459389930173,-6.09665510892637,0.0,0.0,0.0,77/77,14.94%,MRPL53;MRPL42;MRPL34;MRPL41;MRPL27;MRPL50;MRPL22;MRPL43;MRPL36;MRPL23;MRPL32;MRPL33;MRPL12;MRPL28;MRPL10;MRPL48;MRPL18;MRPS12;MRPL55;MRPS14;MRPS18C;MRPS21;MRPS18A;MRPS31;MRPS15;MRPS11;MRPL3;MRPL2;MRPL11;LACTB;MRPS7;MRPS25;MRPS2;MRPS30;MRPL37;MRPL46;MRPL52;MRPL1;MRPL13;MRPS27;MRPS18B;MRPS17;MRPS33;MRPS5;MRPS35;MRPS16;MRPS10;DAP3;MRPL35;MRPL15;MRPL17;MRPS24;MRPL40;MRPL45;MRPL20;MRPL38;MRPL16;MRPL14;MRPL47;MRPS9;MRPS26;MRPS34;MRPS23;MRPS28;MRPS6;MRPL54;MRPL49;MRPL9;MRPL21;MRPL51;MRPL44;MRPL39;MRPL19;MRPL24;MRPL30;MRPS22;MRPL4
prerank,"39S ribosomal subunit, mitochondrial",-0.8658181818181818,-5.588174255516613,0.0,0.0,0.0,48/48,14.94%,MRPL53;MRPL42;MRPL34;MRPL41;MRPL27;MRPL50;MRPL22;MRPL43;MRPL36;MRPL23;MRPL32;MRPL33;MRPL12;MRPL28;MRPL10;MRPL48;MRPL18;MRPL55;MRPL3;MRPL2;MRPL11;LACTB;MRPL37;MRPL46;MRPL52;MRPL1;MRPL13;MRPL35;MRPL15;MRPL17;MRPL40;MRPL45;MRPL20;MRPL38;MRPL16;MRPL14;MRPL47;MRPL54;MRPL49;MRPL9;MRPL21;MRPL51;MRPL44;MRPL39;MRPL19;MRPL24;MRPL30;MRPL4
prerank,"28S ribosomal subunit, mitochondrial",-0.8602383531960998,-5.056847118575991,0.0,0.0,0.0,29/29,14.90%,MRPS12;MRPS14;MRPS18C;MRPS21;MRPS18A;MRPS31;MRPS15;MRPS11;MRPS7;MRPS25;MRPS2;MRPS30;MRPS27;MRPS18B;MRPS17;MRPS33;MRPS5;MRPS35;MRPS16;MRPS10;DAP3;MRPS24;MRPS9;MRPS26;MRPS34;MRPS23;MRPS28;MRPS6;MRPS22
prerank,CEN complex,-0.7227651103872602,-4.379793807481402,0.0,0.0,0.0,35/35,28.66%,HSPA8;FBL;HSPA5;SUPT16H;SMARCA5;DDB1;RNF2;DHX38;WTAP;SRRT;RING1;CUL4A;SSRP1;BMI1;CBX8;CENPL;CENPM;CENPK;CENPU;CENPO;CENPC;CENPH;RSF1;KIF23;CENPA;RACGAP1;SHCBP1;ZFP91;CENPB;COBLL1;CBX3;NUP93;CENPI;WDR11;ZC3H13
prerank,"Spliceosome, C complex",-0.6651122748880955,-4.233931511595795,0.0,0.0,0.0,34/36,27.91%,EFTUD2;SNRPD1;CDC5L;DHX38;SNRPD3;SNRPD2;SNW1;SNRPA1;PRPF8;SNRPB;PRPF19;PLRG1;CWC15;SNRNP200;SNRPB2;BCAS2;SNRPE;SNRPG;SNRPF;RBM8A;MAGOH;EIF4A3;CDC40;CWC22;CRNKL1;SRRM2;AQR;PPIE;PPIL1;PPWD1;SYF2;RBM22;ISY1;XAB2
prerank,"60S ribosomal subunit, cytoplasmic",-0.5814398316197491,-4.187209637068077,0.0,0.0,0.0,42/47,30.52%,RPL6;RPL4;RPL8;RPL30;RPL13A;RPL7A;RPL7;RPL14;RPL13;RPL19;RPL15;RPL21;RPL18A;RPL10A;RPL3;RPL26;RPL10;RPL18;RPLP0;RPL11;RPL27;RPL35A;RPLP2;RPL36;RPLP1;RPL37A;RPL32;RPL12;RPL28;RPL24;RPL23;RPL23A;RPL17;RPL9;RPL36A;RPL31;RPL27A;RPL35;RPL22;RPL29;RPL39;RPL5
prerank,"Spliceosome, B complex",-0.5979713059646008,-3.5456083552126563,0.0,0.0,0.0,36/38,34.92%,EFTUD2;SNRPD1;SNRPD3;SNRPD2;SF3B1;SF3B2;SF3B3;SNRPA1;PRPF8;SNRPB;SF3B4;SNRNP200;SNRPB2;LSM2;SF3A1;PRPF31;SNRPE;SNRPG;SNRPF;SF3A3;SF3A2;LSM3;SNRNP40;SART1;PRPF6;SF3B6;LSM4;LSM7;LSM6;PPIH;PRPF4;SMU1;TXNL4A;MFAP1;PRPF3;LSM8
prerank,ALL-1 supercomplex,-0.6545126353790613,-3.543387595420194,0.0,0.0,0.0,28/28,35.24%,HDAC1;SMARCC1;SMARCC2;TBP;EFTUD2;HDAC2;SMARCB1;SMARCA5;SMARCA2;RBBP4;SIN3A;RBBP7;TAF9;WDR5;RBBP5;SAP30;CPSF2;SAP18;MTA2;TAF6;MBD3;TAF1;KDM1A;KMT2A;TAF12;CHD3;SYMPK;RAN
prerank,"Spliceosome, pre-B complex",-0.5665374535911036,-3.534834700498786,0.0,0.0,0.0,34/37,34.92%,EFTUD2;SNRPD1;SNRPD3;SNRPD2;SF3B1;SF3B2;SF3B3;SNRPA1;PRPF8;SNRPB;SF3B4;SNRNP200;DDX23;SNRPB2;LSM2;SF3A1;PRPF31;SNRPE;SNRPG;SNRPF;SF3A3;SF3A2;LSM3;SNRNP40;PRPF6;SF3B6;LSM4;LSM7;LSM6;PRPF4;TXNL4A;USP39;PRPF3;LSM8
prerank,CDC5L complex,-0.6417479234380643,-3.437517574596176,0.0,0.0,0.0,29/29,36.53%,HSPA8;SNRPD1;CDC5L;SFPQ;ILF2;TCF4;SNRPD3;SNRPD2;SF3B1;SF3B2;SRSF1;SNRPA1;SRRM1;SNRPA;PRPF19;PLRG1;CWC15;SF3B4;TOP2A;SRSF2;BCAS2;RBMX;PRKDC;PPP1CA;BZW1;PPM1D;DYNC1H1;SFI1;SCAF8
prerank,"Respiratory chain complex I (holoenzyme), mitochondrial",0.8157310145525779,3.434643872923914,0.0,0.0,0.0,36/38,14.94%,NDUFS5;NDUFC1;NDUFA10;NDUFA2;NDUFAB1;NDUFB9;NDUFC2;NDUFB2;NDUFB11;NDUFB7;NDUFB5;NDUFB10;NDUFB1;NDUFB4;NDUFA12;NDUFA11;NDUFA4;NDUFS6;NDUFA13;NDUFS4;NDUFV2;NDUFA7;NDUFS8;NDUFS2;NDUFS1;NDUFA5;NDUFV3;NDUFB3;NDUFA3;NDUFB8;NDUFA8;NDUFV1;NDUFS7;NDUFA6;NDUFB6;NDUFA9
prerank,ESCRT-III complex,-0.9296987087517935,-3.4144775386459876,0.0,0.0,0.0,10/10,7.40%,CHMP6;CHMP3;CHMP4A;CHMP2B;CHMP1B;CHMP4C;CHMP4B;CHMP5;CHMP2A;CHMP1A
prerank,17S U2 snRNP,-0.5884267631103074,-3.3081436519869003,0.0,0.0,0.0,33/33,41.89%,SNRPD1;U2AF1;U2AF2;DHX15;SNRPD3;SNRPD2;SF3B1;SF3B2;SF3B3;SRSF1;SNRPA1;SNRPB;SF3B4;SNRPB2;SF3A1;SNRPE;SNRPG;SNRPF;HMG20B;SF3A3;SF3A2;SF3B6;U2SURP;DDX46;DNAJC8;PUF60;SMNDC1;RBM17;SF3B5;PHF5A;CHERP;TRAP1;HSPD1
prerank,Rnase/Mrp complex,-0.8766140602582497,-3.2284676186423926,0.0,0.0,0.0,10/10,12.69%,RPP30;POP7;POP1;RPP14;POP5;RPP40;RPP38;POP4;RPP21;RPP25
