Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,"39S ribosomal subunit, mitochondrial",-0.8612440191387559,-5.958594922801633,0.0,0.0,0.0,48/48,15.41%,MRPL17;MRPL15;MRPL35;MRPL38;MRPL20;MRPL45;MRPL40;MRPL43;MRPL13;MRPL44;MRPL51;MRPL52;MRPL39;LACTB;MRPL11;MRPL47;MRPL3;MRPL19;MRPL46;MRPL37;MRPL24;MRPL2;MRPL14;MRPL16;MRPL9;MRPL1;MRPL27;MRPL41;MRPL34;MRPL42;MRPL53;MRPL22;MRPL18;MRPL48;MRPL55;MRPL21;MRPL49;MRPL54;MRPL10;MRPL12;MRPL33;MRPL32;MRPL23;MRPL36;MRPL28;MRPL4;MRPL30;MRPL50
prerank,"28S ribosomal subunit, mitochondrial",-0.9305555555555555,-5.102808303244048,0.0,0.0,0.0,29/29,7.96%,MRPS34;MRPS23;MRPS27;MRPS21;MRPS18A;MRPS31;MRPS15;MRPS14;MRPS10;MRPS33;MRPS18C;MRPS7;MRPS26;MRPS9;MRPS12;MRPS16;MRPS35;MRPS5;DAP3;MRPS18B;MRPS30;MRPS2;MRPS11;MRPS24;MRPS6;MRPS28;MRPS22;MRPS17;MRPS25
prerank,CEN complex,-0.7315018315018315,-4.358025077424469,0.0,0.0,0.0,35/35,27.81%,HSPA8;FBL;HSPA5;SUPT16H;SMARCA5;DDB1;RNF2;DHX38;WTAP;SRRT;RING1;CUL4A;SSRP1;BMI1;CBX8;CENPH;CENPK;CENPL;CENPO;CENPU;CENPM;CENPC;RSF1;CBX3;WDR11;CENPI;CENPA;CENPB;NUP93;SHCBP1;KIF23;ZFP91;RACGAP1;COBLL1;ZC3H13
prerank,"Spliceosome, C complex",-0.6735721112953491,-4.246243097717013,0.0,0.0,0.0,34/36,27.09%,EFTUD2;SNRPD1;CDC5L;DHX38;SNRPD3;SNRPD2;SNW1;SNRPA1;PRPF8;SNRPB;CWC15;PLRG1;PRPF19;SNRNP200;SNRPB2;BCAS2;SNRPE;SNRPF;SNRPG;RBM8A;MAGOH;EIF4A3;SYF2;CRNKL1;SRRM2;AQR;CDC40;PPIL1;ISY1;CWC22;PPIE;RBM22;PPWD1;XAB2
prerank,"60S ribosomal subunit, cytoplasmic",-0.5896339219886537,-4.172938336630691,0.0,0.0,0.0,42/47,29.73%,RPL6;RPL8;RPL4;RPL30;RPL13A;RPL7A;RPL7;RPL15;RPL10A;RPL18A;RPL14;RPL19;RPL21;RPL13;RPL18;RPL10;RPLP0;RPL26;RPL3;RPL11;RPL12;RPL36;RPLP2;RPL28;RPL27;RPL37A;RPL35A;RPL32;RPLP1;RPL23A;RPL23;RPL24;RPL22;RPL27A;RPL9;RPL31;RPL36A;RPL35;RPL39;RPL5;RPL29;RPL17
prerank,CDC5L complex,-0.6498538011695906,-4.127884677761807,0.0,0.0,0.0,29/29,35.73%,HSPA8;SNRPD1;CDC5L;SFPQ;ILF2;TCF4;SNRPD3;SNRPD2;SF3B2;SF3B1;SRSF1;SNRPA1;SRRM1;SNRPA;CWC15;PLRG1;PRPF19;SF3B4;TOP2A;BCAS2;SRSF2;RBMX;PRKDC;PPP1CA;BZW1;DYNC1H1;SFI1;PPM1D;SCAF8
prerank,"Spliceosome, B complex",-0.6055843861131953,-3.9197560070358657,0.0,0.0,0.0,36/38,34.18%,EFTUD2;SNRPD1;SNRPD3;SNRPD2;SF3B2;SF3B1;SF3B3;SNRPA1;PRPF8;SNRPB;SF3B4;SNRNP200;SNRPB2;LSM2;SF3A1;PRPF31;SNRPE;SNRPF;SNRPG;SF3A2;SF3A3;LSM3;SNRNP40;SART1;PRPF6;SF3B6;LSM7;LSM6;LSM4;MFAP1;PRPF3;PPIH;PRPF4;TXNL4A;SMU1;LSM8
prerank,ALL-1 supercomplex,-0.6624040920716112,-3.8809050825536895,0.0,0.0,0.0,28/28,34.47%,HDAC1;SMARCC1;SMARCC2;TBP;EFTUD2;HDAC2;SMARCB1;SMARCA5;SMARCA2;RBBP4;SIN3A;RBBP7;TAF9;WDR5;RBBP5;SAP30;CPSF2;SAP18;MTA2;TAF6;MBD3;TAF1;KDM1A;KMT2A;TAF12;CHD3;SYMPK;RAN
prerank,"Spliceosome, pre-B complex",-0.5741404726001116,-3.796321428731952,0.0,0.0,0.0,34/37,34.18%,EFTUD2;SNRPD1;SNRPD3;SNRPD2;SF3B2;SF3B1;SF3B3;SNRPA1;PRPF8;SNRPB;SF3B4;SNRNP200;DDX23;SNRPB2;LSM2;SF3A1;PRPF31;SNRPE;SNRPF;SNRPG;SF3A2;SF3A3;LSM3;SNRNP40;PRPF6;SF3B6;LSM7;LSM6;LSM4;PRPF3;PRPF4;TXNL4A;USP39;LSM8
prerank,"Spliceosome, A complex",-0.570896436615637,-3.61090064570797,0.0,0.0,0.0,88/96,35.55%,BUB3;HSPA8;HNRNPU;EFTUD2;SNRPD1;U2AF1;U2AF2;DHX9;CDC5L;DDX5;ILF3;ILF2;DHX15;SNRPD3;SNRPD2;SRRT;SF3B2;SF3B1;SF3B3;SRSF1;SNRPA1;SRRM1;HNRNPC;PRPF8;SNRPA;SNRPB;CWC15;PLRG1;PRPF19;SF3B4;SNRNP200;DDX23;SNRPB2;BCAS2;SRSF2;HNRNPA1;SF3A1;HNRNPK;HTATSF1;RBMX;SNRPE;HNRNPR;SNRPF;SNRPG;YBX1;SF3A2;SF3A3;SRRM2;SART1;PRPF6;DDX17;RNPS1;SRSF6;SRSF5;SRSF4;SF3B6;ACIN1;NCBP1;NCBP2;DNAJC8;PUF60;U2SURP;SMNDC1;RBM17;DDX46;SRSF7;CD2BP2;CTNNBL1;CIRBP;CFAP20;SNRNP70;TRA2B;SF1;RBM39;ZNF207;PRPF3;PRPF40A;RBM25;TCERG1;SNRPC;SRSF3;SRSF9;WBP11;SYNCRIP;HNRNPA2B1;HNRNPA3;PNN;PPP1CA
prerank,17S U2 snRNP,-0.5955344070278185,-3.581006062556622,0.0,0.0,0.0,33/33,41.19%,SNRPD1;U2AF1;U2AF2;DHX15;SNRPD3;SNRPD2;SF3B2;SF3B1;SF3B3;SRSF1;SNRPA1;SNRPB;SF3B4;SNRPB2;SF3A1;SNRPE;SNRPF;SNRPG;HMG20B;SF3A2;SF3A3;SF3B6;DNAJC8;PUF60;U2SURP;SMNDC1;RBM17;DDX46;SF3B5;PHF5A;HSPD1;CHERP;TRAP1
prerank,"Respiratory chain complex I (holoenzyme), mitochondrial",0.8140561369198871,3.4667059168472107,0.0,0.0,0.0,36/38,15.12%,NDUFS5;NDUFC1;NDUFV1;NDUFV3;NDUFA10;NDUFA3;NDUFB8;NDUFB1;NDUFS8;NDUFA11;NDUFB10;NDUFB3;NDUFB5;NDUFB9;NDUFAB1;NDUFA8;NDUFA4;NDUFB11;NDUFB4;NDUFS6;NDUFS1;NDUFS2;NDUFA2;NDUFC2;NDUFA13;NDUFS4;NDUFV2;NDUFB7;NDUFA12;NDUFA5;NDUFB2;NDUFA7;NDUFA6;NDUFS7;NDUFA9;NDUFB6
prerank,ESCRT-III complex,-0.94010889292196,-3.455178113648639,0.0,0.0,0.0,10/10,6.37%,CHMP3;CHMP1A;CHMP4B;CHMP2A;CHMP5;CHMP4C;CHMP1B;CHMP6;CHMP2B;CHMP4A
prerank,Rnase/Mrp complex,-0.8867513611615244,-3.418440759373911,0.0,0.0,0.0,10/10,11.68%,POP1;POP7;RPP21;RPP25;RPP30;POP4;RPP38;RPP40;POP5;RPP14
prerank,BRCA1-RNA polymerase II complex,-0.6279664110989412,-3.3777606961172517,0.0,0.0,0.0,26/26,37.83%,POLR2A;TBP;BRCA1;ERCC3;GTF2B;GTF2F1;GTF2H4;MED21;GTF2H3;GTF2H1;POLR2L;POLR2H;GTF2E1;POLR2E;POLR2B;GTF2H2;ERCC2;POLR2F;POLR2J;GTF2F2;POLR2K;POLR2G;POLR2C;POLR2I;POLR2D;GTF2E2
prerank,Exocyst complex,-0.9746100834240116,-3.1945545872483287,0.0,0.0,0.0,8/8,2.86%,EXOC2;EXOC3;EXOC5;EXOC1;EXOC7;EXOC4;EXOC8;EXOC6
prerank,MLL1-WDR5 complex,-0.5845198977729098,-3.1570233437196804,0.0,0.0,0.0,26/26,42.13%,HSPA4;RNF2;ASH2L;TAF9;WDR5;RBBP5;PRPF31;HCFC1;TAF6;TAF1;RUVBL1;KMT2A;TAF4;TAF7;E2F6;MCRS1;INO80C;KAT8;KANSL1;TEX10;SENP3;LAS1L;PHF20;PELP1;CHD8;MGAM
prerank,Emerin complex 52,-0.6248632883703974,-3.1335673056981364,0.0,0.0,0.0,22/22,38.05%,ACTB;HNRNPU;SNRPD1;ILF3;RBL2;NMI;EMD;LMNB1;YWHAQ;HNRNPK;YWHAE;C1QBP;IQGAP1;THRA;LSM8;CKB;API5;DDX39A;HDGF;LEMD3;HNRNPL;PDCD4
prerank,RNA polymerase II holoenzyme complex,-0.6275082086829624,-3.128624175420805,0.0,0.0,0.0,24/24,37.83%,POLR2A;TBP;ERCC3;GTF2B;GTF2F1;GTF2H4;GTF2H3;GTF2H1;POLR2L;POLR2H;GTF2E1;POLR2E;POLR2B;GTF2H2;ERCC2;POLR2F;POLR2J;GTF2F2;POLR2K;POLR2G;POLR2C;POLR2I;POLR2D;GTF2E2
prerank,SNW1 complex,-0.6650891882053148,-3.090421556993899,0.0,0.0,0.0,18/18,33.96%,HNRNPU;HSPA5;EFTUD2;CDC5L;DDB1;MSH2;SFPQ;SNW1;TUBB;PRPF8;SNRNP200;DDX23;EEF1G;EEF1A1;MATR3;UBR5;PFKL;ABCF2
prerank,HCF-1 complex,-0.6614488532945031,-3.0855374393701975,0.0,0.0,0.0,18/18,34.32%,HSPA8;HDAC1;HSPA4;HSPA5;HDAC2;RBBP4;SIN3A;RBBP7;ASH2L;WDR5;SAP30;SP1;HCFC1;HSP90AA1;SETD1A;SIN3B;SUDS3;OGT
prerank,LARC complex (LCR-associated remodeling complex),-0.6238164603058995,-3.0441850941843525,0.0,0.0,0.0,19/19,38.08%,ACTB;HDAC1;SMARCC1;SMARCC2;SMARCA4;HDAC2;SMARCB1;ACTL6A;RBBP4;SMARCE1;HNRNPC;SMARCD2;MTA2;ARID1A;MBD3;CHD4;MBD2;GATAD2B;DPF2
prerank,Nup 107-160 subcomplex,-0.8769956458635704,-3.0227766224297827,0.0,0.0,0.0,9/9,12.62%,NUP37;NUP133;NUP160;NUP98;NUP107;SEC13;NUP85;NUP43;SEH1L
prerank,"TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",-0.5392653589482682,-3.0033102457589895,0.0,0.0,0.0,21/25,28.64%,RPL30;RPL7A;RPL7;RPL15;RPL10A;RPL18A;RPL14;RPL19;RPL21;RPL13;RPL11;MOV10;RPL12;RPL36;RPLP2;RPL28;RPL27;RPL37A;RPL35A;RPL32;RPLP1
prerank,Emerin complex 32,-0.6220845481049563,-2.998793648819684,0.0,0.0,0.0,21/21,38.30%,ACTB;HDAC1;SMARCC1;SMARCC2;SMARCB1;RBL2;NMI;EMD;LMNB1;SAP18;CHD4;RBL1;HDAC3;RCOR1;BANF2;TRIM28;DPY30;MED4;TBL1XR1;SPTAN1;TBL1Y
prerank,Nuclear pore complex,-0.7275699237195786,-2.980052107909569,0.0,0.0,0.0,12/12,27.59%,NUP37;NUP133;NUP160;NUP98;NUP107;SEC13;NUP85;NUP43;NUP155;SEH1L;GLE1;NUP93
prerank,COG complex,-0.8850199492201668,-2.969038429680999,0.0,0.0,0.0,8/8,11.79%,COG7;COG5;COG1;COG8;COG6;COG2;COG3;COG4
prerank,Large Drosha complex,-0.5679417122040072,-2.9633733479596884,0.0,0.0,0.0,20/20,43.65%,HNRNPU;DDX5;ILF3;ILF2;DHX15;HNRNPM;DDX3X;SRPK1;DDX17;HNRNPH1;RALY;EWSR1;TAF15;FUS;DGCR8;DDX1;TARDBP;DROSHA;HNRNPDL;HNRNPUL1
prerank,PA700-20S-PA28 complex,0.6900453852400122,2.9050524120952987,0.0,0.0,0.0,34/36,27.12%,PSMC6;PSMD1;PSMC2;PSMC4;PSME1;PSMD2;PSMC5;PSMD11;PSMC1;PSMD6;PSMD10;PSME2;PSMD5;PSMD12;PSMD3;PSMD4;PSMD14;PSMD9;PSMD13;PSMD7;PSMB7;PSMB6;PSMB5;PSMD8;PSMB4;PSMA4;PSMB3;PSMB1;PSMA5;PSMB2;PSMA7;PSMA2;PSMA6;PSMA1
prerank,TNFalpha-NFkappa B signaling complex 5,-0.5304633345494345,-2.8999722762140947,0.0,0.0,0.0,24/24,47.45%,CHUK;IKBKG;RELA;SKP1;IKBKB;NFKBIB;NFKB1;POLR2L;POLR2H;REL;NFKB2;CUL1;POLR1B;FBXW11;KPNA2;IQGAP2;POLR1E;PDCD2;MTIF2;POLR1D;LRPPRC;MCC;POLR1A;RASAL2
prerank,Gamma-BAR-AP1 complex,0.9804063860667633,2.844841670773779,0.0,0.0,0.0,9/9,2.28%,AP1S3;AP1S2;AP1M2;AP1G2;AP1AR;AP1S1;AP1B1;AP1M1;AP1G1
prerank,SWI-SNF chromatin remodeling-related-BRCA1 complex,-0.7524500907441016,-2.825431482001312,0.0,0.0,0.0,10/10,25.06%,SMARCC1;SMARCC2;SMARCA4;SMARCB1;SMARCA2;ACTL6A;BRCA1;SMARCE1;SMARCD2;ARID1A
prerank,"Respiratory chain complex I (beta subunit), mitochondrial",0.8531443111595786,2.8188885478282626,0.0,0.0,0.0,14/14,15.12%,NDUFB8;NDUFB1;NDUFB10;NDUFB3;NDUFB5;NDUFB9;NDUFAB1;NDUFA4;NDUFB11;NDUFB4;NDUFC2;NDUFB7;NDUFB2;NDUFB6
prerank,18S U11/U12 snRNP,-0.5713243341846042,-2.817125723341813,0.0,0.0,0.0,24/24,43.40%,SNRPD1;DHX15;SNRPD3;SNRPD2;SF3B2;SF3B1;SF3B3;PRPF8;SNRPB;SF3B4;SNRPE;SNRPF;SNRPG;YBX1;SF3B6;SF3B5;SNRNP48;SNRNP35;SNRNP25;PDCD7;ZCRB1;RNPC3;ZMAT5;ZRSR2
prerank,"Respiratory chain complex I (lambda subunit), mitochondrial",0.8042924699890871,2.801256491062559,0.0,0.0,0.0,16/16,20.04%,NDUFV1;NDUFV3;NDUFS8;NDUFA11;NDUFS6;NDUFS1;NDUFS2;NDUFA2;NDUFA13;NDUFS4;NDUFV2;NDUFA12;NDUFA5;NDUFA7;NDUFS7;NDUFS3
prerank,"RNA polymerase II complex, chromatin structure modifying",-0.6580668604651163,-2.799289155164762,0.0,0.0,0.0,13/13,34.54%,POLR2A;CREBBP;SMARCA4;SMARCB1;SMARCA2;ERCC3;GTF2B;KAT2B;GTF2F1;CDK8;MED21;GTF2H3;CCNC
prerank,Emerin complex 25,-0.6064023281193162,-2.76693480511728,0.0,0.0,0.0,16/16,39.75%,ACTB;SNRPD1;EMD;LMNB1;CDC37;LSM2;HNRNPK;SAP130;YWHAE;SSB;BANF1;YWHAB;LSM8;G3BP1;ZRANB2;BCCIP
prerank,TNF-alpha/NF-kappa B signaling complex 6,-0.6420024860849594,-2.7570586177565914,0.0,0.0,0.0,13/14,28.21%,FBL;RPL6;RPL8;RPL4;CHUK;RPL30;RPS13;CDC37;IKBKG;HSP90AB1;RPS11;IKBKB;HSP90AA1
prerank,AP1 adaptor complex,0.9800507798331519,2.750229653762903,0.0,0.0,0.0,8/8,2.28%,AP1S3;AP1S2;AP1M2;AP1G2;AP1S1;AP1B1;AP1M1;AP1G1
prerank,"40S ribosomal subunit, cytoplasmic",-0.4546452084857352,-2.746709650350679,0.0,0.0,0.0,31/31,55.08%,RPS13;RPS6;RPS9;RPS8;RPS11;RPS24;RPS17;RPS7;RPS3A;RPS2;RPS16;RPS18;RPS29;RPS12;RPS15A;RPS15;RPS14;RPS23;RPS3;RPS25;RPS26;RPS20;RPS19;RPS21;RPSA;RPS4X;FAU;RPS28;RPS27A;RPS5;RPS10
prerank,SIN3-ING1b complex II,-0.5907602764641688,-2.7344096217179987,0.0,0.0,0.0,16/16,41.30%,HDAC1;SMARCC1;SMARCC2;SMARCA4;HDAC2;SMARCB1;ACTL6A;RBBP4;SIN3A;RBBP7;SAP30;SAP18;ARID1A;SMARCD1;ING1;ARID4B
prerank,CF IIAm complex (Cleavage factor IIAm complex),-0.5967272727272727,-2.732313192859097,0.0,0.0,0.0,15/15,40.69%,U2AF1;U2AF2;SFPQ;ERCC3;NUDT21;CPSF6;DHX16;GTF2H4;TJP1;CPSF3;PTBP1;CLP1;CPSF7;PCF11;CAPRIN1
prerank,CCT complex (chaperonin containing TCP1 complex),-0.8433079434167573,-2.7271560289295875,0.0,0.0,0.0,8/8,15.95%,CCT3;CCT2;CCT5;CCT8;TCP1;CCT7;CCT4;CCT6A
prerank,BBS-chaperonin complex,-0.9296846683581007,-2.7268912352188783,0.0,0.0,0.0,6/6,7.27%,CCT3;CCT2;CCT5;CCT8;TCP1;CCT4
prerank,TNFalpha-NFkappa B signaling complex,-0.5855167394468704,-2.7228899185472537,0.0,0.0,0.0,17/17,41.84%,RPL6;CHUK;RPL30;RPS13;IKBKG;DDX3X;RELA;GTF2I;NFKBIB;NFKB1;REL;NFKB2;NFKBIA;RELB;TNIP2;MAP3K8;GLG1
prerank,BRM-SIN3A complex,-0.6036349507699577,-2.692562537206884,0.0,0.0,0.0,13/15,25.06%,HDAC1;SMARCC1;SMARCC2;HDAC2;SMARCB1;SMARCA2;ACTL6A;RBBP4;SIN3A;SMARCE1;SMARCD2;PRMT5;ARID1A
prerank,"Respiratory chain complex I (incomplete intermediate), mitochondrial",0.8525780682643425,2.6719345091180053,0.0,0.0,0.0,11/11,15.08%,NDUFV1;NDUFV3;NDUFA10;NDUFB8;NDUFS6;NDUFS1;NDUFS2;NDUFS4;NDUFV2;NDUFS7;NDUFA9
prerank,BRCA1-core RNA polymerase II complex,-0.6253633720930233,-2.66717681781227,0.0,0.0,0.0,13/13,37.79%,POLR2A;BRCA1;POLR2L;POLR2H;POLR2E;POLR2B;POLR2F;POLR2J;POLR2K;POLR2G;POLR2C;POLR2I;POLR2D
prerank,Anti-HDAC2 complex,-0.5651382823871907,-2.656791709972562,0.0,0.0,0.0,17/17,43.87%,HDAC1;HDAC2;RBBP4;SIN3A;RBBP7;MTA2;HMG20B;GTF2I;KDM1A;CHD4;RCOR1;CHD3;MTA1;ZMYM2;PHF21A;GSE1;ZMYM3
prerank,Arp2/3 protein complex,-0.8542422044960116,-2.654772609753244,0.0,0.0,0.0,7/7,14.83%,ARPC3;ARPC2;ARPC1B;ACTR3;ARPC5;ARPC4;ACTR2
prerank,Oligosaccharyltransferase complex (Stt3B variant),-0.8422770123277737,-2.639706573088085,0.0,0.0,0.0,7/7,16.02%,DAD1;RPN1;DDOST;MAGT1;RPN2;TUSC3;STT3B
prerank,BRM-SIN3A-HDAC complex,-0.6612130040236426,-2.6302051119872347,0.0,0.0,0.0,11/12,25.06%,SMARCC1;SMARCC2;HDAC2;SMARCB1;SMARCA2;ACTL6A;SIN3A;SMARCE1;SMARCD2;PRMT5;ARID1A
prerank,AP3-BLOC1 complex,0.8161944047735714,2.620773889228568,0.0,0.0,0.0,11/12,11.72%,AP3D1;AP3S1;AP3B1;AP3M1;BLOC1S4;BLOC1S2;BLOC1S3;SNAPIN;DTNBP1;BLOC1S6;BLOC1S5
prerank,RNA polymerase II core complex,-0.6251362150381402,-2.612679331078703,0.0,0.0,0.0,12/12,37.79%,POLR2A;POLR2L;POLR2H;POLR2E;POLR2B;POLR2F;POLR2J;POLR2K;POLR2G;POLR2C;POLR2I;POLR2D
prerank,HES1 promoter-Notch enhancer complex,-0.6210029069767442,-2.5998223944720764,0.0,0.0,0.0,13/13,38.23%,POLR2A;SUPT16H;EP300;RBPJ;CDK9;CDK8;CCNT1;CDK7;MED1;NOTCH1;SUPT6H;INPP5K;MAML1
