Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Nop56p-associated pre-rRNA complex,0.9217939214232743,3.6122072715249773,0.0,0.0,0.0,100/100,11.12%,HNRNPU;U2AF1;DHX9;U2AF2;FBL;NCL;RPL6;NPM1;ILF3;HNRNPM;RPL8;RPL4;ILF2;HNRNPA1;RPL30;RPS13;TOP1;RPL13A;RPL7A;RPL7;RPL13;RPL19;RPL14;RPL21;RPL15;RPL10A;RPL18A;DDX21;RPS8;RPL10;RPL26;RPL18;RPLP0;RPS9;RPL3;RPS6;RPS11;EEF1A1;NOP58;RSL1D1;MYBBP1A;EBNA1BP2;RBM28;NOP56;RPL11;YBX1;SRPK1;RPL36;RPLP2;RPL37A;RPL27;RPL12;RPLP1;RPL28;RPL35A;RPL32;TUBA1A;TUBB1;RPL29;RPS23;RPS7;RPL39;RPL9;RPS17;RPS15;RPS29;RPS24;RPL23;RPL22;RPL24;RPL23A;RPL31;RPS2;RPS16;RPL36A;RPS14;RPL27A;RPL5;RPS12;RPL17;RPS3A;RPS18;RPS15A;RPL35;ACTA2;PWP1;LUC7L2;GNL3;BRIX1;IGF2BP1;SCYL2;SRP14;NOLC1;TUFM;TCOF1;SLC25A5;NAP1L1;LYAR;ACTG2;EEF2
prerank,C complex spliceosome,0.8908489525909606,3.348034689982972,0.0,0.0,0.0,77/77,13.37%,HNRNPU;U2AF1;SNRPD1;EFTUD2;DDX5;DHX38;CDC5L;SNRPD3;SNRPD2;SF3B3;PABPC1;SNRPB;SF3B2;SF3B1;PRPF8;SRSF1;SNRPA1;SNW1;SRRM1;SNRPB2;HNRNPM;CWC15;PLRG1;PRPF19;LSM2;SF3A1;SNRNP200;DDX23;HNRNPA1;SNRPE;SNRPF;SNRPG;HNRNPC;RBM8A;SF3A2;SF3A3;MAGOH;EIF4A3;ALYREF;LSM3;CWC22;XAB2;CRNKL1;PPIE;PPWD1;PPIL1;PPIL3;DHX8;SNRNP40;CACTIN;AQR;CDC40;PRPF6;SYF2;RBM22;TFIP11;DDX41;SART1;ISY1;SRRM2;SLU7;HNRNPK;RBMX;HNRNPR;HNRNPH1;RALY;SYNCRIP;HNRNPF;HNRNPA2B1;PNN;DHX35;CWC27;GPATCH1;FRG1;HNRNPA3;ZCCHC8;WDR83
prerank,"28S ribosomal subunit, mitochondrial",-0.8107620079451066,-3.2690198542859776,0.0,0.0,0.0,29/29,19.80%,MRPS27;MRPS16;MRPS24;MRPS35;MRPS5;MRPS18A;MRPS31;MRPS34;MRPS23;MRPS18C;MRPS21;MRPS2;MRPS25;MRPS7;MRPS33;MRPS22;MRPS28;MRPS15;MRPS14;MRPS12;MRPS9;MRPS26;MRPS6;MRPS30;MRPS18B;MRPS17;MRPS11;DAP3;MRPS10
prerank,"Spliceosome, A complex",0.8250854277331559,3.1878126396699655,0.0,0.0,0.0,82/96,8.40%,HNRNPU;U2AF1;DHX9;U2AF2;SNRPD1;EFTUD2;HSPA8;DDX5;DHX15;CDC5L;SNRPD3;SNRPD2;SF3B3;SNRPB;SF3B2;SF3B1;SRRT;PRPF8;SRSF1;SNRPA1;ILF3;SRRM1;SNRPB2;CWC15;PLRG1;PRPF19;SF3B4;ILF2;SF3A1;SNRNP200;DDX23;SNRPA;HNRNPA1;SNRPE;SNRPF;SNRPG;SRSF2;BCAS2;HTATSF1;HNRNPC;SF3A2;SF3A3;DDX17;PRPF6;SART1;SRRM2;HNRNPK;SF3B6;RNPS1;YBX1;PUF60;U2SURP;RBM17;SMNDC1;DDX46;DNAJC8;ACIN1;SRSF7;NCBP1;NCBP2;SRSF5;SRSF4;SRSF6;SRSF9;SRSF3;SNRPC;SNRNP70;TRA2B;CIRBP;CTNNBL1;PRPF3;ZNF207;WBP11;CFAP20;CD2BP2;TCERG1;PRPF40A;RBM25;SF1;RBM39;RBMX;HNRNPR
prerank,"Spliceosome, C complex",0.9171518992315995,3.1673333283592067,0.0,0.0,0.0,34/36,4.86%,SNRPD1;EFTUD2;DHX38;CDC5L;SNRPD3;SNRPD2;SNRPB;PRPF8;SNRPA1;SNW1;SNRPB2;CWC15;PLRG1;PRPF19;SNRNP200;SNRPE;SNRPF;SNRPG;BCAS2;RBM8A;MAGOH;EIF4A3;CWC22;XAB2;CRNKL1;PPIE;PPWD1;PPIL1;AQR;CDC40;SYF2;RBM22;ISY1;SRRM2
prerank,CEN complex,0.881288454578357,3.0171214789451026,0.0,0.0,0.0,35/35,12.97%,FBL;HSPA8;DHX38;HSPA5;SRRT;WTAP;SMARCA5;SUPT16H;RNF2;DDB1;RING1;CUL4A;SSRP1;BMI1;CBX8;CENPK;CENPM;CENPH;CENPU;CENPC;CENPL;CENPO;RSF1;COBLL1;ZFP91;KIF23;WDR11;CENPB;ZC3H13;CBX3;RACGAP1;SHCBP1;NUP93;CENPI;CENPA
prerank,"Spliceosome, B complex",0.8637786829010212,2.9975463355034835,0.0,0.0,0.0,35/38,8.22%,SNRPD1;EFTUD2;SNRPD3;SNRPD2;SF3B3;SNRPB;SF3B2;SF3B1;PRPF8;SNRPA1;SNRPB2;LSM2;SF3B4;SF3A1;SNRNP200;PRPF31;SNRPE;SNRPF;SNRPG;SF3A2;SF3A3;LSM3;SNRNP40;PRPF6;SART1;SF3B6;LSM4;LSM7;LSM6;MFAP1;PPIH;TXNL4A;PRPF3;PRPF4;SMU1
prerank,"60S ribosomal subunit, cytoplasmic",0.825960326536177,2.9605080217958415,0.0,0.0,0.0,42/47,9.97%,RPL6;RPL8;RPL4;RPL30;RPL13A;RPL7A;RPL7;RPL13;RPL19;RPL14;RPL21;RPL15;RPL10A;RPL18A;RPL10;RPL26;RPL18;RPLP0;RPL3;RPL11;RPL36;RPLP2;RPL37A;RPL27;RPL12;RPLP1;RPL28;RPL35A;RPL32;RPL29;RPL39;RPL9;RPL23;RPL22;RPL24;RPL23A;RPL31;RPL36A;RPL27A;RPL5;RPL17;RPL35
prerank,"Spliceosome, E complex",0.75055850582748,2.9199413893688164,0.0,0.0,0.0,101/114,18.69%,HNRNPU;U2AF1;DHX9;U2AF2;SNRPD1;EFTUD2;DDX5;DHX15;SNRPD3;SNRPD2;SF3B3;SMARCC1;SMARCC2;SNRPB;SF3B2;SF3B1;SRRT;PRPF8;SRSF1;SNRPA1;SMARCB1;SNRPB2;HNRNPM;CPSF6;NUDT21;PRPF19;SF3B4;SF3A1;SNRNP200;DDX23;SNRPA;HNRNPA1;SMARCA4;PRPF31;SNRPE;SNRPF;SNRPG;SRSF2;BCAS2;HTATSF1;ACTL6A;HNRNPC;SMARCA2;SF3A2;SF3A3;ALYREF;DDX17;SNRNP40;PRPF6;SART1;SRRM2;HNRNPK;SF3B6;YBX1;PUF60;U2SURP;RBM17;DDX46;DNAJC8;SRSF7;NCBP1;NCBP2;DDX39B;SRSF5;SRSF4;SRSF6;LSM4;SMARCE1;SRSF3;SRSF11;SNRPC;SNRNP70;LUC7L3;PPIH;USP39;PRPF3;PRPF40A;PRPF4;RBM25;SF1;RBM39;HNRNPR;HNRNPH1;LUC7L2;RUVBL1;SYNCRIP;HNRNPF;HNRNPA2B1;ZCCHC8;CHD4;ARID1A;GEMIN4;DDX20;GEMIN2;HNRNPL;DDX39A;SMARCD1;RUVBL2;FUS;PHF5A;CHERP
prerank,"Spliceosome, pre-B complex",0.8398869647124728,2.9053345155833212,0.0,0.0,0.0,33/37,8.01%,SNRPD1;EFTUD2;SNRPD3;SNRPD2;SF3B3;SNRPB;SF3B2;SF3B1;PRPF8;SNRPA1;SNRPB2;LSM2;SF3B4;SF3A1;SNRNP200;DDX23;PRPF31;SNRPE;SNRPF;SNRPG;SF3A2;SF3A3;LSM3;SNRNP40;PRPF6;SF3B6;LSM4;LSM7;LSM6;TXNL4A;USP39;PRPF3;PRPF4
prerank,ALL-1 supercomplex,0.8642599277978339,2.8716306903651145,0.0,0.0,0.0,28/28,14.44%,EFTUD2;HDAC1;TBP;SMARCC1;SMARCC2;HDAC2;SMARCB1;SMARCA5;RBBP4;SIN3A;SMARCA2;RBBP7;TAF9;WDR5;RBBP5;SAP30;SAP18;CPSF2;TAF6;MTA2;TAF1;MBD3;KDM1A;KMT2A;TAF12;CHD3;RAN;SYMPK
prerank,17S U2 snRNP,0.8227848101265819,2.8337675083134926,0.0,0.0,0.0,33/33,18.69%,U2AF1;U2AF2;SNRPD1;DHX15;SNRPD3;SNRPD2;SF3B3;SNRPB;SF3B2;SF3B1;SRSF1;SNRPA1;SNRPB2;SF3B4;SF3A1;SNRPE;SNRPF;SNRPG;SF3A2;SF3A3;SF3B6;PUF60;U2SURP;RBM17;SMNDC1;DDX46;DNAJC8;HMG20B;SF3B5;PHF5A;TRAP1;HSPD1;CHERP
prerank,CDC5L complex,0.8432647165041528,2.8156236089092985,0.0,0.0,0.0,29/29,16.55%,SNRPD1;HSPA8;CDC5L;SNRPD3;SNRPD2;SF3B2;SF3B1;SRSF1;SNRPA1;SRRM1;CWC15;PLRG1;PRPF19;SF3B4;ILF2;SNRPA;SRSF2;BCAS2;SFPQ;RBMX;TOP2A;TCF4;PRKDC;PPP1CA;BZW1;PPM1D;DYNC1H1;SCAF8;SFI1
prerank,"Ribosome, cytoplasmic",0.7314201618837394,2.7942334016680457,0.0,0.0,0.0,80/80,28.95%,RPL6;RPL8;RPL4;RPL30;RPS13;RPL13A;RPL7A;RPL7;RPL13;RPL19;RPL14;RPL21;RPL15;RPL10A;RPL18A;RPS8;RPL10;RPL26;RPL18;RPLP0;RPS9;RPL3;RPS6;RPS11;RPL11;RPL36;RPLP2;RPL37A;RPL27;RPL12;RPLP1;RPL28;RPL35A;RPL32;RPL29;RPS23;RPS7;RPL39;RPL9;RPS17;RPS15;RPS29;RPS24;RPL23;RPL22;RPL24;RPL23A;RPL31;RPS2;RPS16;RPL36A;RPS14;RPL27A;RPL5;RPS12;RPL17;RPS3A;RPS18;RPS15A;RPL35;RPS3;RPS4Y1;RPL34;RPS28;RPS27A;RPS4X;UBA52;RPSA;RPL38;RPS26;RPS25;RPS20;RPS5;RPS27;FAU;RPS19;RPS21;RPL37;RPL41;RPS10
