Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,"39S ribosomal subunit, mitochondrial",-0.6549090909090909,-7.057781738756296,0.0,0.0,0.0,48/48,35.67%,MRPL39;MRPL40;MRPL35;MRPL12;MRPL1;MRPL24;MRPL44;MRPL10;MRPL54;MRPL49;MRPL9;MRPL21;MRPL51;MRPL36;MRPL23;MRPL19;MRPL16;MRPL14;MRPL2;MRPL45;MRPL20;MRPL17;MRPL30;MRPL32;MRPL28;MRPL33;MRPL55;MRPL50;MRPL22;MRPL13;MRPL43;MRPL34;LACTB;MRPL15;MRPL42;MRPL4;MRPL53;MRPL41;MRPL27;MRPL18;MRPL11;MRPL52;MRPL37;MRPL47;MRPL3;MRPL48;MRPL38;MRPL46
prerank,"55S ribosome, mitochondrial",-0.6490260933480339,-5.606349206349206,0.0,0.0,0.0,77/77,36.92%,MRPL39;MRPL40;MRPL35;MRPL12;MRPL1;MRPL24;MRPL44;MRPL10;MRPL54;MRPL49;MRPL9;MRPL21;MRPL51;MRPL36;MRPL23;MRPL19;MRPL16;MRPL14;MRPL2;MRPL45;MRPL20;MRPL17;MRPL30;MRPL32;MRPL28;MRPL33;MRPL55;MRPL50;MRPL22;MRPL13;MRPL43;MRPL34;LACTB;MRPL15;MRPL42;MRPL4;MRPL53;MRPL41;MRPL27;MRPL18;MRPL11;MRPL52;MRPL37;MRPL47;MRPL3;MRPL48;MRPL38;MRPL46;MRPS6;MRPS22;MRPS5;MRPS7;MRPS12;MRPS17;DAP3;MRPS31;MRPS27;MRPS26;MRPS21;MRPS33;MRPS16;MRPS15;MRPS25;MRPS18A;MRPS14;MRPS11;MRPS35;MRPS28;MRPS24;MRPS10;MRPS2;MRPS30;MRPS18B;MRPS34;MRPS23;MRPS18C;MRPS9
prerank,"28S ribosomal subunit, mitochondrial",-0.6377753701697364,-4.105429892339981,0.0,0.0,0.0,29/29,36.92%,MRPS6;MRPS22;MRPS5;MRPS7;MRPS12;MRPS17;DAP3;MRPS31;MRPS27;MRPS26;MRPS21;MRPS33;MRPS16;MRPS15;MRPS25;MRPS18A;MRPS14;MRPS11;MRPS35;MRPS28;MRPS24;MRPS10;MRPS2;MRPS30;MRPS18B;MRPS34;MRPS23;MRPS18C;MRPS9
prerank,ALL-1 supercomplex,0.8382370628411578,2.596962260576792,0.0,0.0,0.0,22/28,10.08%,HDAC1;HDAC2;RBBP4;SIN3A;SMARCB1;RBBP7;SMARCC1;SMARCC2;TBP;SMARCA5;KDM1A;WDR5;TAF9;RBBP5;MBD3;SMARCA2;MTA2;TAF12;SAP30;RAN;TAF6;TAF1
prerank,LARC complex (LCR-associated remodeling complex),0.8705942539844443,2.487634689553585,0.0,0.0,0.0,15/19,9.61%,HDAC1;HDAC2;RBBP4;SMARCB1;ACTL6A;ACTB;SMARCC1;SMARCC2;SMARCA4;SMARCE1;CHD4;MBD3;ARID1A;MTA2;SMARCD2
prerank,BRM-SIN3A complex,0.8999764048049452,2.421985577361228,0.0,0.0,0.0,14/15,9.61%,HDAC1;HDAC2;RBBP4;SIN3A;SMARCB1;ACTL6A;SMARCC1;SMARCC2;SMARCE1;PRMT5;ARID1A;SMARCA2;SMARCD1;SMARCD2
prerank,PP6 holoenzyme,-0.9215896885069819,-2.391441388435959,0.0,0.000968809445204295,0.016,5/5,8.04%,PPP6C;PPP6R2;ANKRD28;PPP6R1;PPP6R3
prerank,BRG1-SIN3A complex,0.8979718718660803,2.3835738927539736,0.0,0.0,0.0,13/14,9.61%,HDAC2;RBBP4;SIN3A;SMARCB1;ACTL6A;SMARCC1;SMARCC2;SMARCA4;SMARCE1;PRMT5;ARID1A;SMARCD1;SMARCD2
prerank,SIN3-ING1b complex II,0.8610348940820716,2.365646831919192,0.0,0.0,0.0,13/16,8.18%,HDAC1;HDAC2;RBBP4;SIN3A;SMARCB1;ACTL6A;RBBP7;SMARCC1;SMARCC2;SMARCA4;ARID1A;SMARCD1;SAP30
prerank,BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I,0.9321851453175458,2.337781419572682,0.0,0.0,0.0,11/11,7.15%,HDAC2;SIN3A;SMARCB1;ACTL6A;SMARCC1;SMARCC2;SMARCA4;SMARCE1;PRMT5;ARID1A;SMARCD1
