Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO:0000049,0.9832129698520363,1.1506512903498167,0.012,1.0,0.638,1/15,1.09%,YER025W
prerank,GO:0070210,0.9682559239029717,1.1392707091131997,0.031,1.0,0.885,1/17,0.27%,YIL084C
prerank,GO:0051028,0.9704166033300569,1.1383287354539313,0.014,0.8393333333333334,0.901,1/21,2.28%,YMR125W
prerank,GO:0000723,0.9655176370280306,1.1349718421469934,0.039,0.75075,0.933,2/16,3.56%,YKL018W;YER133W
prerank,GO:0003824,0.9686705561376597,1.1349582290251132,0.012,0.6010000000000001,0.933,1/22,1.37%,YOR136W
prerank,GO:0004674,0.9629029118295034,1.1320679653144234,0.046,0.5826666666666667,0.953,2/15,2.73%,YIL035C;YOR061W
prerank,GO:0004672,0.9628549896004351,1.1310910928140445,0.04,0.5235714285714286,0.959,2/17,2.73%,YIL035C;YOR061W
prerank,GO:0016301,0.9628309618655639,1.1286863916260392,0.042,0.5095,0.971,2/18,2.73%,YIL035C;YOR061W
prerank,GO:0051726,0.9574719923268611,1.1286127004534963,0.054,0.4541111111111111,0.971,5/15,3.56%,YIL035C;YOR061W;YGL019W;YOR039W;YER133W
prerank,GO:0030117,0.9540881222844048,1.122510832354948,0.055,0.5286000000000001,0.992,1/18,4.47%,YGL137W
prerank,GO:0006891,0.9503382766519551,1.118510497879397,0.063,0.5589090909090909,0.994,1/18,4.47%,YGL137W
prerank,GO:0006890,0.9551476420332223,1.1168932763811796,0.069,0.5448333333333333,0.995,1/17,4.47%,YGL137W
prerank,GO:0006886,0.9449590993583664,1.1108601156371223,0.013,0.6166923076923078,0.998,1/42,4.47%,YGL137W
prerank,GO:0006406,0.9392824342319708,1.1077891121649945,0.093,0.6359285714285714,0.999,1/18,2.28%,YMR125W
prerank,GO:0005654,0.9405458636319142,1.10668266770093,0.041,0.6145333333333334,0.999,7/28,4.65%,YIL035C;YIL084C;YPL235W;YOR061W;YGL019W;YOR039W;YOR224C
prerank,GO:0006623,0.9365315325223817,1.100785092003503,0.075,0.6890624999999999,1.0,1/21,6.11%,YBR105C
prerank,GO:0032040,0.9359958053310702,1.0993334201009164,0.048,0.6795882352941176,1.0,9/32,5.20%,YGR090W;YIL035C;YOR096W;YOR061W;YGL019W;YOR039W;YDL014W;YBR189W;YLR197W
prerank,GO:0006260,0.9337141027542841,1.0975129618411426,0.029,0.6787222222222222,1.0,1/43,0.46%,YML069W
prerank,GO:0004386,0.9226771212564813,1.0903750284509073,0.171,0.7921052631578948,1.0,7/15,7.75%,YGL120C;YPL235W;YDR190C;YPL082C;YBR245C;YER172C;YOR304W
prerank,GO:0005768,0.9248614644178794,1.0890439799371243,0.049,0.782,1.0,1/35,6.93%,YDR202C
prerank,GO:0034605,0.9198339835015472,1.0838661328934565,0.143,0.8608095238095238,1.0,2/19,6.29%,YIL084C;YNL236W
prerank,GO:0031491,0.923176428333593,1.0822644196004745,0.186,0.8574545454545455,1.0,3/15,7.75%,YML069W;YBR245C;YOR304W
prerank,GO:0006261,0.9253292882371424,1.081824019389351,0.137,0.8302608695652174,1.0,1/21,0.46%,YML069W
prerank,GO:0006281,0.912535662717243,1.0780608860867003,0.019,0.8759583333333334,1.0,8/72,5.38%,YPR023C;YML069W;YHR099W;YPL235W;YDR190C;YFL039C;YJL081C;YNL107W
prerank,GO:0000278,0.912040336394484,1.076986279797429,0.236,0.8650399999999999,1.0,1/15,8.48%,YDR328C
prerank,GO:0005524,0.9062085073975089,1.0759797657420747,0.004,0.8521153846153847,1.0,12/104,3.46%,YIL035C;YGL120C;YPL235W;YDR190C;YFR009W;YDL185W;YFL039C;YOR061W;YJL081C;YPL082C;YGL245W;YBR245C
prerank,GO:0000776,0.9128306646100314,1.074855529819413,0.117,0.8449629629629629,1.0,2/30,8.48%,YER133W;YDR328C
prerank,GO:0006974,0.9084264032469005,1.0739812312566692,0.036,0.8328571428571429,1.0,9/66,3.10%,YIL035C;YPR023C;YML069W;YPL235W;YDR190C;YOR061W;YGL019W;YJL081C;YOR039W
prerank,GO:0030686,0.9135691454151712,1.0738666204176157,0.071,0.8064482758620689,1.0,11/40,5.20%,YGR090W;YGL120C;YBR048W;YDR064W;YOR096W;YBL072C;YDL014W;YJR145C;YER102W;YBR189W;YLR197W
prerank,GO:0000775,0.9110982083745661,1.072124897335719,0.114,0.8174333333333333,1.0,2/34,8.48%,YGR252W;YDR328C
prerank,GO:0000724,0.9126000964899617,1.0720151770946431,0.212,0.793483870967742,1.0,1/17,6.56%,YLR357W
prerank,GO:0006303,0.9109530432005979,1.069407761200817,0.24,0.8201562499999999,1.0,2/16,6.56%,YFR037C;YLR357W
prerank,GO:0003690,0.9106469766212184,1.0681218626048543,0.226,0.8190909090909092,1.0,1/18,8.39%,YDR121W
prerank,GO:0005847,0.906184053976235,1.0674305647874924,0.236,0.8073823529411766,1.0,6/16,9.57%,YKL018W;YER133W;YDR195W;YGR156W;YLR277C;YKR002W
prerank,GO:0016887,0.9008519198531912,1.065779108579375,0.061,0.8155142857142857,1.0,8/57,6.38%,YGL120C;YPL235W;YDR190C;YFR009W;YFL039C;YPL082C;YBR245C;YER172C
prerank,GO:0005515,0.9078561582633672,1.0657100693725696,0.153,0.7942777777777777,1.0,6/27,8.48%,YER025W;YPL082C;YNL107W;YGR002C;YBR109C;YDR328C
prerank,GO:0031124,0.9028368662514283,1.0652312256858878,0.202,0.7824054054054054,1.0,5/21,9.57%,YKL018W;YDR195W;YGR156W;YMR061W;YKR002W
prerank,GO:0035267,0.9059655355400142,1.064563539365197,0.253,0.7738157894736842,1.0,7/16,5.38%,YPR023C;YHR099W;YPL235W;YDR190C;YFL039C;YJL081C;YNL107W
prerank,GO:0016787,0.8978997399610128,1.0631893023860188,0.038,0.7796923076923076,1.0,13/82,9.21%,YGL120C;YER025W;YPL235W;YDR190C;YDL185W;YFL039C;YPL082C;YBR245C;YER133W;YER172C;YOR304W;YLR277C;YGL246C
prerank,GO:0005694,0.8975724864062683,1.0616453455429855,0.054,0.7886750000000001,1.0,7/67,8.48%,YML069W;YBR009C;YNL030W;YKL018W;YML010W;YGR002C;YDR328C
prerank,GO:0006355,0.8983470763298439,1.060475182846433,0.093,0.791170731707317,1.0,8/53,7.75%,YPR023C;YHR099W;YPL129W;YJL081C;YNL107W;YFR037C;YDR303C;YOR304W
prerank,GO:0031507,0.8968592365814462,1.0580316905289022,0.297,0.8152380952380952,1.0,4/15,8.39%,YIL084C;YBR245C;YOR304W;YDR121W
prerank,GO:0000166,0.8901565763437297,1.0569983125113276,0.029,0.8148372093023255,1.0,18/120,9.57%,YIL035C;YGL120C;YER025W;YPL235W;YDR190C;YFR009W;YDL185W;YFL039C;YOR061W;YPL082C;YGL245W;YBR245C;YKL173W;YER172C;YOR304W;YDL143W;YGL246C;YKR002W
prerank,GO:0030674,0.8960561012755167,1.0541449235935598,0.288,0.8463181818181819,1.0,1/18,9.30%,YDL132W
prerank,GO:0006338,0.8889857392903725,1.0529905395047925,0.104,0.8490888888888889,1.0,18/66,8.39%,YPR023C;YPL235W;YDR190C;YPL129W;YDR448W;YJL081C;YBR245C;YDL014W;YNL107W;YFR037C;YLR357W;YML010W;YGR252W;YMR033W;YDR303C;YOR304W;YGR002C;YDR121W
prerank,GO:0006360,0.8971214179980123,1.0520744192549405,0.291,0.8471304347826087,1.0,7/18,10.67%,YPR010C;YBR154C;YPR187W;YOR224C;YOR210W;YNL113W;YPR110C
prerank,GO:0042393,0.8930354355196144,1.0501174938881832,0.249,0.8646595744680851,1.0,6/26,6.75%,YML069W;YPL129W;YJL081C;YNL107W;YFR037C;YML010W
prerank,GO:0006325,0.8845153224196706,1.049186064791158,0.059,0.8635416666666667,1.0,20/110,7.84%,YIL084C;YPR023C;YML069W;YHR099W;YBR009C;YPL235W;YDR190C;YDR448W;YJL081C;YNL030W;YBR245C;YGL112C;YNL107W;YFR037C;YLR357W;YGR252W;YMR033W;YDR303C;YOR304W;YGR002C
prerank,GO:0000027,0.8904196671033029,1.048171256970772,0.313,0.865530612244898,1.0,2/19,1.55%,YOR063W;YLR448W
prerank,GO:0000462,0.8881897212248685,1.0479135394012846,0.23,0.8529399999999999,1.0,7/33,7.02%,YGL120C;YBR048W;YDR064W;YBL072C;YER102W;YBR189W;YDL083C
prerank,GO:0016592,0.8902381190280256,1.0465081608382794,0.282,0.8601372549019608,1.0,8/26,11.39%,YPL129W;YNL236W;YHR041C;YPR070W;YGL151W;YBR253W;YHR058C;YOL135C
prerank,GO:0006413,0.8879285754486332,1.045352973098863,0.296,0.8640576923076924,1.0,10/23,11.12%,YDR211W;YER025W;YGL195W;YBR079C;YDL083C;YPL237W;YJR007W;YGL031C;YMR309C;YMR146C
prerank,GO:0042254,0.8836569905664291,1.0445850713849516,0.155,0.8611886792452829,1.0,10/60,5.65%,YGR090W;YPR010C;YOR096W;YDL014W;YBR154C;YPR187W;YOR224C;YBR189W;YLR197W;YHL033C
prerank,GO:0003677,0.8781635337285859,1.0421028807527193,0.077,0.8883148148148148,1.0,25/125,11.49%,YML069W;YPR010C;YBR009C;YPL129W;YDL185W;YPL082C;YNL030W;YBR245C;YBR154C;YPR187W;YOR224C;YGR285C;YFR037C;YOR116C;YOR151C;YML010W;YDR303C;YOR304W;YDR328C;YOR210W;YNL113W;YER148W;YPR110C;YJL176C;YBL002W
prerank,GO:0070847,0.8890909895318899,1.0417555748708396,0.318,0.8782545454545454,1.0,6/20,11.39%,YNL236W;YHR041C;YPR070W;YBR253W;YHR058C;YOL135C
prerank,GO:0022627,0.8816907108949822,1.0410377330065548,0.229,0.8746785714285714,1.0,11/43,8.11%,YBR048W;YDR064W;YJL190C;YOR096W;YBL072C;YJR145C;YER102W;YBR189W;YDL083C;YJR123W;YDR447C
