Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO:0006338,-0.6214758176461939,-5.689017328303945,0.0,0.0,0.0,56/66,11.67%,YDR207C;YDR303C;YLR321C;YCR052W;YLR033W;YKR008W;YLR357W;YMR091C;YGR056W;YIL126W;YML127W;YFR037C;YHR056C;YPL139C;YLR385C;YAL011W;YBR231C;YDR485C;YLR085C;YDR334W;YML041C;YGR252W;YDR176W;YER164W;YDR448W;YPL016W;YJL176C;YBR289W;YNR023W;YHL025W;YOR290C;YFL049W;YPR031W;YGR274C;YFL024C;YHR090C;YDL014W;YMR033W;YGR275W;YPR034W;YFL013C;YGL150C;YNL059C;YOR141C;YDL002C;YLR052W;YNL107W;YGR002C;YPR023C;YDR190C;YPL235W;YJR082C;YJL081C;YBR258C;YOL012C;YPL129W
prerank,GO:0000124,-0.9183673469387755,-4.9899446427406815,0.0,0.0,0.0,19/19,9.85%,YLR055C;YPL047W;YCL010C;YMR223W;YGR252W;YOL148C;YPL254W;YDR392W;YGL066W;YDR176W;YER164W;YBR081C;YDR448W;YHR099W;YBR198C;YMR236W;YDR167W;YDR145W;YGL112C
prerank,GO:0016586,-0.9416666666666667,-4.699753856722204,0.0,0.0,0.0,17/17,7.38%,YDR303C;YLR321C;YCR052W;YCR020W-B;YLR033W;YKR008W;YLR357W;YMR091C;YGR056W;YIL126W;YML127W;YFR037C;YHR056C;YFL049W;YMR033W;YGR275W;YPR034W
prerank,GO:0046695,-0.9158186864014801,-4.653971683026522,0.0,0.0,0.0,16/16,9.85%,YMR223W;YGR252W;YOL148C;YPL254W;YDR392W;YGL066W;YDR176W;YER164W;YBR081C;YDR448W;YHR099W;YBR198C;YMR236W;YDR167W;YDR145W;YGL112C
prerank,GO:0035267,-0.9130434782608696,-4.465167724903124,0.0,0.0,0.0,16/16,10.12%,YDR359C;YNL136W;YOR244W;YFL024C;YHR090C;YEL018W;YPR034W;YNL107W;YGR002C;YPR023C;YDR190C;YPL235W;YHR099W;YJR082C;YJL081C;YFL039C
prerank,GO:0005669,-0.8964879852125693,-4.33187648367907,0.0,0.0,0.0,15/15,11.67%,YCR042C;YML098W;YML015C;YPL011C;YMR227C;YML114C;YGR274C;YMR005W;YER148W;YBR198C;YMR236W;YDR167W;YDR145W;YGL112C;YPL129W
prerank,GO:0008380,-0.49911683234029935,-4.258759385341235,0.0,0.0,0.0,52/63,28.90%,YMR223W;YMR268C;YBL074C;YPL213W;YNL286W;YMR288W;YIR009W;YJL203W;YDL043C;YDL030W;YML049C;YPL178W;YML046W;YDR240C;YKL074C;YKL012W;YDR235W;YBR119W;YGR013W;YIL061C;YHR086W;YMR125W;YLR116W;YDL087C;YPR178W;YDR473C;YOR308C;YBR152W;YBR055C;YGR091W;YGR075C;YDL098C;YJR022W;YER112W;YDR378C;YER146W;YNL147W;YLR438C-A;YBL026W;YER172C;YPR082C;YKL173W;YHR165C;YEL026W;YLR277C;YOR159C;YPR182W;YGR074W;YFL017W-A;YER029C;YLR147C;YLR275W
prerank,GO:0046540,-0.6813348197480048,-4.23807967892275,0.0,0.0,0.0,27/28,28.90%,YPR178W;YDR473C;YOR308C;YBR152W;YBR055C;YGR091W;YGR075C;YDL098C;YJR022W;YER112W;YDR378C;YER146W;YNL147W;YLR438C-A;YBL026W;YER172C;YPR082C;YKL173W;YHR165C;YEL026W;YOR159C;YPR182W;YGR074W;YFL017W-A;YER029C;YLR147C;YLR275W
prerank,GO:0000398,-0.5084204998243129,-4.1255675829046,0.0,0.0,0.0,45/54,28.90%,YPL213W;YNL286W;YMR288W;YIR009W;YJL203W;YOR319W;YMR240C;YDL030W;YML049C;YPL178W;YDR240C;YKL012W;YDR235W;YBR119W;YGR013W;YIL061C;YHR086W;YMR125W;YLR298C;YLR116W;YPR178W;YDR473C;YOR308C;YBR152W;YBR055C;YGR091W;YDL098C;YJR022W;YER112W;YDR378C;YER146W;YNL147W;YLR438C-A;YBL026W;YPR082C;YKL173W;YHR165C;YEL026W;YOR159C;YPR182W;YGR074W;YFL017W-A;YER029C;YLR147C;YLR275W
prerank,GO:0071004,-0.6279576715278944,-4.091949969330334,0.0,0.0,0.0,27/29,28.90%,YPL213W;YMR288W;YIR009W;YJL203W;YOR319W;YDL043C;YMR240C;YDL030W;YML049C;YML046W;YDR240C;YKL074C;YKL012W;YDR235W;YBR119W;YGR013W;YIL061C;YHR086W;YLR298C;YDL087C;YNL147W;YOR159C;YGR074W;YFL017W-A;YER029C;YLR147C;YLR275W
prerank,GO:0006337,-0.7803325614680079,-3.8641183852144128,0.0,0.0,0.0,16/17,7.38%,YDR303C;YLR321C;YCR052W;YCR020W-B;YLR033W;YKR008W;YLR357W;YMR091C;YGR056W;YIL126W;YML127W;YFR037C;YHR056C;YMR033W;YGR275W;YPR034W
prerank,GO:0006325,-0.3331144375401115,-3.772174677785521,0.0,0.0,0.0,68/110,10.85%,YAL013W;YPL181W;YMR263W;YDL076C;YNL097C;YDR207C;YBR095C;YIL084C;YDR303C;YLR321C;YCR052W;YLR033W;YKR008W;YLR357W;YMR091C;YGR056W;YIL126W;YML127W;YFR037C;YHR056C;YMR075W;YOL004W;YPL139C;YNL330C;YLR385C;YAL011W;YBR231C;YDR485C;YLR085C;YDR334W;YML041C;YLR055C;YPL047W;YCL010C;YGR252W;YOL148C;YPL254W;YDR392W;YGL066W;YDR176W;YER164W;YBR081C;YDR448W;YFL049W;YBL052C;YGR274C;YDR359C;YNL136W;YOR244W;YHR090C;YEL018W;YMR033W;YPR034W;YNL107W;YGR002C;YPR023C;YDR190C;YPL235W;YHR099W;YBR198C;YMR236W;YDR167W;YDR145W;YGL112C;YJR082C;YJL081C;YHR119W;YOL012C
prerank,GO:0005685,-0.7231481481481482,-3.5840061341007807,0.0,0.0,0.0,17/17,28.90%,YML046W;YDR240C;YKL012W;YDR235W;YBR119W;YGR013W;YIL061C;YHR086W;YLR298C;YDL087C;YOR159C;YPR182W;YGR074W;YFL017W-A;YER029C;YLR147C;YLR275W
