Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO:0002181,0.8558690017045936,1.8003237320221808,0.0,0.0,0.0,80/89,15.50%,YOR096W;YJL190C;YOL127W;YLR448W;YDR447C;YGR085C;YMR242C;YNL069C;YML063W;YJR145C;YKL180W;YML073C;YGL103W;YFR031C-A;YMR194W;YJL177W;YOR312C;YDR471W;YDL082W;YER074W;YLR029C;YIL133C;YCR031C;YLL045C;YIL018W;YLR441C;YNL178W;YGR034W;YBR031W;YGL030W;YLR075W;YHL001W;YHL033C;YHR203C;YGL076C;YGL135W;YPL198W;YGL147C;YDL075W;YDL136W;YDR418W;YDR382W;YNL096C;YBL027W;YIL069C;YDR012W;YNL301C;YHR141C;YLR287C-A;YPL131W;YLR340W;YPL249C-A;YBL092W;YPL220W;YMR142C;YOL040C;YBR191W;YGL031C;YHR010W;YLR367W;YDR450W;YJL191W;YFR032C-A;YOL120C;YPL143W;YEL054C;YMR230W;YML024W;YLR406C;YML026C;YLR325C;YLR264W;YGR027C;YOR234C;YGR214W;YPR102C;YER131W;YLR344W;YLR192C;YOL039W
prerank,GO:0022625,0.843888447835901,1.7495403155350262,0.0,0.0,0.0,57/62,16.59%,YOR063W;YOL127W;YLR448W;YGR085C;YMR242C;YNL069C;YKL180W;YML073C;YGL103W;YFR031C-A;YMR194W;YJL177W;YOR312C;YDR471W;YDL082W;YLR029C;YIL133C;YLL045C;YIL018W;YGR034W;YBR031W;YGL030W;YLR075W;YHL001W;YHL033C;YGL076C;YGL135W;YPL198W;YGL147C;YDL075W;YDL136W;YDR418W;YDR382W;YBL027W;YDR012W;YNL301C;YHR141C;YPL131W;YLR340W;YPL249C-A;YBL092W;YPL220W;YMR142C;YBR191W;YGL031C;YHR010W;YFR032C-A;YOL120C;YPL143W;YEL054C;YLR406C;YLR325C;YOR234C;YPR102C;YLR344W;YOL039W;YBR084C-A
prerank,GO:0003735,0.8046764211218631,1.7152918746010002,0.0,0.0,0.0,95/161,15.50%,YOR063W;YDR064W;YOR096W;YBL072C;YJR123W;YDL083C;YJL190C;YOL127W;YLR448W;YDR447C;YGR085C;YMR242C;YBR048W;YNL069C;YML063W;YJR145C;YKL180W;YML073C;YGL103W;YFR031C-A;YMR194W;YJL177W;YOR312C;YDR471W;YDL082W;YER074W;YLR029C;YIL133C;YCR031C;YLL045C;YBR189W;YIL018W;YLR441C;YNL178W;YGR034W;YBR031W;YGL030W;YLR075W;YER102W;YHL001W;YHL033C;YHR203C;YGL076C;YGL135W;YPL198W;YGL147C;YDL075W;YDL136W;YDR418W;YDR382W;YNL096C;YBL027W;YBR181C;YPL090C;YIL069C;YDR012W;YNL301C;YHR141C;YLR287C-A;YPL131W;YLR340W;YPL249C-A;YDR025W;YBL092W;YPL220W;YMR142C;YOL040C;YBR191W;YGL031C;YHR010W;YLR367W;YHL015W;YDR450W;YJL191W;YFR032C-A;YPL081W;YGL123W;YOL120C;YPL143W;YEL054C;YMR230W;YML024W;YLR406C;YGR118W;YNL302C;YML026C;YLR325C;YLR264W;YGR027C;YOR234C;YGR214W;YPR102C;YER131W;YLR344W;YOL039W
prerank,GO:0022627,0.8376455313091712,1.711617086429956,0.0,0.0,0.0,40/43,14.68%,YDR064W;YOR096W;YBL072C;YJR123W;YDL083C;YJL190C;YDR447C;YBR048W;YML063W;YJR145C;YER074W;YCR031C;YBR189W;YLR441C;YNL178W;YER102W;YHR203C;YNL096C;YBR181C;YPL090C;YIL069C;YLR287C-A;YDR025W;YOL040C;YLR367W;YHL015W;YDR450W;YJL191W;YPL081W;YGL123W;YMR116C;YMR230W;YML024W;YGR118W;YNL302C;YML026C;YLR264W;YGR027C;YGR214W;YER131W
prerank,GO:0000462,0.8421052631578946,1.6969468955555014,0.0,0.0,0.0,33/33,18.32%,YDR064W;YBL072C;YDL083C;YBR048W;YML063W;YER074W;YCR031C;YBR189W;YLR441C;YER102W;YBR181C;YPL090C;YIL069C;YDR025W;YGL120C;YDL148C;YMR093W;YDR449C;YPL126W;YHL015W;YCR057C;YLR129W;YJL191W;YPL081W;YDR324C;YJL109C;YGR118W;YGR128C;YLR222C;YLR192C;YEL026W;YHR196W;YMR143W
prerank,GO:0005840,0.7951993782458716,1.6956981620492027,0.0,0.0,0.0,96/163,15.50%,YOR063W;YDR064W;YOR096W;YBL072C;YJR123W;YDL083C;YJL190C;YOL127W;YLR448W;YDR447C;YGR085C;YMR242C;YBR048W;YNL069C;YML063W;YJR145C;YKL180W;YML073C;YGL103W;YFR031C-A;YMR194W;YJL177W;YOR312C;YDR471W;YDL082W;YER074W;YLR029C;YIL133C;YCR031C;YLL045C;YBR189W;YIL018W;YLR441C;YNL178W;YGR034W;YBR031W;YGL030W;YLR075W;YER102W;YHL001W;YHL033C;YHR203C;YGL076C;YGL135W;YPL198W;YGL147C;YDL075W;YDL136W;YDR418W;YDR382W;YNL096C;YBL027W;YBR181C;YPL090C;YIL069C;YDR012W;YNL301C;YHR141C;YLR287C-A;YPL131W;YLR340W;YPL249C-A;YDR025W;YBL092W;YPL220W;YMR142C;YOL040C;YBR191W;YGL031C;YHR010W;YLR367W;YHL015W;YDR450W;YJL191W;YFR032C-A;YPL081W;YGL123W;YOL120C;YMR116C;YPL143W;YEL054C;YMR230W;YML024W;YLR406C;YGR118W;YNL302C;YML026C;YLR325C;YLR264W;YGR027C;YOR234C;YGR214W;YPR102C;YER131W;YLR344W;YOL039W
prerank,GO:0032040,0.8330172527826661,1.6684209516490753,0.0,0.0,0.0,29/32,11.58%,YOR096W;YCR031C;YBR189W;YDL014W;YNL096C;YBR181C;YPL090C;YGR090W;YLR197W;YDL148C;YMR093W;YDR449C;YPL126W;YPR144C;YCR057C;YLR129W;YJL191W;YPL081W;YGL123W;YDR324C;YOR310C;YIL035C;YJL109C;YGR128C;YGL019W;YOR061W;YOR039W;YLR222C;YLR409C
prerank,GO:0030686,0.8109540288426288,1.649694946404559,0.0,0.0,0.0,38/40,18.32%,YDR064W;YOR096W;YBL072C;YJR123W;YBR048W;YML063W;YJR145C;YCR031C;YBR189W;YLR441C;YNL178W;YER102W;YDL014W;YHR203C;YPL090C;YGR090W;YLR340W;YDR025W;YLR197W;YGL120C;YDL148C;YMR093W;YDR449C;YPL126W;YPR144C;YCR057C;YLR129W;YPL081W;YDR324C;YOR310C;YJL109C;YGR128C;YLR222C;YLR409C;YGR214W;YER131W;YHR196W;YMR143W
prerank,GO:0006412,0.7621066028607743,1.6227173627051459,0.0,9.570187446013337e-05,0.001,97/155,16.68%,YOR063W;YDR064W;YOR096W;YBL072C;YJR123W;YDL083C;YJL190C;YOL127W;YLR448W;YDR447C;YGR085C;YMR242C;YBR048W;YNL069C;YML063W;YJR145C;YKL180W;YML073C;YGL103W;YFR031C-A;YMR194W;YJL177W;YOR312C;YDR471W;YDL082W;YER074W;YLR029C;YIL133C;YCR031C;YBR189W;YIL018W;YLR441C;YNL178W;YGR034W;YBR031W;YLR075W;YER102W;YHL001W;YHR203C;YGL135W;YGL147C;YDL075W;YDL136W;YDR418W;YNL096C;YBL027W;YBR181C;YPL090C;YIL069C;YDR012W;YNL301C;YHR141C;YLR287C-A;YPL131W;YPL249C-A;YDR025W;YBL092W;YPL220W;YMR142C;YOL040C;YBR191W;YHR010W;YLR367W;YHL015W;YDR450W;YBR079C;YJL191W;YFR032C-A;YPL081W;YGL123W;YOL120C;YPL143W;YMR146C;YER025W;YMR309C;YOL139C;YEL054C;YML024W;YLR406C;YGR118W;YNL302C;YML026C;YOR361C;YLR325C;YLR264W;YGR162W;YOR234C;YGR214W;YPR102C;YER131W;YLR344W;YLR192C;YDR429C;YDR211W;YJR007W;YBR084C-A;YPL237W
prerank,GO:0042273,0.8594147665276012,1.614744788030305,0.0,0.0002583950610423601,0.003,13/15,14.86%,YFR031C-A;YGR034W;YHL001W;YGL076C;YPL198W;YGL120C;YOR206W;YPL143W;YDR060W;YLR002C;YGR162W;YOR234C;YLR344W
