S000002143	YAL069W
S000028594	YAL068W-A
S000121252	ARS102
S000028862	TEL01L
S000002142	YAL068C
S000028593	YAL067W-A
S000121253	ARS103
S000000062	YAL067C
S000000061	YAL066W
S000001817	YAL065C
S000002141	YAL064W-B
S000002140	YAL064C-A
S000000060	YAL064W
S000006787	YALWdelta1
S000028813	YAL063C-A
S000000059	YAL063C
S000118317	ARS104
S000000058	YAL062W
S000000057	YAL061W
S000000056	YAL060W
S000000055	YAL059W
S000028734	YAL059C-A
S000000054	YAL058W
S000002139	YAL056C-A
S000000052	YAL056W
S000121254	ARS105
S000000051	YAL055W
S000000050	YAL054C
S000000049	YAL053W
S000000048	YAL051W
S000000047	YAL049C
S000028733	YAL047W-A
S000000046	YAL048C
S000000045	YAL047C
S000000044	YAL046C
S000007586	YAL044W-A
S000000043	YAL045C
S000000042	YAL044C
S000000041	YAL043C
S000000040	YAL042W
S000002138	YAL042C-A
S000000039	YAL041W
S000000038	YAL040C
S000000037	YAL039C
S000118318	ARS106
S000000036	YAL038W
S000028592	YAL037C-B
S000028732	YAL037C-A
S000000035	YAL037W
S000000034	YAL036C
S000000033	YAL035W
S000000032	YAL034W-A
S000002137	YAL034C-B
S000002134	YAL034C
S000000031	YAL033W
S000000030	YAL032C
S000028731	YAL031W-A
S000000029	YAL031C
S000000028	YAL030W
S000000027	YAL029C
S000000026	YAL028W
S000000025	YAL027W
S000028730	YAL026C-A
S000119380	HRA1
S000000024	YAL026C
S000000023	YAL025C
S000000022	YAL024C
S000000021	YAL023C
S000000020	YAL022C
S000000019	YAL021C
S000028729	YAL019W-A
S000000018	YAL020C
S000000017	YAL019W
S000000016	YAL018C
S000000015	YAL017W
S000118319	ARS107
S000028528	YAL016C-B
S000000014	YAL016W
S000028728	YAL016C-A
S000000013	YAL015C
S000000012	YAL014C
S000000011	YAL013W
S000000010	YAL012W
S000000009	YAL011W
S000000008	YAL010C
S000000007	YAL009W
S000000006	YAL008W
S000000005	YAL007C
S000006786	YALCdelta2
S000006680	tP(UGG)A
S000002136	YAL004W
S000000004	YAL005C
