Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,BBSome complex,-0.9343283582089553,-2.202939460659779,0.0,0.0,0.0,8/8,100.00%,Q8TAM2;A8MTZ0;Q3SYG4;Q8IWZ6;Q8N3I7;Q8NFJ9;Q96RK4;Q9BXC9
prerank,Complement C1 complex,-0.9932212581344902,-2.176756908784089,0.0,0.0,0.0,5/5,100.00%,CPX-1919;P00736-PRO_0000027578;P09871-PRO_0000027587;P09871-PRO_0000027588;P00736-PRO_0000027579
prerank,Elongator holoenzyme complex,-0.9671819907784107,-2.165163526217408,0.0,0.0,0.0,6/6,100.00%,Q6IA86;Q8TE02;Q96EB1;Q9H9T3;O95163;Q0PNE2
prerank,Glycoprotein Ib-IX-V-Filamin-A complex,-0.938177874186551,-2.109946697985365,0.0,0.0,0.0,5/5,100.00%,P07359;P13224;P14770;P40197;P21333
prerank,Glycoprotein Ib-IX-V complex,-0.9837354296557331,-2.066138444750202,0.0,0.0,0.0,4/4,100.00%,P07359;P13224;P14770;P40197
prerank,USH2 complex,-0.9522905936568175,-2.0362282640023053,0.0,9.036961171190169e-05,0.001,4/4,100.00%,Q9P202;O75445;Q8WXG9;Q9H5P4
prerank,General transcription factor TFIIIC complex,-0.858963927312178,-1.9927638823344342,0.0,0.00015491933436326003,0.002,6/6,100.00%,Q12789;Q8WUA4;Q969F1;Q9UKN8;Q9Y5Q8;Q9Y5Q9
prerank,CCAAT-binding factor complex,-0.981029810298103,-1.9400197016985488,0.0,0.0007455492966231889,0.01,3/3,100.00%,P23511;P25208;Q13952
prerank,LDLR-PCSK9 complex,-0.9734417344173442,-1.9288895733617564,0.0,0.0010241889327348857,0.015,3/3,100.00%,Q8NBP7-PRO_0000027121;P01130;Q8NBP7-PRO_0000027120
prerank,BAT3 complex,-0.9888888888888889,-1.920232781753564,0.0,0.0009759918064885382,0.016,3/3,100.00%,P11441;P46379;Q7L5D6
prerank,NALCN channelosome complex,-0.8739495798319327,-1.892307640111688,0.0,0.0019224081036895448,0.036,4/4,100.00%,B1AL88;Q8IZF0;Q8N2C7;Q9P2D8
prerank,Actin junctional complex,-0.9262872628726287,-1.8657241226335934,0.0035335689045936395,0.003659969274332018,0.07,3/3,100.00%,P11171;Q00013;P04921
prerank,Eukaryotic translation initiation factor 2 complex,-0.9246612466124661,-1.8626529111611214,0.0,0.003586978434103174,0.072,3/3,100.00%,P05198;P20042;P41091
prerank,"PtdIns(3,5)P2 regulatory complex",-0.9712737127371274,-1.860313313426432,0.0,0.0034469551895825357,0.074,3/3,100.00%,Q08AM6;Q92562;Q9Y2I7
prerank,CENP-A recruiting complex,-0.9439024390243902,-1.8523980861948703,0.0038461538461538464,0.0037593758472151103,0.085,3/3,100.00%,O43482;Q6P0N0;Q9NYP9
prerank,RNase H2 complex,-0.9626016260162602,-1.8519182031827284,0.0,0.003558303461156129,0.086,3/3,100.00%,O75792;Q5TBB1;Q8TDP1
prerank,Subcortical maternal complex,-0.8358654367878459,-1.8507084857391098,0.0,0.003380886649927616,0.087,7/7,100.00%,Q9H808-1;Q8WX94;Q6TGC4;Q587J8;P59047;A6NGQ2;Q9NX02
prerank,p53-MDM2-MDM4 transcriptional regulation complex,-0.9357723577235773,-1.8501118312292282,0.0,0.003283429225532428,0.087,3/3,100.00%,Q00987;O15151;P04637
prerank,Syndecan-1-syntenin-1-ALIX complex,-0.9409214092140922,-1.849141013740736,0.0,0.003167692705269817,0.089,3/3,100.00%,O00560;P18827;Q8WUM4
prerank,AP-4 Adaptor complex,-0.8926538357278394,-1.8481165093448333,0.0,0.003063529837033467,0.091,4/4,100.00%,O00189;Q9UPM8;Q9Y587;Q9Y6B7
prerank,NPHP transition zone complex,-0.9536585365853658,-1.8466513138024772,0.0,0.002969287241962484,0.093,3/3,100.00%,O15259;O75161;Q68CZ1
prerank,SMG1C protein kinase complex,-0.9235772357723577,-1.8262520701850882,0.0,0.0046827889705258145,0.155,3/3,100.00%,Q8ND04;Q96Q15;Q9H0W8
prerank,PeBoW complex,-0.9292682926829269,-1.822488041417052,0.0,0.004974257757707284,0.169,3/3,100.00%,O00541;Q14137;Q9GZL7
prerank,Kinetochore MIS12 complex,-0.8793711032800215,-1.8069950844824045,0.0,0.006619574057896798,0.225,4/4,100.00%,Q6P1K2;Q96IY1;Q9H081;Q9H410
prerank,Complement component C1q complex,-0.9341463414634147,-1.7917398843257957,0.0037313432835820895,0.008241708588125434,0.27,3/3,100.00%,P02746;P02747;P02745
prerank,Signal recognition particle,-0.7381985892566468,-1.765209606476977,0.0,0.012679551674039127,0.383,7/7,100.00%,P09132;P37108;P49458;P61011;Q9UHB9;URS00000478B7_9606;O76094
prerank,XRCC1 DNA repair complex,-0.764514378730331,-1.7626010503333926,0.0,0.012651745639666236,0.392,7/7,100.00%,Q9NUW8;P06746;Q96T60;Q8IW19;Q7Z2E3;P49916;P18887
prerank,Eukaryotic translation initiation factor 2B complex,-0.803416485900217,-1.7554407808924077,0.0,0.013594171590376068,0.427,5/5,100.00%,Q9UI10;Q9NR50;Q14232;Q13144;P49770
prerank,Kinetochore SKA complex,-0.9165311653116531,-1.7545704440744914,0.0,0.013256287180083785,0.43,3/3,100.00%,Q8IX90;Q8WVK7;Q96BD8
prerank,CSL-NOTCH1-MAML transcriptional activation complex,-0.9002710027100271,-1.7468560480838564,0.003676470588235294,0.014441063951561889,0.472,3/3,100.00%,Q92585;Q06330;P46531
prerank,MKS transition zone complex,-0.6795324816526229,-1.73973556019485,0.0,0.015374494586082886,0.506,14/14,100.00%,Q6UX40;Q2MV58;Q5HYA8;Q6NUS6;Q9P2K1;Q9UPM9;Q86X19;Q8N157;Q96GX1;Q96Q45;Q9BPU9;Q9H6L2;Q9NXB0;Q9P0N5
prerank,"Amiloride-sensitive sodium channel complex, delta-alpha-beta-gamma",-0.8091623746272701,-1.7370854489876837,0.01098901098901099,0.015520980811519114,0.522,4/4,100.00%,P51170;P51168;P37088;P51172
prerank,SPATA5-SPATA5L1 ATPase complex,-0.8072648414204391,-1.7187518359927147,0.005988023952095809,0.01907620349045779,0.598,4/4,100.00%,Q9NX04;Q9BW66;Q9BVQ7;Q8NB90
prerank,KMN complex,-0.8856368563685637,-1.7172015529858677,0.0033222591362126247,0.018818142674125408,0.602,3/3,100.00%,CPX-5643;CPX-5644;CPX-550
prerank,Myddosome core complex,-0.8107888316616969,-1.6969303457340346,0.005555555555555556,0.023563230756651846,0.685,4/4,100.00%,Q9NWZ3;Q99836;P51617;O43187
prerank,UTP-A complex,-0.747491185245457,-1.6942834651572518,0.0,0.023737084676326174,0.696,6/6,100.00%,Q15061;Q8IWA0;Q8TED0;Q969X6;Q9H583;Q9H8H0
prerank,CCDC36-MEI4-REC114 meiotic recombination initiation complex,-0.8691056910569106,-1.6914696903258901,0.00784313725490196,0.024033431871489527,0.713,3/3,100.00%,A8MW99;Q7Z4M0;Q8IYA8
prerank,SNAPc snRNA activating protein complex ,-0.7678958785249458,-1.6883750250443474,0.00819672131147541,0.024542484022811194,0.727,5/5,100.00%,Q92966;Q5SXM2;Q16533;Q13487;O75971
prerank,Piccolo NuA4 histone acetyltransferase complex ,-0.8411924119241192,-1.673520876961443,0.011583011583011582,0.028223124888486214,0.78,3/3,100.00%,Q92993;Q9H2F5;Q9NXR8
prerank,Vault ribonucleoprotein complex,-0.6961475854584916,-1.6655578093306291,0.0,0.030052414374792905,0.812,7/7,100.00%,URS0000A76E3A_9606;URS00005CCF67_9606;URS000058CD99_9606;Q99973;URS0000000A8C_9606;Q9UKK3;Q14764
prerank,C5b6 complement complex,-0.8428184281842819,-1.6641092829095954,0.01838235294117647,0.029901320792284348,0.818,3/3,100.00%,P13671;P01031-PRO_0000005985;P01031-PRO_0000005989
prerank,HUSH epigenetic repressor complex,-0.8623306233062331,-1.6456443693028693,0.01818181818181818,0.035076319288748124,0.87,3/3,100.00%,Q8NEY8;Q99549;Q9UK61
prerank,CST complex,-0.8482384823848238,-1.6432338927613026,0.014388489208633094,0.03519370971459315,0.88,3/3,100.00%,Q2NKJ3;Q86WV5;Q9H668
prerank,Synaptonemal complex,-0.7221920781334781,-1.6253652579702567,0.0,0.041516621162372286,0.907,7/7,100.00%,A1L190;Q15431;Q6PIF2;Q8IZU3;Q8N0S2;Q9BX26;Q9BXU0
prerank,"Amiloride-sensitive sodium channel complex, delta-beta-gamma",-0.8089430894308943,-1.6225722142769734,0.02214022140221402,0.041630267795282706,0.914,3/3,100.00%,P51170;P51168;P51172
prerank,Cyclin-dependent protein kinase-activating kinase complex,-0.8203252032520325,-1.622529572205773,0.013605442176870748,0.040748836654962275,0.914,3/3,100.00%,P50613;P51948;P51946
prerank,"Amiloride-sensitive sodium channel complex, alpha-beta-gamma",-0.8186991869918699,-1.6150116750645191,0.034482758620689655,0.042846732497617376,0.924,3/3,100.00%,P51170;P51168;P37088
prerank,MCM complex,-0.7336588011933822,-1.6015393724097102,0.012048192771084338,0.04735367653703648,0.948,6/6,100.00%,P49736;P33992;P33993;Q14566;P33991;P25205
prerank,GINS complex,-0.7609108159392789,-1.5971376692182855,0.02185792349726776,0.04827950398763596,0.955,4/4,100.00%,Q14691;Q9Y248;Q9BRX5;Q9BRT9
prerank,Hydrogen:potassium-exchanging ATPase complex,-0.8398373983739837,-1.590631114817105,0.010238907849829351,0.04997078049221316,0.961,3/3,100.00%,P20648;CHEBI:39128;P51164
prerank,UTP-B complex,-0.6867371847030106,-1.570647808967855,0.0,0.057815288057567214,0.976,6/6,100.00%,Q15269;Q12788;Q8NI36;Q9NYH9;Q9UNX4;Q9Y5J1
prerank,UFM1 ribosome E3 ligase complex,-0.7997289972899729,-1.5664149322198808,0.043478260869565216,0.05877848090999882,0.977,3/3,100.00%,Q96JB5;Q96HY6;O94874
prerank,GPR88-Gi1 signaling complex,-0.7712117104906479,-1.5641769258222056,0.005847953216374269,0.05871296622052118,0.978,4/4,100.00%,Q9GZN0;P63211;P63096;P62873
prerank,"Short transient receptor potential channel complex,TRPC1-TRPC4-TRPC5 variant",-0.7867208672086721,-1.5597440143174535,0.03558718861209965,0.05968410800172707,0.98,3/3,100.00%,Q9UL62;Q9UBN4;P48995
prerank,Interferon gamma receptor-ligand complex,-0.7921409214092141,-1.5309934322394543,0.039285714285714285,0.07256844128850634,0.99,3/3,100.00%,P38484;P15260;CPX-6024
prerank,FERRY RAB5 effector complex,-0.6936008676789588,-1.5204662838676168,0.019417475728155338,0.07680126001058615,0.992,5/5,100.00%,O95825;Q6ZMI0;Q8NB37;Q8TEA7;Q9NQ89
prerank,Outer dynein arm-docking complex,-0.6908893709327549,-1.5191327913279138,0.0707070707070707,0.07605316269859515,0.993,5/5,100.00%,A5D8V7;Q5T2S8;Q96M63;Q96NG3;Q9HAE3
prerank,CatSpermasome complex,-0.7033414832925835,-1.5068094517518333,0.0,0.08120177041340462,0.996,12/12,100.00%,Q9H7T0;Q96P56;Q8NEC5;Q86XQ3;Q86XM0;Q9NTU4;Q5SY80;Q2WGJ8;E9PQX1;A8MZ26;Q7RTX7;Q6ZRH7
prerank,Interleukin-37 receptor-ligand complex,-0.770189701897019,-1.5050426753618924,0.028225806451612902,0.0807996230004447,0.997,3/3,100.00%,Q13478-PRO_0000015448;Q6IA17-PRO_0000099065;Q9NZH6-1
prerank,"Platelet-activating factor acetylhydrolase IB complex, alpha1-alpha2 variant",-0.781029810298103,-1.5038087112844498,0.043795620437956206,0.0801488086272856,0.998,3/3,100.00%,P43034;P68402;Q15102
prerank,MPP10 complex,-0.7525745257452574,-1.4727470894807957,0.0625,0.09706585179284914,0.999,3/3,100.00%,O00566;Q96G21;Q9NV31
prerank,PEX2-PEX10-PEX12 E3 ubiquitin ligase complex,-0.7420054200542006,-1.4722295645876702,0.04713804713804714,0.0958500913899138,0.999,3/3,100.00%,O00623;O60683;P28328
prerank,Tubulin polyglutamylase complex,-0.6824837310195228,-1.4688705036294183,0.038461538461538464,0.09630818619582665,0.999,5/5,100.00%,Q8IUZ0;Q68CL5;Q6ZTW0;Q9BSH3;O95922
prerank,Glutamate decarboxylase 1/2 complex,-0.7338753387533875,-1.4547050382769187,0.05423728813559322,0.10369065728830919,1.0,3/3,100.00%,CHEBI:18405;Q99259;Q05329
prerank,Cardiac Troponin complex,-0.7295392953929539,-1.4473999802575335,0.0390625,0.10690029914658646,1.0,3/3,100.00%,P19429;P45379;P63316
prerank,Ribosome quality control complex,-0.695310382217403,-1.4306150566939921,0.03783783783783784,0.11670824581629774,1.0,4/4,100.00%,O94822;CPX-137;O60524;Q9BQ70
prerank,SHU complex,-0.6774193548387096,-1.4149213728664551,0.04522613065326633,0.1257216642935277,1.0,4/4,100.00%,Q14159;Q6NVH7;Q9NTI5;Q19AV6
prerank,ESCRT-II complex,-0.7222222222222222,-1.4121821101155025,0.07142857142857142,0.12579449950296714,1.0,3/3,100.00%,Q86VN1;Q96H20;Q9BRG1
prerank,ESCRT-III complex,-0.5977729494839761,-1.4104453700736943,0.0,0.1251736995616419,1.0,11/11,100.00%,Q96CF2;Q96FZ7;Q8WUX9;Q9BY43;O43633;Q7LBR1;Q9H444;Q9HD42;Q9NZZ3;Q9UQN3;Q9Y3E7
prerank,Rixosome RNA degradation complex,-0.6052631578947368,-1.3985164400531336,0.023809523809523808,0.13203774867780652,1.0,7/7,100.00%,Q9NU22;Q5SY16;Q8IZL8;Q9BV38;Q9H4L4;Q9NXF1;Q9Y4W2
prerank,Peroxisomal receptor export module complex,-0.7086720867208672,-1.3930416253499025,0.08239700374531835,0.13423323930085318,1.0,3/3,100.00%,Q7Z412;O43933;Q13608
prerank,Translocon-associated protein complex,-0.6375711574952561,-1.330046781948499,0.09090909090909091,0.1852049884025665,1.0,4/4,100.00%,P43307;P43308;P51571;Q9UNL2
prerank,Ribosome biogenesis complex,-0.6799457994579946,-1.320514959451673,0.12418300653594772,0.19167766026060282,1.0,3/3,100.00%,P61328;Q13428;Q14978
prerank,Fanconi anemia ubiquitin ligase complex,-0.5361020629750272,-1.317225489601649,0.045454545454545456,0.1921062551239977,1.0,9/9,100.00%,Q9NW38;O15287;O15360;Q00597;Q0VG06;Q6NZ36;Q8NB91;Q9HB96;Q9NPI8
prerank,ULK1-ATG13-RB1CC1-ATG101 autophagy initiation complex,-0.6169693683925183,-1.312948436998655,0.10650887573964497,0.1939042684579932,1.0,4/4,100.00%,O75143;O75385;Q8TDY2;Q9BSB4
prerank,HAUS complex,-0.5614654002713705,-1.2850636056221387,0.07407407407407407,0.21967663533324983,1.0,8/8,100.00%,Q9NVX0;O94927;Q68CZ6;Q7Z4H7;Q96CS2;Q99871;Q9BT25;Q9H6D7
prerank,GPI-anchor transamidase complex,-0.5902928416485901,-1.2836697088599363,0.08823529411764706,0.21840809430049418,1.0,5/5,100.00%,Q969N2;O43292;Q92643;Q96S52;Q9H490
prerank,COG tethering complex,-0.5345997286295794,-1.27161411470151,0.06060606060606061,0.2285934085795519,1.0,8/8,100.00%,Q14746;Q8WTW3;P83436;Q96JB2;Q96MW5;Q9H9E3;Q9UP83;Q9Y2V7
prerank,Mitochondrial complex I intermediate assembly (MCIA) complex,-0.5771630051532411,-1.251058623511373,0.16216216216216217,0.24944071886928934,1.0,6/6,100.00%,Q8IUX1;Q96B77;Q9BQ95;Q9GZY4;Q9H845;Q9Y375
prerank,N-acetylglucosamine-1-phosphotransferase complex,-0.6325203252032521,-1.2480852006904855,0.19011406844106463,0.24950146097538936,1.0,3/3,100.00%,Q3T906-PRO_0000225008;Q3T906-PRO_0000225009;Q9UJJ9
prerank,Fukutin-FKRP-TMEM5 multienzyme complex,-0.6211382113821138,-1.243088522183133,0.17870722433460076,0.2521646869027656,1.0,3/3,100.00%,Q9H9S5;Q9Y2B1;O75072
prerank,Membrane attack complex,-0.5294436906377206,-1.2377226514843434,0.15384615384615385,0.25512663868392454,1.0,8/8,100.00%,P13671;P01031-PRO_0000005985;P01031-PRO_0000005989;P07357;P02748;P07358;P07360;P10643
prerank,Anaphase-promoting core complex,-0.5275890187550965,-1.2344187229712542,0.0,0.25571115984860004,1.0,14/14,100.00%,Q9UJX4;P30260;Q96DE5;Q9UJX5;P60006;Q13042;Q8NHZ8;Q9BS18;Q9H1A4;Q9NYG5;Q9UJX2;Q9UJX3;Q9UJX6;Q9UM13
prerank,MTERF4-NSUN4 mitochondiral ribosomal assembly complex,-0.6314363143631436,-1.2096607653960256,0.241635687732342,0.2816885346782627,1.0,3/3,100.00%,CHEBI:15414;Q7Z6M4;Q96CB9
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL31 variant ",0.9964633403123391,1.19993153740875,0.009523809523809525,0.1468349689047839,0.103,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL4 variant ",0.9964633403123391,1.1981545488238496,0.005509641873278237,0.18957051955617624,0.217,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL17 variant ",0.9964633403123391,1.1980635453981565,0.008174386920980926,0.1336855687043555,0.23,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL38 variant ",0.9964633403123391,1.197769569743235,0.005457025920873124,0.11259173921616826,0.252,1/3,0.11%,P62877
prerank,"m-AAA protease complex, AFG3L2-SPG7 variant",1.0,1.1972911804869408,0.0014005602240896359,0.11176990170364147,0.296,1/3,0.03%,CHEBI:29105
prerank,ERAP1-ERAP2 endoplasmic reticulum aminopeptidase complex,1.0,1.1972476286124731,0.001379310344827586,0.094054737544731,0.297,1/3,0.03%,CHEBI:29105
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL15 variant ",0.9964633403123391,1.196076877006551,0.006868131868131868,0.12257119472542197,0.396,1/3,0.11%,P62877
prerank,NUBP1-NUBP2 iron-sulfur cluster assembly scaffold complex,0.9981029810298103,1.1957604972757832,0.004195804195804196,0.11807065596634675,0.419,1/3,0.22%,CHEBI:49883
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL11 variant ",0.9964633403123391,1.1955964608443246,0.011111111111111112,0.11067411835360577,0.44,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL36 variant ",0.9964633403123391,1.1955474747092458,0.006915629322268326,0.10037375486327019,0.443,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL1 variant ",0.9964633403123391,1.1944931135260886,0.00684931506849315,0.12193080185851797,0.53,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL16 variant ",0.9964633403123391,1.1940788034454843,0.006983240223463687,0.1271108686041413,0.574,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL23 variant ",0.9964633403123391,1.1935152995061162,0.008287292817679558,0.13756295594294335,0.63,1/3,0.11%,P62877
prerank,[Cu-Zn] Superoxide dismutase complex,1.0,1.1935101536645025,0.0,0.1277370305184474,0.63,1/3,0.03%,CHEBI:29105
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL12 variant ",0.9964633403123391,1.1928738369847107,0.008253094910591471,0.14303625329132683,0.694,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL13 variant ",0.9964633403123391,1.1926846276461263,0.008368200836820083,0.14067118756083308,0.712,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KBTBD2 variant",0.9964633403123391,1.1925429348251315,0.011157601115760111,0.13793978641625879,0.734,1/3,0.11%,P62877
prerank,Mitochondrial processing peptidase complex,1.0,1.192535334583824,0.001430615164520744,0.13045909550702817,0.734,1/3,0.03%,CHEBI:29105
prerank,"General transcription factor TFIII3B complex, BRF2 variant",0.9932155862228413,1.1923352583666382,0.011235955056179775,0.1300521818068687,0.753,1/3,0.70%,P20226
prerank,"General transcription factor TFIII3B complex, BRF1 variant",0.9932155862228413,1.1922172540159335,0.024423337856173677,0.12749439277665378,0.761,1/3,0.70%,P20226
prerank,"CRL3 E3 ubiquitin ligase complex, SPOPL variant",0.9964633403123391,1.1914298390543843,0.008310249307479225,0.15179208405970732,0.833,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL42 variant ",0.9964633403123391,1.1911513921424708,0.008333333333333333,0.1559000857096247,0.855,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL28 variant ",0.9964633403123391,1.1909306796596215,0.011004126547455296,0.15788808791383965,0.867,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL35 variant ",0.9964633403123391,1.190853731910938,0.008344923504867872,0.15395756068001595,0.872,1/3,0.11%,P62877
prerank,General transcription factor TFIIB-TBP complex,0.9934959349593494,1.1903476571533986,0.024423337856173677,0.1646743218433651,0.897,2/3,0.70%,CHEBI:29105;P20226
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL6 variant ",0.9964633403123391,1.1901912304655653,0.012838801711840228,0.16495753969383586,0.905,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL9 variant ",0.9964633403123391,1.1901496561451368,0.006963788300835654,0.16002495367373215,0.906,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL3 variant ",0.9964633403123391,1.1900940581864192,0.008310249307479225,0.15587518154257843,0.91,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL34 variant ",0.9964633403123391,1.1899734596715434,0.008333333333333333,0.15461880925331337,0.913,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, SPOP variant",0.9964633403123391,1.1898099044182913,0.004048582995951417,0.15406713901501953,0.919,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, ENC1 variant ",0.9964633403123391,1.1897756267470325,0.008321775312066574,0.14994557970488523,0.921,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL20 variant ",0.9964633403123391,1.1896609971468446,0.0107095046854083,0.1488210762267236,0.927,1/3,0.11%,P62877
prerank,Cubam cobalamin uptake receptor complex,0.997289972899729,1.1894841270299246,0.013477088948787063,0.14955782450184232,0.929,1/3,0.30%,CHEBI:29108
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL7 variant ",0.9964633403123391,1.1893778592412185,0.01227830832196453,0.14818858363129858,0.931,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KBTBD8 variant",0.9964633403123391,1.1891001961205883,0.006887052341597796,0.1523451937506777,0.942,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL25 variant ",0.9964633403123391,1.189041824552018,0.009749303621169917,0.14984837311738208,0.942,1/3,0.11%,P62877
prerank,Mitochondrial pyruvate dehydrogenase serine/threonine phosphatase complex,0.9978319783197832,1.189008001980795,0.008264462809917356,0.14671650583991516,0.942,1/3,0.24%,CHEBI:18420
prerank,tRNA-guanine transglycosylase complex,1.0,1.1889509384981698,0.0,0.1446434022047125,0.945,1/3,0.03%,CHEBI:29105
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL8 variant ",0.9964633403123391,1.1887264258742225,0.008391608391608392,0.1473969090842894,0.952,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL41 variant ",0.9964633403123391,1.1886420497264574,0.00980392156862745,0.14667060140227856,0.954,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, IPP variant ",0.9964633403123391,1.1885084122770162,0.005657708628005658,0.1469953274438135,0.959,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL14 variant ",0.9964633403123391,1.1884720456978783,0.008275862068965517,0.1444346815666105,0.96,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL18 variant ",0.9964633403123391,1.1881504346733933,0.009749303621169917,0.14976555228278635,0.965,1/3,0.11%,P62877
prerank,2-(3-amino-3-carboxypropyl)histidine synthase complex,0.9981029810298103,1.1880286642087983,0.008310249307479225,0.1494000981105493,0.967,1/3,0.22%,CHEBI:49883
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL26 variant ",0.9964633403123391,1.1877109082326642,0.005657708628005658,0.15474895976615285,0.973,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL40 variant ",0.9964633403123391,1.1876044025697141,0.006934812760055479,0.15438634546916036,0.977,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KLHL2 variant ",0.9964633403123391,1.1875908560432529,0.011157601115760111,0.15138130408046394,0.977,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KBTBD4 variant",0.9964633403123391,1.1875017181147127,0.009523809523809525,0.15037343597260752,0.977,1/3,0.11%,P62877
prerank,"CRL3 E3 ubiquitin ligase complex, KBTBD13 variant",0.9964633403123391,1.1874770761870426,0.006954102920723227,0.14802020395686333,0.978,1/3,0.11%,P62877
prerank,NLGN1(+SSA+SSB) - NRXN1-beta(-SS4) complex,0.997289972899729,1.1873352869961264,0.018465909090909092,0.14597553098318727,0.981,1/3,0.30%,CHEBI:29108
prerank,NLGN1(-SSA-SSB) - NRXN1-beta(-SS4) complex,0.997289972899729,1.1873352869961264,0.018465909090909092,0.14597553098318727,0.981,1/3,0.30%,CHEBI:29108
