Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,MKS transition zone complex,-0.9291272929405224,-2.269517990495587,0.0,0.0,0.0,14/14,100.00%,Q96Q45;Q9BPU9;Q9H6L2;Q9NXB0;Q9P0N5;Q86X19;Q96GX1;Q2MV58;Q5HYA8;Q6NUS6;Q6UX40;Q8N157;Q9P2K1;Q9UPM9
prerank,MCM complex,-0.9353854686633389,-2.0937582545300866,0.0,0.0,0.0,6/6,100.00%,P25205;P33991;P33992;Q14566;P33993;P49736
prerank,Signal recognition particle,-0.9223300970873787,-2.080353950661424,0.0,0.0,0.0,7/7,100.00%,URS00000478B7_9606;P61011;P49458;Q9UHB9;O76094;P09132;P37108
prerank,Tubulin polyglutamylase complex,-0.9334627113945106,-2.059315766940411,0.0,0.0,0.0,5/5,100.00%,O95922;Q6ZTW0;Q8IUZ0;Q9BSH3;Q68CL5
prerank,Outer dynein arm-docking complex,-0.9337399500970336,-2.0484384592874805,0.0,0.0,0.0,5/5,100.00%,Q96NG3;Q9HAE3;A5D8V7;Q5T2S8;Q96M63
prerank,Synaptonemal complex,-0.9009708737864077,-2.042517511834681,0.0,0.0,0.0,7/7,100.00%,Q9BXU0;A1L190;Q15431;Q6PIF2;Q8IZU3;Q8N0S2;Q9BX26
prerank,FERRY RAB5 effector complex,-0.9539783753812032,-2.002369981643222,0.0,0.0,0.0,5/5,100.00%,O95825;Q6ZMI0;Q8NB37;Q8TEA7;Q9NQ89
prerank,USH2 complex,-0.9659090909090909,-1.984119722247639,0.0,0.00014309141042704836,0.001,4/4,100.00%,O75445;Q8WXG9;Q9H5P4;Q9P202
prerank,ESCRT-III complex,-0.8017217439600112,-1.962388127336581,0.0,0.000254384729648086,0.003,11/11,100.00%,Q9Y3E7;Q8WUX9;Q96CF2;Q96FZ7;Q9H444;Q9HD42;Q9NZZ3;Q9UQN3;Q9BY43;O43633;Q7LBR1
prerank,UTP-A complex,-0.8935108153078204,-1.9513987986592776,0.0,0.0003434193850249161,0.005,6/6,100.00%,Q8IWA0;Q8TED0;Q969X6;Q9H583;Q9H8H0;Q15061
prerank,General transcription factor TFIIIC complex,-0.8813089295618415,-1.942682488313556,0.0,0.00036423268108703224,0.005,6/6,100.00%,Q12789;Q8WUA4;Q969F1;Q9UKN8;Q9Y5Q8;Q9Y5Q9
prerank,PeBoW complex,-0.973676918814076,-1.9213196954138698,0.0,0.0007154570521352418,0.013,3/3,100.00%,O00541;Q14137;Q9GZL7
prerank,Ribosome quality control complex,-0.9467849223946785,-1.9154843590322113,0.0,0.0006604218942786848,0.013,4/4,100.00%,CPX-137;O60524;O94822;Q9BQ70
prerank,CENP-A recruiting complex,-0.9875311720698255,-1.910324263587743,0.0,0.0007358986821962488,0.016,3/3,100.00%,O43482;Q6P0N0;Q9NYP9
prerank,IkappaB kinase complex,-0.9994458298697702,-1.9031762812270823,0.0,0.000724996479497045,0.017,3/3,100.00%,O14920;O15111;Q9Y6K9
prerank,Glutamate decarboxylase 1/2 complex,-0.9822665558326407,-1.8890299898529803,0.0,0.0013951412516637217,0.029,3/3,100.00%,CHEBI:18405;Q99259;Q05329
prerank,NPHP transition zone complex,-0.9667497921862013,-1.8730589495976826,0.0,0.0021211197310362466,0.043,3/3,100.00%,O75161;Q68CZ1;O15259
prerank,Elongator holoenzyme complex,-0.8261231281198004,-1.8564659952161444,0.0,0.002671039661304903,0.061,6/6,100.00%,Q8TE02;O95163;Q0PNE2;Q6IA86;Q96EB1;Q9H9T3
