Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,30S proteasome complex,-0.8058588235834926,-3.729000627040098,0.0,0.0,0.0,32/33,16.63%,Q15008;Q16186;O00231;P43686;Q9UNM6;P17980;P55036;Q13200;P62191;O00232;P62195;P51665;P48556;P62333;P35998;Q99460;O00487;O43242;Q99436;P28074;P28072;O14818;P20618;P25786;P25787;P25788;P25789;P60900;P49721;P49720;P28070;P28066
prerank,26S proteasome complex,-0.8058588235834926,-3.729000627040098,0.0,0.0,0.0,32/33,16.63%,Q15008;Q16186;O00231;P43686;Q9UNM6;P17980;P55036;Q13200;P62191;O00232;P62195;P51665;P48556;P62333;P35998;Q99460;O00487;O43242;Q99436;P28074;P28072;O14818;P20618;P25786;P25787;P25788;P25789;P60900;P49721;P49720;P28070;P28066
prerank,19S-20S-PA28-alphabeta hybrid proteasome complex,-0.8083307657336596,-3.7103204834891566,0.0,0.0,0.0,34/35,16.63%,Q06323;Q9UL46;Q15008;Q16186;O00231;P43686;Q9UNM6;P17980;P55036;Q13200;P62191;O00232;P62195;P51665;P48556;P62333;P35998;Q99460;O00487;O43242;Q99436;P28074;P28072;O14818;P20618;P25786;P25787;P25788;P25789;P60900;P49721;P49720;P28070;P28066
prerank,19S-20S-PA28-gamma hybrid proteasome complex,-0.8071240375475768,-3.63368775065043,0.0,0.0,0.0,33/34,16.63%,P61289;Q15008;Q16186;O00231;P43686;Q9UNM6;P17980;P55036;Q13200;P62191;O00232;P62195;P51665;P48556;P62333;P35998;Q99460;O00487;O43242;Q99436;P28074;P28072;O14818;P20618;P25786;P25787;P25788;P25789;P60900;P49721;P49720;P28070;P28066
prerank,PA28-gamma single-capped 20S proteasome complex,-0.8374116367591081,-3.502676728352962,0.0,0.0,0.0,15/15,16.63%,P61289;Q99436;P28074;P28072;O14818;P20618;P25786;P25787;P25788;P25789;P60900;P49721;P49720;P28070;P28066
prerank,PA28-gamma double-capped 20S proteasome complex,-0.8374116367591081,-3.502676728352962,0.0,0.0,0.0,15/15,16.63%,P61289;Q99436;P28074;P28072;O14818;P20618;P25786;P25787;P25788;P25789;P60900;P49721;P49720;P28070;P28066
prerank,PA200-20S single-capped proteasome,-0.8374116367591081,-3.3796495152830883,0.0,0.0,0.0,15/15,16.63%,Q14997;Q99436;P28074;P28072;O14818;P20618;P25786;P25787;P25788;P25789;P60900;P49721;P49720;P28070;P28066
prerank,PA200-20S-PA200 double-capped proteasome complex,-0.8374116367591081,-3.3796495152830883,0.0,0.0,0.0,15/15,16.63%,Q14997;Q99436;P28074;P28072;O14818;P20618;P25786;P25787;P25788;P25789;P60900;P49721;P49720;P28070;P28066
prerank,20S proteasome complex,-0.8371840173960315,-3.3558832894082884,0.0,0.0,0.0,14/14,16.63%,Q99436;P28074;P28072;O14818;P20618;P25786;P25787;P25788;P25789;P60900;P49721;P49720;P28070;P28066
prerank,20S immunoproteasome complex,-0.8371840173960315,-3.24123452396589,0.0,0.0,0.0,14/14,16.63%,P28062;P40306;P28065;O14818;P20618;P25786;P25787;P25788;P25789;P60900;P49721;P49720;P28070;P28066
prerank,20S spermatoproteasome complex,-0.8371840173960315,-3.2351982729677187,0.0,0.0,0.0,14/14,16.63%,Q8TAA3;Q99436;P28074;P28072;P20618;P25786;P25787;P25788;P25789;P60900;P49721;P49720;P28070;P28066
prerank,"TREX transcription-export complex, DX39B variant",-0.8532106705228085,-3.222945525560687,0.0,0.0,0.0,15/16,7.93%,Q13838;Q86W42;Q6I9Y2;Q9BY77;O75152;Q9Y3Y2;Q9P127;Q8NI27;Q96J01;Q96FV9;P82979;P84090;Q13769;Q96QD9;Q53F19
prerank,PA28-alphabeta double-capped 20S proteasome complex,-0.8376393799292902,-3.197047970870037,0.0,0.0,0.0,16/16,16.63%,Q06323;Q9UL46;Q99436;P28074;P28072;O14818;P20618;P25786;P25787;P25788;P25789;P60900;P49721;P49720;P28070;P28066
prerank,PA28-alphabeta single-capped 20S proteasome complex,-0.8376393799292902,-3.197047970870037,0.0,0.0,0.0,16/16,16.63%,Q06323;Q9UL46;Q99436;P28074;P28072;O14818;P20618;P25786;P25787;P25788;P25789;P60900;P49721;P49720;P28070;P28066
prerank,Integrator-PP2A complex,-0.8016866158868335,-3.182916089601705,0.0,0.0,0.0,17/17,20.23%,Q9NV88;Q96CB8;Q6P9B9;Q5TA45;Q8N201;Q96SY0;Q96N11;Q9NVR2;Q9H0H0;Q9UL03;Q96HW7;Q9NVH2;Q9NVM9;Q75QN2;Q68E01;P30153;P67775
prerank,20S thymoproteasome complex,-0.8371840173960315,-3.1712377370369627,0.0,0.0,0.0,14/14,16.63%,A5LHX3;P40306;P28065;O14818;P20618;P25786;P25787;P25788;P25789;P60900;P49721;P49720;P28070;P28066
prerank,19S proteasome regulatory complex,-0.7830524430515804,-3.1420864076965533,0.0,0.0,0.0,18/19,16.00%,Q15008;Q16186;O00231;P43686;Q9UNM6;P17980;P55036;Q13200;P62191;O00232;P62195;P51665;P48556;P62333;P35998;Q99460;O00487;O43242
prerank,Multiaminoacyl-tRNA synthetase complex,-0.9502987506789787,-3.0919482675256154,0.0,0.0,0.0,11/11,5.28%,Q12904;P41252;P14868;Q13155;Q15046;O43324;P47897;P54136;P56192;Q9P2J5;P07814
prerank,Integrator core complex,-0.8752039151712887,-3.0652387394739256,0.0,0.0,0.0,15/15,12.86%,Q9NV88;Q96CB8;Q6P9B9;Q5TA45;Q8N201;Q96SY0;Q96N11;Q9NVR2;Q9H0H0;Q9UL03;Q96HW7;Q9NVH2;Q9NVM9;Q75QN2;Q68E01
prerank,Nexin-dynein regulatory complex,-0.878598587724063,-2.971960643328882,0.0,0.0,0.0,11/11,12.43%,Q96DY2;Q5VUJ9;Q86XH1;Q5JU00;Q9H095;Q9H069;Q96MC2;Q8IY82;O95995;Q8IXS2;Q8NEE6
prerank,SIN3B histone deacetylase complex,-0.710984230560087,-2.947544554539366,0.0,0.0,0.0,15/15,29.22%,O75182;P29374;Q9UK53;Q9H7L9;Q5PSV4;Q9H160;Q9H0E3;O75446;Q9HCU9;Q4LE39;Q9HAJ7;Q16576;Q09028;Q92769;Q13547
prerank,"TREX transcription-export complex, DX39A variant",-0.8532106705228085,-2.9141322426874225,0.0,0.0,0.0,15/16,7.93%,O00148;Q86W42;Q6I9Y2;Q9BY77;O75152;Q9Y3Y2;Q9P127;Q8NI27;Q96J01;Q96FV9;P82979;P84090;Q13769;Q96QD9;Q53F19
prerank,Mitochondrial respiratory chain complex IV,-0.7595865148859755,-2.890452445428108,0.0,0.0,0.0,15/16,17.11%,P00414;P14854;P14406;P15954;P00403;P20674;P00395;P10606;P12074;P24311;P13073;P09669;O00483;CHEBI:23378;P10176
prerank,U2 small nuclear ribonucleoprotein complex,-0.6367847411444142,-2.8858365021941315,0.0,0.0,0.0,23/23,36.75%,Q7L014;O43719;CPX-26447;Q7RTV0;Q9Y3B4;Q15459;Q15428;Q15427;Q13435;Q12874;P08579;P09661;URS00006A1489_9606;P62316;P62314;P62308;P14678;P62304;P62306;P62318;O75533;Q15393;Q9BWJ5
prerank,"DNA-directed RNA polymerase III complex, POLR3GL variant",-0.6347305389221557,-2.849482549506698,0.0,0.0,0.0,19/19,36.88%,Q9BT43;Q9Y2Y1;P05423;Q9NVU0;Q9H1D9;Q9BUI4;O75575;Q9Y535;Q9NW08;O14802;O15160;P0DPB6;P52434;P53803;P61218;P62875;P19388;CHEBI:18420;CHEBI:29105
prerank,Mitochondrial respiratory chain complex III,-0.8330071412201624,-2.689562736418517,0.0,0.0,0.0,11/12,7.50%,P07919;P31930;Q9UDW1;P47985-PRO_0000030664;P14927;P08574;O14949;P00156;P22695;O14957;P47985-PRO_0000307241
prerank,"SAGA complex, KAT2B variant",-0.6345315904139435,-2.6740627390971694,0.0,0.0,0.0,21/21,36.93%,Q96BN2;Q86TJ2;O94864;Q8NEM7;Q9Y6J9;O15265;Q9UPT9;CHEBI:27363;Q14CW9;O75486;O75529;Q9NPA8;Q12962;Q16514;Q16594;Q15393;Q9BWJ5;Q9Y4A5;Q92831;Q96ES7;O75528
prerank,"SIN3A histone deacetylase complex, ES cell-specific variant",-0.6587755102040816,-2.6322370209296007,0.0,0.0,0.0,18/18,34.47%,Q9NP50;Q96ST3;Q8NFU7;P29374;Q9UK53;Q9H7L9;Q5PSV4;Q9H160;Q9H0E3;O75446;Q9HCU9;Q4LE39;Q9HAJ7;Q16576;Q09028;Q92769;Q13547;O15294
prerank,"DNA-directed RNA polymerase III complex, POLR3G variant",-0.6347305389221557,-2.613150465226559,0.0,0.0,0.0,19/19,36.88%,O15318;Q9Y2Y1;P05423;Q9NVU0;Q9H1D9;Q9BUI4;O75575;Q9Y535;Q9NW08;O14802;O15160;P0DPB6;P52434;P53803;P61218;P62875;P19388;CHEBI:18420;CHEBI:29105
prerank,SIN3A histone deacetylase complex,-0.710984230560087,-2.573361335738092,0.0,0.0,0.0,15/15,29.22%,Q96ST3;P29374;Q9UK53;Q9H7L9;Q5PSV4;Q9H160;Q9H0E3;O75446;Q9HCU9;Q4LE39;Q9HAJ7;Q16576;Q09028;Q92769;Q13547
prerank,NuA4 histone acetyltransferase complex,-0.6355470876428961,-2.5668816348782078,0.0,0.0,0.0,19/19,36.80%,Q15014;Q05BQ5;Q9UBU8;Q96L91;Q9NXR8;Q92993;Q9H2F5;Q52LR7;Q9H0E9;Q9NV56;O95619;Q9NPF5;Q15906;P60709;Q9Y230;Q9Y265;O96019;Q9Y4A5;Q9HAF1
prerank,TFTC histone acetylation complex,-0.6340136054421769,-2.5097751171000264,0.0,0.0,0.0,18/18,36.93%,O15265;Q9UPT9;CHEBI:27363;Q14CW9;O75486;O75529;O00268;P49848;Q15542;Q15545;Q6P1X5;Q9NPA8;Q12962;Q16514;Q16594;Q9Y4A5;Q92830;O75528
prerank,40S cytosolic small ribosomal subunit,0.8666666666666663,2.4875311761281362,0.0,0.0,0.0,33/33,14.11%,URS0000704D22_9606;P63244;P63220;P62979;P62861;P62857;P62854;P62851;P62847;P62841;P62753;P62280;P62277;[P62701];P62266;P62263;P62249;P62244;P62241;P62081;P61247;P60866;P46783;P46782;P46781;P39019;P25398;P23396;P62273;P62269;P15880;P08865;P08708
prerank,Core mediator complex,0.8734345828700882,2.4676231287224635,0.0,0.0,0.0,23/26,1.73%,Q9Y3C7;Q9Y2X0;Q9ULK4;Q9P086;Q9NX70;Q9BUE0;Q9BTT4;Q96RN5;Q96HR3;Q96G25;Q71SY5;Q6P2C8;Q15648;Q15528;Q13503;O95402;O75586;O75448;O60244;Q9H944;Q9H204;O43513;A0JLT2
prerank,DNA-directed RNA polymerase II complex,-0.6338678988855667,-2.452196444617215,0.0,0.0,0.0,14/14,36.88%,P62487;O15514;P52435;P36954;P30876;P24928;P19387;P52434;P53803;P61218;P62875;P19388;CHEBI:18420;CHEBI:29105
prerank,"Non-canonical polycomb repressive complex 1.6, RING2-YAF2 variant",-0.9419582316246271,-2.4490939088320602,0.0,0.0,0.0,6/6,5.98%,Q9BYE7;CPX-2551;Q969R5;CPX-2552;Q8IY57;Q99496
prerank,"DNA-directed RNA polymerase II complex, Pol II(G) variant",-0.6340402392604676,-2.4425159988311105,0.0,0.0,0.0,15/15,36.88%,P62487;O15514;P0CAP2;P52435;P36954;P30876;P24928;P19387;P52434;P53803;P61218;P62875;P19388;CHEBI:18420;CHEBI:29105
prerank,U5 small nuclear ribonucleoprotein complete complex,-0.6522566612289287,-2.4331062639405197,0.0,0.0,0.0,15/15,35.07%,O95400;URS000075BAAE_9606;O94906;Q9BUQ8;O75643;Q15029;Q96DI7;Q6P2Q9;P62316;P62314;P62308;P14678;P62304;P62306;P62318
