Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,39S mitochondrial large ribosomal subunit,-0.7320692497938994,-6.046408839779005,0.0,0.0,0.0,54/54,27.89%,Q4U2R6;Q5T653;Q6P161;Q6P1L8;Q7Z2W9;Q96GC5;Q9BQ48;Q9BQC6;Q9BRJ2;Q9BYC8;O75394;P09001;P49406;P52815;Q13084;Q13405;Q14197;Q16540;Q9NQ50;Q9NRX2;Q9NVS2;Q9NWU5;Q9NX20;Q7Z7F7;Q7Z7H8;Q86TS9;Q8IXM3;Q8N5N7;Q8N983;Q8TAE8;Q8TCC3;Q96A35;Q96DV4;Q96EL3;Q9BYC9;Q9BYD1;Q9BYD2;Q9BYD3;Q9BYD6;Q9BZE1;Q9H0U6;Q9H2W6;Q9H9J2;Q9HD33;Q9NP92;Q9NYK5;Q9NZE8;Q9P015;Q9P0J6;Q9P0M9;Q9Y3B7;Q9Y6G3;URS000047A7F4_9606;URS000080E36F_9606
prerank,28S mitochondrial small ribosomal subunit,-0.7774440196613872,-5.79682234874501,0.0,0.0,0.0,31/31,22.94%,P82675;P82912;P82914;P82921;P82930;Q9Y2R5;Q9Y2R9;Q9Y399;Q9Y3D3;Q9Y3D5;O15235;O60783;P51398;P82650;P82663;P82664;P82673;P82932;P82933;Q92552;Q92665;Q96BP2;Q96EL2;Q96EY7;Q9BYN8;Q9NWT8;Q9Y291;Q9Y2Q9;Q9Y3D9;Q9Y676;URS000044DFF6_9606
prerank,MKS transition zone complex,-0.922805110084262,-4.344147948415691,0.0,0.0,0.0,14/14,8.10%,Q2MV58;Q5HYA8;Q6NUS6;Q6UX40;Q86X19;Q8N157;Q96GX1;Q96Q45;Q9BPU9;Q9H6L2;Q9NXB0;Q9P0N5;Q9P2K1;Q9UPM9
prerank,Intraflagellar transport complex B,-0.926298612999728,-4.331181884915256,0.0,0.0,0.0,16/16,7.80%,Q8TDR0;Q9H7X7;Q9NQC8;Q9NWB7;Q9P2H3;Q9UG01;A0AVF1;Q13099;Q8IY31;Q8N4P2;Q8WYA0;Q96AJ1;Q96LB3;Q9BW83;Q9Y366;Q9Y547
prerank,Nuclear pore complex,-0.5966569546875473,-3.9089587561620838,0.0,0.0,0.0,25/32,10.40%,P57740;P78406;Q12769;Q53GS7;Q5SRE5;Q7Z3B4;Q8N1F7;Q8NFH3;Q8NFH4;Q8NFH5;Q8TEM1;Q8WUM0;Q8WYP5;Q92621;Q9BW27;Q9NRG9;Q9UKX7;O15504;O75694;P12270;P35658;P37198;P49790;P52948-PRO_0000019929;P52948-PRO_0000019930
prerank,Small ribosomal subunit processome,-0.49912131217382033,-3.2045919092388453,0.0,0.0,0.0,24/29,9.23%,Q9NY61;Q9Y2P8;Q9Y324;Q9Y3A2;Q9Y3A4;O15213;O43818;O75691;P78316;Q13601;Q14692;Q5QJE6;Q8NDD1;Q8NEJ9;Q92979;Q9BVI4;Q9BVJ6;Q9H0A0;Q9H6R4;Q9NQZ2;Q9NRX1;CPX-2450;CPX-2478;CPX-2688
prerank,Commander complex,-0.6878342851962651,-3.1080352717751696,0.0,0.0,0.0,15/16,14.92%,Q567U6;Q7Z3J2;Q7Z4G1;Q86VX2;Q86X83;Q8N668;Q8TCE6;Q9GZQ3;Q9H0A8;Q9NX08;Q9P000;Q9UBI1;Q9Y6G5;O14972;O60826
prerank,Core mediator complex,-0.5741960521071511,-3.0995545654388548,0.0,0.0,0.0,15/26,0.70%,Q9BTT4;Q9BUE0;Q96HR3;Q96RN5;Q15528;Q13503;O95402;O75586;O75448;Q9H204;Q9H944;Q15648;Q6P2C8;Q71SY5;Q96G25
prerank,Multiaminoacyl-tRNA synthetase complex,-0.7358319753757016,-2.883263271229019,0.0,0.0,0.0,10/11,10.02%,P14868;P41252;P47897;P54136;P56192;Q12904;Q13155;Q15046;Q9P2J5;O43324
prerank,Signal recognition particle,-0.9400434074877917,-2.863345947311873,0.0,0.0,0.0,7/7,6.20%,O76094;P09132;P37108;P49458;P61011;Q9UHB9;URS00000478B7_9606
