Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Mitochondrial proton-transporting ATP synthase complex,-0.9688109161793372,-4.488160957840202,0.0,0.0,0.0,21/21,3.71%,Q5VTU8;Q06055;P56385;P56381;P56378;P56134;P48201;P48047;P36542;P00846;O75964;O75947;P25705;P24539;P18859;P06576;P05496;P03928;Q96IX5;Q7Z4Y8;P30049
prerank,40S cytosolic small ribosomal subunit,-0.8410170438670019,-4.233473980309424,0.0,0.0,0.0,33/33,16.69%,P60866;P08708;P62861;P62241;P62081;P61247;P46783;P46782;P46781;P39019;P25398;P23396;P15880;P08865;P62269;P62273;P62857;P62854;P62851;P62847;P62841;P62753;P62280;P62277;P62266;P62263;P62249;P62244;[P62701];URS0000704D22_9606;P63244;P63220;P62979
prerank,28S mitochondrial small ribosomal subunit,-0.6685283440379781,-3.572545891934459,0.0,0.0,0.0,31/31,33.75%,Q9NWT8;Q9BYN8;URS000044DFF6_9606;Q9Y676;Q9Y3D9;Q9Y3D5;Q9Y3D3;Q9Y399;Q9Y2R9;Q9Y2R5;Q9Y291;Q92552;P82933;Q92665;Q9Y2Q9;P82932;P82930;P82921;P82914;P82912;P82675;P82673;P82664;P82650;Q96EY7;Q96EL2;Q96BP2;P51398;O15235;P82663;O60783
prerank,Core mediator complex,-0.6625766871165645,-3.3678242381289865,0.0,0.0,0.0,26/26,34.25%,Q15648;O60244;O95402;O75586;O75448;O43513;A0JLT2;Q9Y3C7;Q9NWA0;Q9Y2X0;Q9ULK4;Q9P086;Q9NX70;Q9NVC6;Q13503;Q9H204;Q9NPJ6;Q9H944;Q71SY5;Q15528;Q6P2C8;Q96G25;Q96HR3;Q96RN5;Q9BTT4;Q9BUE0
prerank,MKS transition zone complex,-0.9357976653696498,-3.3458276900143202,0.0,0.0,0.0,14/14,6.81%,Q96Q45;Q96GX1;Q8N157;Q86X19;Q6UX40;Q6NUS6;Q5HYA8;Q2MV58;Q9H6L2;Q9UPM9;Q9P2K1;Q9P0N5;Q9NXB0;Q9BPU9
prerank,Anaphase-promoting core complex,-0.8312951639799888,-3.2901898403094125,0.0,0.0,0.0,14/14,17.22%,Q96DE5;Q8NHZ8;Q13042;P60006;P30260;Q9BS18;Q9H1A4;Q9UM13;Q9UJX6;Q9UJX5;Q9UJX4;Q9UJX3;Q9UJX2;Q9NYG5
prerank,Eukaryotic translation initiation factor 3 complex,-0.8224506807446512,-3.1413410516160156,0.0,0.0,0.0,13/13,18.08%,O15371;O00303;Q9Y262;Q9UBQ5;Q99613;Q7L2H7;Q14152;Q13347;P60228;P55884;O75822;O75821;O15372
prerank,Intraflagellar transport complex B,-0.6807563959955506,-3.063846430272708,0.0,0.0,0.0,16/16,32.25%,Q9P2H3;Q9Y547;Q9Y366;Q9UG01;Q13099;A0AVF1;Q8WYA0;Q8TDR0;Q8N4P2;Q96AJ1;Q8IY31;Q9NWB7;Q9NQC8;Q9H7X7;Q9BW83;Q96LB3
prerank,Nuclear pore complex,-0.5888268156424581,-2.9530376830332785,0.0,0.0,0.0,32/32,41.67%,P55735;Q96EE3;P49792;Q99567;O15504;Q7Z3B4;P37198;Q8NFH3;Q8TEM1;Q8NFH5;P12270;O75694;Q8WYP5;P49790;P35658;P52948-PRO_0000019929;Q9BVL2;Q9BW27;Q9NRG9;Q5SRE5;Q12769;Q53GS7;P78406;P52948-PRO_0000019930;Q9UKX7;P57740;Q8WUM0;Q92621;Q96HA1;Q8NFH4;Q8N1F7;Q9BTX1
prerank,ESCRT-III complex,-0.9233546237156346,-2.9254291845493565,0.0,0.0,0.0,11/11,7.97%,Q96FZ7;Q96CF2;Q8WUX9;Q7LBR1;O43633;Q9UQN3;Q9HD42;Q9H444;Q9BY43;Q9Y3E7;Q9NZZ3
prerank,"TIM23 mitochondrial inner membrane pre-sequence translocase complex, TIM17B variant",-0.7681226053890976,-2.9093309043030913,0.0,0.0,0.0,11/12,14.51%,Q9Y3D7;Q8TAA5;Q9Y5T4;Q9BVV7;Q9HAV7;Q96DA6;Q3ZCQ8;P60602;P38646;O43615;O14925
prerank,"TIM23 mitochondrial inner membrane pre-sequence translocase complex, TIM17A variant",-0.7681226053890976,-2.849879552966402,0.0,0.0,0.0,11/12,14.51%,Q9Y3D7;Q8TAA5;Q9Y5T4;Q9BVV7;Q9HAV7;Q96DA6;Q3ZCQ8;P60602;P38646;O43615;O14925
prerank,Commander complex,-0.6351501668520578,-2.773153456998314,0.0,0.0,0.0,16/16,36.79%,Q9UBQ0;O14972;O60826;Q567U6;Q7Z3J2;Q86VX2;Q86X83;Q8N668;Q8TCE6;Q9Y6G5;Q9UBI1;Q9P000;Q9GZQ3;Q9H0A8;Q9NX08;Q7Z4G1
prerank,Fanconi anemia ubiquitin ligase complex,-0.8784346378018318,-2.687040360077015,0.0,0.0,0.0,9/9,12.40%,Q0VG06;Q6NZ36;Q8NB91;Q9HB96;Q9NPI8;Q9NW38;Q00597;O15287;O15360
prerank,Signal recognition particle,-0.9425797503467406,-2.6320194869029043,0.0,0.0,0.0,7/7,5.95%,URS00000478B7_9606;Q9UHB9;P61011;P49458;P37108;O76094;P09132
prerank,TOM40 mitochondrial outer membrane translocase complex,-0.90624133148405,-2.625776261593872,0.0,0.0,0.0,7/7,9.58%,O94826;Q96B49;O96008;Q15388;Q8N4H5;Q9P0U1;Q9NS69
prerank,Membrane attack complex,-0.8532186459489456,-2.5869408771627516,0.0,0.0,0.0,8/8,14.89%,P07358;P07360;P07357;P02748;P01031-PRO_0000005985;P13671;P10643;P01031-PRO_0000005989
prerank,MCM complex,-0.9803105934553523,-2.5719262654752537,0.0,0.0,0.0,6/6,2.16%,P33993;P33992;P33991;Q14566;P49736;P25205
prerank,CatSpermasome complex,-0.7038888888888889,-2.5652186377706467,0.0,0.0,0.0,12/12,29.87%,Q6ZRH7;Q5SY80;Q7RTX7;Q9NTU4;Q9H7T0;E9PQX1;A8MZ26;Q96P56;Q8NEC5;Q86XQ3;Q2WGJ8;Q86XM0
prerank,Synaptonemal complex,-0.8954230235783633,-2.491243332461591,0.0,0.0,0.0,7/7,10.66%,Q8IZU3;A1L190;Q15431;Q6PIF2;Q8N0S2;Q9BX26;Q9BXU0
prerank,"60S cytosolic large ribosomal subunit, striated muscle variant",0.9814814814814816,2.46312469645243,0.0,0.0,0.0,48/48,3.16%,P83881;Q92901;P27635;P62891;P42766;P46778;P05386;P18077;P26373;P30050;P32969;P36578;P46776;URS0000ABD82A_9606;P61353;P62987;P50914;P46779;P05388;P61313;P46777;P05387;P49207;Q07020;Q9Y3U8;P62899;P47914;P61513;P62906;P61927;URS000075D341_9606;Q02543;URS00000F9D45_9606;P63173;P83731;P62910;Q02878;P62917;P62945;P62888;P62829;P62750;P62424;P62913;P18124;P18621;P84098;P40429
prerank,60S cytosolic large ribosomal subunit,0.9812061711079934,2.460931237184209,0.0,0.0,0.0,47/47,3.16%,P27635;P39023;P62891;P42766;P46778;P05386;P18077;P26373;P30050;P32969;P36578;P46776;URS0000ABD82A_9606;P61353;P62987;P50914;P46779;P05388;P61313;P46777;P05387;P49207;Q07020;Q9Y3U8;P62899;P47914;P61513;P62906;P61927;URS000075D341_9606;Q02543;URS00000F9D45_9606;P63173;P83731;P62910;Q02878;P62917;P62945;P62888;P62829;P62750;P62424;P62913;P18124;P18621;P84098;P40429
prerank,"60S cytosolic large ribosomal subunit, testis-specific variant",0.9812061711079945,2.4598587469308275,0.0,0.0,0.0,47/47,3.16%,Q96L21;Q96EH5;P39023;P42766;P46778;P05386;P18077;P26373;P30050;P32969;P36578;P46776;URS0000ABD82A_9606;P61353;P62987;P50914;P46779;P05388;P61313;P46777;P05387;P49207;Q07020;Q9Y3U8;P62899;P47914;P61513;P62906;P61927;URS000075D341_9606;Q02543;URS00000F9D45_9606;P63173;P83731;P62910;Q02878;P62917;P62945;P62888;P62829;P62750;P62424;P62913;P18124;P18621;P84098;P40429
prerank,XRCC1 DNA repair complex,-0.8998613037447989,-2.44718765421479,0.0,0.0,0.0,7/7,10.22%,Q9NUW8;Q96T60;Q8IW19;Q7Z2E3;P49916;P18887;P06746
prerank,HAUS complex,-0.8654273029966704,-2.4469599327542726,0.0,0.0,0.0,8/8,13.68%,Q9BT25;Q68CZ6;O94927;Q7Z4H7;Q96CS2;Q99871;Q9NVX0;Q9H6D7
prerank,COG tethering complex,-0.8321309655937847,-2.366027801977917,0.0,0.0,0.0,8/8,17.00%,Q9Y2V7;Q14746;P83436;Q8WTW3;Q9UP83;Q9H9E3;Q96JB2;Q96MW5
prerank,Kinetochore CCAN complex,-0.6473859844271412,-2.316511833058042,0.0,0.00010703228896577374,0.001,16/16,35.58%,A8MT69;Q8N2Z9;Q7L2Z9;Q9H3R5;Q9NSP4;Q6IPU0;Q5EE01;Q71F23;Q8N0S6;Q96H22;Q03188;Q9BU64;Q13352;Q9BS16;Q92674;Q96BT3
prerank,UTP-B complex,-0.9212423738214088,-2.3163488279558457,0.0,0.00010275099740714279,0.001,6/6,8.06%,Q15269;Q9Y5J1;Q9UNX4;Q9NYH9;Q8NI36;Q12788
prerank,Survival motor neuron complex,-0.759089647515959,-2.314473096542159,0.0,9.879903596840653e-05,0.001,9/9,24.31%,Q9UHI6;Q9Y3F4;Q9NWZ8;Q8WXD5;Q8TEQ6;Q16637;P57678;O14893;Q9H840
prerank,BBSome complex,-0.80826859045505,-2.3050534172750217,0.0,9.513981241402109e-05,0.001,8/8,19.38%,Q8N3I7;Q8IWZ6;Q3SYG4;A8MTZ0;Q9BXC9;Q96RK4;Q8TAM2;Q8NFJ9
prerank,Outer dynein arm-docking complex,-0.9423343498752426,-2.300163436657832,0.0,9.174196197066322e-05,0.001,5/5,5.92%,Q96M63;Q5T2S8;A5D8V7;Q96NG3;Q9HAE3
prerank,MICOS mitochondrial contact site and cristae organizing system complex,-0.8221914008321776,-2.2858621084061626,0.0,8.857844604064034e-05,0.001,6/7,3.68%,Q6UXV4;Q16891;Q9NX63;Q9BUR5;Q9BRQ6;Q5TGZ0
prerank,UTP-A complex,-0.8788130892956185,-2.284046749935442,0.0,8.562583117261899e-05,0.001,6/6,12.29%,Q969X6;Q8TED0;Q15061;Q8IWA0;Q9H8H0;Q9H583
prerank,Glycoprotein Ib-IX-V-Filamin-A complex,-0.9606321042417522,-2.277288728513536,0.0,8.286370758640548e-05,0.001,5/5,4.10%,P13224;P07359;P21333;P40197;P14770
prerank,FERRY RAB5 effector complex,-0.9257000277238703,-2.2550993552464758,0.0,0.0003210968668973212,0.003,5/5,7.59%,Q8NB37;Q6ZMI0;O95825;Q8TEA7;Q9NQ89
prerank,General transcription factor TFIIIC complex,-0.8804769828064338,-2.2527375793977624,0.0,0.00031136665880952363,0.003,6/6,12.13%,Q12789;Q8WUA4;Q969F1;Q9UKN8;Q9Y5Q8;Q9Y5Q9
prerank,Tubulin polyglutamylase complex,-0.9259772664263931,-2.221976683188786,0.0,0.00030220881590336114,0.003,5/5,7.56%,Q9BSH3;Q8IUZ0;Q6ZTW0;Q68CL5;O95922
prerank,"Vacuolar proton translocating ATPase complex, ATP6V0A2 variant",-0.6559288555248118,-2.2130227898760535,0.0,0.00029357427830612224,0.003,9/10,23.15%,Q6P5S7;O75787;P27449;Q9Y5K8;Q9UI12;Q99437;Q16864;Q15904;P38606
prerank,"Vacuolar proton translocating ATPase complex, ATP6V0A3 variant",-0.6559288555248118,-2.209336146173467,0.0,0.00028541943724206333,0.003,9/10,23.15%,Q6P5S7;O75787;P27449;Q9Y5K8;Q9UI12;Q99437;Q16864;Q15904;P38606
prerank,"Vacuolar proton translocating ATPase complex, ATP6V0A1 variant",-0.6559288555248118,-2.199582535156359,0.0,0.0002777053983976832,0.003,9/10,23.15%,Q6P5S7;O75787;P27449;Q9Y5K8;Q9UI12;Q99437;Q16864;Q15904;P38606
prerank,Elongator holoenzyme complex,-0.8452579034941764,-2.18820911743496,0.0,0.0002703973615977442,0.003,6/6,15.64%,Q9H9T3;Q96EB1;Q8TE02;Q6IA86;Q0PNE2;O95163
prerank,Mitochondrial complex I intermediate assembly (MCIA) complex,-0.8372157515252358,-2.177723613207361,0.0,0.00026346409591575075,0.003,6/6,16.45%,Q9GZY4;Q9Y375;Q9BQ95;Q96B77;Q8IUX1;Q9H845
prerank,Multiaminoacyl-tRNA synthetase complex,0.9716745348514304,2.138544166614811,0.0,0.0,0.0,11/11,3.13%,P14868;O43324;P56192;Q15046;Q9P2J5;Q13155;P41252;P54136;P47897;Q12904;P07814
prerank,Mitochondrial respiratory chain complex I,0.8490036486107208,2.1358442113055975,0.0,0.0,0.0,49/49,16.25%,P19404;P28331;O43181;P03905;P49821;P17568;P03886;O96000;O95299;O95298;O43920;O95182;P03923;P03915;P56181;Q9UI09;P03901;P03897;Q9P0J0;Q9Y6M9;O95178;O43677;P03891;CHEBI:30408;CHEBI:64607;CHEBI:58210;O00217;O15239;O43676;O95139;P51970;O75251;Q9NX14;Q86Y39;Q16795;Q16718;P56556;O43674;O43678;O95169;O95168;O95167;O75438;O75489;O75380;O75306;O14561;CHEBI:49601;CHEBI:16238
prerank,Chaperonin-containing T-complex,-0.7591564927857936,-2.132637629551131,0.0,0.0005779743604151783,0.007,8/8,24.28%,P49368;Q99832;P78371;P17987;P48643;P40227;P50991;P50990
prerank,"TRAPP II complex, TRAPPC2 variant",-0.5935591338145475,-2.1029158912919272,0.0,0.0007518365663937279,0.01,10/10,40.84%,Q9Y5R8;Q9UL33;O43617;Q9Y296;Q8IUR0;P0DI81;Q96Q05;Q86SZ2;A5PLN9;P48553
prerank,"Vacuolar proton translocating ATPase complex, ATP6V0A4 variant",-0.6559288555248118,-2.1004943677352768,0.0,0.0007339356957653057,0.01,9/10,23.15%,Q6P5S7;O75787;P27449;Q9Y5K8;Q9UI12;Q99437;Q16864;Q15904;P38606
prerank,USH2 complex,-0.9595343680709534,-2.096244028633235,0.0,0.0007168674237707638,0.01,4/4,4.18%,O75445;Q9P202;Q9H5P4;Q8WXG9
prerank,"GID E3 ubiquitin ligase complex, RMND5B-RANBP9 variant",-0.653066888703858,-2.066146094541652,0.0,0.0011676249705357133,0.018,9/9,34.88%,Q9H7D7;Q9UL63;Q9NWU2;Q8IVV7;Q8IUR7;Q7L5Y9;P62699;Q96S59;Q96G75
prerank,"TREX transcription-export complex, DX39B variant",0.8908946304400616,2.0601379634129424,0.0,0.0,0.0,15/16,5.84%,Q13838;Q96J01;P84090;O75152;Q96FV9;Q6I9Y2;P82979;Q9Y3Y2;Q86W42;Q96QD9;Q8NI27;Q9P127;Q9BY77;Q13769;Q53F19
prerank,"TRAPP II complex, TRAPPC2B variant",-0.5935591338145475,-2.0478959945175625,0.0,0.001370013298761904,0.02,10/10,40.84%,Q9Y5R8;Q9UL33;O43617;Q9Y296;Q8IUR0;P0DI82;Q96Q05;Q86SZ2;A5PLN9;P48553
prerank,19S-20S-PA28-alphabeta hybrid proteasome complex,0.836343591824336,2.0472761501117422,0.0,0.0,0.0,34/35,14.73%,Q06323;Q9UL46;O00487;Q13200;P48556;P62333;P62195;Q9UNM6;Q99460;P51665;O00231;P43686;P17980;O43242;P62191;P55036;Q15008;P35998;O00232;Q16186;P28072;P28074;Q99436;O14818;P28070;P49720;P28066;P25787;P49721;P25786;P25788;P20618;P60900;P25789
prerank,"TREX transcription-export complex, DX39A variant",0.8908946304400616,2.047255264260036,0.0,0.0,0.0,15/16,5.84%,O00148;Q96J01;P84090;O75152;Q96FV9;Q6I9Y2;P82979;Q9Y3Y2;Q86W42;Q96QD9;Q8NI27;Q9P127;Q9BY77;Q13769;Q53F19
prerank,19S-20S-PA28-gamma hybrid proteasome complex,0.8353810495276192,2.0444481671182495,0.0,0.0,0.0,33/34,14.73%,P61289;O00487;Q13200;P48556;P62333;P62195;Q9UNM6;Q99460;P51665;O00231;P43686;P17980;O43242;P62191;P55036;Q15008;P35998;O00232;Q16186;P28072;P28074;Q99436;O14818;P28070;P49720;P28066;P25787;P49721;P25786;P25788;P20618;P60900;P25789
prerank,Glycoprotein Ib-IX-V complex,-0.9603658536585366,-2.0421979934430095,0.0,0.0013402304009627324,0.02,4/4,4.10%,P13224;P07359;P40197;P14770
prerank,Integrator core complex,0.8949124270225188,2.037613455582287,0.0,0.0,0.0,15/15,10.88%,Q9NVM9;Q9NVH2;Q96HW7;Q96N11;Q8N201;Q9H0H0;Q9UL03;Q96SY0;Q9NVR2;Q6P9B9;Q9NV88;Q75QN2;Q5TA45;Q96CB8;Q68E01
prerank,26S proteasome complex,0.8343744879184307,2.037478245929099,0.0,0.0,0.0,32/33,14.73%,O00487;Q13200;P48556;P62333;P62195;Q9UNM6;Q99460;P51665;O00231;P43686;P17980;O43242;P62191;P55036;Q15008;P35998;O00232;Q16186;P28072;P28074;Q99436;O14818;P28070;P49720;P28066;P25787;P49721;P25786;P25788;P20618;P60900;P25789
prerank,30S proteasome complex,0.8343744879184307,2.037478245929099,0.0,0.0,0.0,32/33,14.73%,O00487;Q13200;P48556;P62333;P62195;Q9UNM6;Q99460;P51665;O00231;P43686;P17980;O43242;P62191;P55036;Q15008;P35998;O00232;Q16186;P28072;P28074;Q99436;O14818;P28070;P49720;P28066;P25787;P49721;P25786;P25788;P20618;P60900;P25789
prerank,Vault ribonucleoprotein complex,-0.7758668515950069,-2.03700588891313,0.0,0.001421024432226443,0.022,7/7,22.59%,Q9UKK3;Q14764;URS0000A76E3A_9606;URS00005CCF67_9606;URS000058CD99_9606;URS0000000A8C_9606;Q99973
prerank,"Endoplasmic reticulum membrane complex, EMC8 variant",-0.6519567027477103,-2.036678035573325,0.0,0.0013914197565550587,0.022,9/9,34.99%,Q9NPA0;Q9P0I2;Q9BV81;Q8N4V1;Q5UCC4;Q5J8M3;Q15006;Q8N766;O43402
prerank,Ribosome quality control complex,-0.9362527716186253,-2.032272748645931,0.0,0.0016251433263374626,0.026,4/4,6.51%,CPX-137;O60524;Q9BQ70;O94822
prerank,"GID E3 ubiquitin ligase complex, RMND5B-RANBP10 variant",-0.653066888703858,-2.031294565625706,0.0,0.0015926404598107136,0.026,9/9,34.88%,Q9H7D7;Q9UL63;Q9NWU2;Q8IVV7;Q8IUR7;Q7L5Y9;P62699;Q6VN20;Q96G75
prerank,"GID E3 ubiquitin ligase complex, RMND5A-RANBP9 variant",-0.6533444351928949,-2.017672176156473,0.0,0.001863621031404061,0.031,9/9,34.86%,Q9H7D7;Q9UL63;Q9NWU2;Q8IVV7;Q8IUR7;Q7L5Y9;P62699;Q96S59;Q9H871
prerank,"GID E3 ubiquitin ligase complex, RMND5A-RANBP10 variant",-0.6533444351928949,-2.009885321270025,0.0,0.0020747797553365374,0.035,9/9,34.86%,Q9H7D7;Q9UL63;Q9NWU2;Q8IVV7;Q8IUR7;Q7L5Y9;P62699;Q6VN20;Q9H871
prerank,KICSTOR complex,-0.927660753880266,-1.9972686974215066,0.0,0.002811112193214284,0.049,4/4,7.36%,Q9Y664;Q96MD2;Q969R8;Q5T011
prerank,Nuclear origin recognition complex,-0.7468108707709374,-1.9902969912997097,0.0,0.002996904091041665,0.053,6/6,25.47%,Q9UBD5;O43929;O43913;Q9Y5N6;Q13416;Q13415
prerank,ULK1-ATG13-RB1CC1-ATG101 autophagy initiation complex,-0.9174057649667405,-1.9865682456391287,0.0,0.0029891199245714265,0.054,4/4,8.39%,Q9BSB4;Q8TDY2;O75385;O75143
prerank,PA28-alphabeta double-capped 20S proteasome complex,0.85650723025584,1.9743363673008993,0.0,0.0,0.0,16/16,14.73%,Q06323;Q9UL46;P28072;P28074;Q99436;O14818;P28070;P49720;P28066;P25787;P49721;P25786;P25788;P20618;P60900;P25789
prerank,PA28-alphabeta single-capped 20S proteasome complex,0.85650723025584,1.9743363673008993,0.0,0.0,0.0,16/16,14.73%,Q06323;Q9UL46;P28072;P28074;Q99436;O14818;P28070;P49720;P28066;P25787;P49721;P25786;P25788;P20618;P60900;P25789
prerank,PA28-gamma double-capped 20S proteasome complex,0.856269113149847,1.9616006708842781,0.0,0.0,0.0,15/15,14.73%,P61289;P28072;P28074;Q99436;O14818;P28070;P49720;P28066;P25787;P49721;P25786;P25788;P20618;P60900;P25789
prerank,PA28-gamma single-capped 20S proteasome complex,0.856269113149847,1.9616006708842781,0.0,0.0,0.0,15/15,14.73%,P61289;P28072;P28074;Q99436;O14818;P28070;P49720;P28066;P25787;P49721;P25786;P25788;P20618;P60900;P25789
prerank,PA200-20S single-capped proteasome,0.8562691131498471,1.960538179790823,0.0,0.0,0.0,15/15,14.73%,Q14997;P28072;P28074;Q99436;O14818;P28070;P49720;P28066;P25787;P49721;P25786;P25788;P20618;P60900;P25789
prerank,PA200-20S-PA200 double-capped proteasome complex,0.8562691131498471,1.960538179790823,0.0,0.0,0.0,15/15,14.73%,Q14997;P28072;P28074;Q99436;O14818;P28070;P49720;P28066;P25787;P49721;P25786;P25788;P20618;P60900;P25789
prerank,"TRAPP III complex, TRAPPC2B variant",-0.5974458634092171,-1.9573710068136532,0.0,0.004495356136562497,0.077,10/10,40.45%,Q9Y5R8;Q9UL33;O43617;Q9Y296;Q8IUR0;P0DI82;Q8WVT3;O75865;Q7Z392;Q9Y2L5
prerank,Nexin-dynein regulatory complex,0.8983615662316022,1.94973854784375,0.0,0.0,0.0,11/11,10.44%,Q9H095;Q86XH1;Q9H069;Q8IXS2;Q5JU00;Q96DY2;Q8IY82;Q96MC2;Q5VUJ9;O95995;Q8NEE6
prerank,"Dystrophin glycoprotein complex, skeletal muscle variant",-0.5451263537906137,-1.946323287989877,0.0,0.00495728496262531,0.088,11/11,45.68%,Q14118-PRO_0000021066;Q14118-PRO_0000021065;Q13424;Q13326;Q13884;Q92629;Q14714;Q16586;Q16585;P11532-1;Q9Y4J8-3
prerank,20S spermatoproteasome complex,0.8560311284046694,1.94257113555944,0.0,0.0,0.0,14/14,14.73%,Q8TAA3;P28072;P28074;Q99436;P28070;P49720;P28066;P25787;P49721;P25786;P25788;P20618;P60900;P25789
prerank,20S proteasome complex,0.8560311284046696,1.942016702270881,0.0,0.0,0.0,14/14,14.73%,P28072;P28074;Q99436;O14818;P28070;P49720;P28066;P25787;P49721;P25786;P25788;P20618;P60900;P25789
prerank,Syndecan-1-syntenin-1-ALIX complex,-0.9991687448046551,-1.9325051549212162,0.0,0.005624731323580662,0.097,3/3,0.19%,Q8WUM4;P18827;O00560
prerank,"SMC5-SMC6 SUMO ligase complex, EID3 variant",-0.6514940664219243,-1.931182267708509,0.0,0.00552939689436743,0.097,7/8,21.18%,Q9BQI6;Q96MF7;Q8WV22;Q8IY18;Q8IX21;Q96MG7;Q96SB8
prerank,Mitochondrial respiratory chain complex III,0.8759062394833241,1.924863236718426,0.0,0.0,0.0,11/12,5.40%,Q9UDW1;P08574;P07919;O14949;P14927;P31930;P47985-PRO_0000030664;P22695;O14957;P00156;P47985-PRO_0000307241
prerank,19S proteasome regulatory complex,0.8179062765015865,1.9245837554984568,0.0,0.0,0.0,18/19,14.12%,O00487;Q13200;P48556;P62333;P62195;Q9UNM6;Q99460;P51665;O00231;P43686;P17980;O43242;P62191;P55036;Q15008;P35998;O00232;Q16186
prerank,20S thymoproteasome complex,0.8560311284046696,1.9243443886822298,0.0,0.0,0.0,14/14,14.73%,A5LHX3;P28065;P40306;O14818;P28070;P49720;P28066;P25787;P49721;P25786;P25788;P20618;P60900;P25789
prerank,20S immunoproteasome complex,0.8560311284046696,1.9205845249957987,0.0,0.0,0.0,14/14,14.73%,P28062;P28065;P40306;O14818;P28070;P49720;P28066;P25787;P49721;P25786;P25788;P20618;P60900;P25789
prerank,TSC1-TSC2 complex,-0.9891936824605154,-1.9191331782407457,0.0,0.006165059844428568,0.111,3/3,1.19%,P49815;Q92574;Q9P0N9
prerank,"TRAPP III complex, TRAPPC2 variant",-0.5974458634092171,-1.9154428126390743,0.0,0.006232437547646367,0.114,10/10,40.45%,Q9Y5R8;Q9UL33;O43617;Q9Y296;Q8IUR0;P0DI81;Q8WVT3;O75865;Q7Z392;Q9Y2L5
prerank,"Amiloride-sensitive sodium channel complex, delta-alpha-beta-gamma",-0.916019955654102,-1.9039262647121584,0.0,0.007126278852430871,0.132,4/4,8.53%,P51172;P51170;P51168;P37088
prerank,Eukaryotic translation initiation factor 2B complex,-0.7976157471583033,-1.901993342383973,0.006369426751592357,0.007217034341692173,0.136,5/5,20.38%,Q9UI10;Q9NR50;Q13144;P49770;Q14232
prerank,Integrator-PP2A complex,0.8197496522948537,1.8977546142773614,0.0,0.0,0.0,17/17,18.41%,Q9NVM9;Q9NVH2;Q96HW7;Q96N11;Q8N201;Q9H0H0;Q9UL03;Q96SY0;Q9NVR2;Q6P9B9;Q9NV88;Q75QN2;Q5TA45;Q96CB8;Q68E01;P30153;P67775
prerank,"Endoplasmic reticulum membrane complex, EMC9 variant",-0.6505689703025257,-1.8952971483497683,0.0,0.007465502155362719,0.14,9/9,35.13%,Q9NPA0;Q9P0I2;Q9BV81;Q8N4V1;Q5UCC4;Q5J8M3;Q15006;Q8N766;Q9Y3B6
