Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Actin junctional complex,-0.9085619285120533,-1.65883813022252,0.0,1.0,0.307,3/3,9.25%,P04921;P11171;Q00013
prerank,Translocon-associated protein complex,-0.8123614190687362,-1.6419822248430989,0.0,0.9805662761706343,0.386,4/4,18.88%,P51571;P43308;P43307;Q9UNL2
prerank,RNase H2 complex,-0.8819617622610142,-1.6409613087822092,0.011111111111111112,0.6629324772020903,0.388,3/3,11.90%,Q8TDP1;O75792;Q5TBB1
prerank,NPHP transition zone complex,-0.8863951233028541,-1.6337669188256023,0.0,0.5609822739847672,0.421,3/3,11.46%,O15259;O75161;Q68CZ1
prerank,"Short transient receptor potential channel complex,TRPC1-TRPC4-TRPC5 variant",-0.8969243557772237,-1.619241201958644,0.004694835680751174,0.5459202841627105,0.473,3/3,10.41%,Q9UBN4;P48995;Q9UL62
prerank,eNoSc complex,-0.8897201440842339,-1.6186098926910635,0.0,0.4585197581884627,0.479,3/3,11.13%,Q96EB6;O43159;O43463
prerank,Ribosome quality control complex,-0.8126385809312638,-1.615728298559596,0.007692307692307693,0.41233843856884267,0.496,4/4,18.85%,Q9BQ70;O94822;O60524;CPX-137
prerank,MTERF4-NSUN4 mitochondiral ribosomal assembly complex,-0.888888888888889,-1.6128051481062087,0.0,0.37309163564329384,0.502,3/3,11.21%,Q7Z6M4;Q96CB9;CHEBI:15414
prerank,LUBAC ubiquitin ligase complex,-0.8858409531726241,-1.6118944497322876,0.0,0.33539396837323676,0.509,3/3,11.52%,Q96EP0;Q9BYM8;Q9H0F6
prerank,CMG helicase complex,-0.8944305901911888,-1.6098737581479234,0.009345794392523364,0.30708015984152465,0.515,3/3,10.66%,O75419;CPX-787;CPX-2940
prerank,"Amiloride-sensitive sodium channel complex, delta-alpha-beta-gamma",-0.8215077605321508,-1.609611307420495,0.02054794520547945,0.27972266812391133,0.516,4/4,17.97%,P51172;P51170;P51168;P37088
prerank,SAM mitochondrial sorting and assembly machinery complex,-0.8747575505680245,-1.6064476856717578,0.009345794392523364,0.2669148536493733,0.531,3/3,12.62%,Q13505;O75431;Q9Y512
prerank,CPAP-STIL complex,-0.8894430590191189,-1.6063862216125597,0.005076142131979695,0.24638294183019072,0.531,3/3,11.16%,Q15468;Q9HC77;Q6UVJ0
prerank,UFM1 ribosome E3 ligase complex,-0.9027431421446385,-1.6039017584135684,0.0,0.23427322361712197,0.542,3/3,9.83%,Q96HY6;Q96JB5;O94874
prerank,TTT complex,-0.8692158492657247,-1.6025882241532707,0.004878048780487805,0.2245978346254995,0.551,3/3,13.18%,Q6NXR4;O43156;Q9Y4R8
prerank,ULK1-ATG13-RB1CC1-ATG101 autophagy initiation complex,-0.800720620842572,-1.5977611015227944,0.008620689655172414,0.22535349567949725,0.572,4/4,20.04%,O75385;O75143;Q8TDY2;Q9BSB4
prerank,Major Spliceosomal B complex,0.978413232408187,1.595770049042528,0.0,0.0,0.0,45/45,3.38%,Q15393;Q9BWJ5;P14678;P62318;P62308;P62306;P62304;P62316;P62314;URS00006A1489_9606;P08579;P09661;CHEBI:139356;O75533;Q96DI7;Q15029;Q6P2Q9;URS00006767A8_9606;P55769;O75643;Q13435;Q12874;Q15427;Q15428;Q15459;Q9Y3B4;Q8WWY3;O94906;Q9BUQ8;P62310;P62312;O95777;Q9Y4Z0;Q9Y4Y9;Q9Y333;Q9UK45;Q9BTD8;O43172;URS0000715A86_9606;Q8WVK2;P83876;URS0000631BD4_9606;O43395;Q53GS9;O43290
prerank,C9orf72-SMCR8 complex,-0.8753117206982545,-1.5945535326073368,0.0,0.22294637995913558,0.586,3/3,12.57%,Q8TEV9;Q96LT7-1;Q9HAD4
prerank,Collagen type VI trimer,-0.8769742310889443,-1.5937732337106967,0.020942408376963352,0.21226817855801086,0.586,3/3,12.40%,P12110;P12109;P12111
prerank,Ndc80 complex,-0.8148558758314856,-1.5918035859311541,0.02564102564102564,0.2064350055096072,0.592,4/4,18.63%,Q9HBM1;Q9BZD4;Q8NBT2;O14777
prerank,Checkpoint clamp complex,-0.8830701025214742,-1.5904099569102046,0.0091324200913242,0.20103145599234948,0.605,3/3,11.79%,Q99638;O60921;O60671
prerank,Interferon gamma receptor-ligand complex,-0.9066223330562484,-1.5887818838607157,0.005050505050505051,0.1958497801935078,0.613,3/3,9.44%,P38484;CPX-6024;P15260
prerank,Peroxisomal receptor export module complex,-0.8786367414796343,-1.5881699080852751,0.01020408163265306,0.1886241768068333,0.62,3/3,12.24%,O43933;Q13608;Q7Z412
prerank,p53-MDM2-MDM4 transcriptional regulation complex,-0.8808534220005543,-1.586578740092295,0.004739336492890996,0.18510076223201968,0.627,3/3,12.02%,P04637;Q00987;O15151
prerank,CPLANE complex,-0.8683845940703797,-1.5859851754829875,0.0106951871657754,0.17828477748556987,0.629,3/3,13.26%,O95876;Q9BT04;Q9ULD6
