Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,39S mitochondrial large ribosomal subunit,-0.7191536136301181,-8.035105635415361,0.0,0.0,0.0,54/54,29.16%,Q13084;Q9Y6G3;Q7Z2W9;Q9NP92;Q9Y3B7;Q9P0M9;Q9NRX2;Q9NZE8;Q9NYK5;Q9NX20;Q96DV4;Q96A35;Q8TCC3;Q9BYC8;Q9BZE1;Q9H0U6;Q9H9J2;Q9H2W6;Q9HD33;Q9BYD3;Q9BYD6;Q9BYD1;Q6P1L8;Q9BQC6;Q96GC5;Q9BRJ2;Q9P015;Q9P0J6;URS000047A7F4_9606;O75394;Q4U2R6;Q13405;Q16540;Q14197;Q6P161;Q5T653;Q8N983;Q8TAE8;Q9NVS2;Q9NWU5;Q8IXM3;Q9BQ48;Q96EL3;Q7Z7F7;Q7Z7H8;Q86TS9;Q8N5N7;Q9NQ50;P49406;P09001;P52815;Q9BYD2;Q9BYC9;URS000080E36F_9606
prerank,Mitochondrial respiratory chain complex I,-0.6693835001433408,-6.097874270566174,0.0,0.0,0.0,46/49,22.39%,Q9NX14;P03886;P03891;O43678;O43181;O43677;O43676;O43674;O95182;P03905;O43920;P51970;Q16795;Q16718;O96000;Q9P0J0;Q9Y6M9;Q9UI09;P56181;Q86Y39;P28331;O95169;P56556;P03915;P03923;P49821;O95139;P03901;O95299;O75489;O75306;CHEBI:30408;O75380;O95167;P19404;O95178;O75438;O75251;O95168;CHEBI:64607;CHEBI:58210;P17568;P03897;O95298;O00217;O15239
prerank,40S cytosolic small ribosomal subunit,-0.6956284153005464,-5.496828274475394,0.0,0.0,0.0,33/33,31.09%,P08865;P25398;P23396;P08708;P62841;P62244;P62857;P62861;P63244;P63220;P46783;P62847;P60866;P62241;P62979;P15880;P62753;P62277;P62280;P62249;P62263;P62266;P62269;P62273;P62851;P46781;P39019;[P62701];P62081;URS0000704D22_9606;P62854;P61247;P46782
prerank,28S mitochondrial small ribosomal subunit,-0.6799563080283997,-4.640097808649218,0.0,0.0,0.0,31/31,32.60%,Q9BYN8;URS000044DFF6_9606;Q9Y3D3;O60783;O15235;Q9Y291;P51398;P82930;P82673;P82914;P82664;P82933;Q9Y3D5;Q9Y676;Q96EY7;P82675;Q9Y399;Q9Y2R9;Q9Y2R5;Q9NWT8;Q92552;P82921;Q9Y2Q9;P82650;Q92665;Q9Y3D9;P82932;Q96EL2;Q96BP2;P82912;P82663
prerank,60S cytosolic large ribosomal subunit,-0.5440186388160201,-4.469303141432187,0.0,0.0,0.0,46/47,43.11%,P27635;P39023;P62891;P46777;P46779;P47914;P05386;P46778;P42766;P46776;URS0000ABD82A_9606;P62750;URS000075D341_9606;P05387;P05388;P61313;P49207;P50914;P61353;P63173;P83731;URS00000F9D45_9606;Q9Y3U8;Q02543;P62829;P62888;P62899;P62906;P62910;P62913;P62917;P18077;P18124;P18621;P26373;P30050;P32969;P36578;Q02878;P61513;P62424;P62987;P61927;P62945;Q07020;P84098
prerank,Core mediator complex,-0.6708481047177529,-4.30631895158815,0.0,0.0,0.0,26/26,33.41%,Q6P2C8;Q9H204;Q9H944;Q9NX70;Q9BTT4;Q15648;O60244;Q9ULK4;O95402;O75586;A0JLT2;Q13503;Q15528;Q96RN5;Q96HR3;Q96G25;Q71SY5;Q9NVC6;O43513;Q9NPJ6;Q9P086;Q9BUE0;Q9NWA0;Q9Y2X0;Q9Y3C7;O75448
prerank,"60S cytosolic large ribosomal subunit, striated muscle variant",-0.5443496764296739,-4.170405986361948,0.0,0.0,0.0,47/48,43.11%,Q92901;P83881;P27635;P62891;P46777;P46779;P47914;P05386;P46778;P42766;P46776;URS0000ABD82A_9606;P62750;URS000075D341_9606;P05387;P05388;P61313;P49207;P50914;P61353;P63173;P83731;URS00000F9D45_9606;Q9Y3U8;Q02543;P62829;P62888;P62899;P62906;P62910;P62913;P62917;P18077;P18124;P18621;P26373;P30050;P32969;P36578;Q02878;P61513;P62424;P62987;P61927;P62945;Q07020;P84098
prerank,"60S cytosolic large ribosomal subunit, testis-specific variant",-0.5436729827882181,-4.027599616475671,0.0,0.0,0.0,46/47,43.11%,Q96L21;Q96EH5;P39023;P46777;P46779;P47914;P05386;P46778;P42766;P46776;URS0000ABD82A_9606;P62750;URS000075D341_9606;P05387;P05388;P61313;P49207;P50914;P61353;P63173;P83731;URS00000F9D45_9606;Q9Y3U8;Q02543;P62829;P62888;P62899;P62906;P62910;P62913;P62917;P18077;P18124;P18621;P26373;P30050;P32969;P36578;Q02878;P61513;P62424;P62987;P61927;P62945;Q07020;P84098
prerank,Nuclear pore complex,-0.5802886638781621,-4.012961482121795,0.0,0.0,0.0,29/32,25.29%,Q9NRG9;Q9BTX1;Q9BVL2;O15504;P37198;P49790;Q99567;P35658;Q53GS7;Q5SRE5;Q7Z3B4;Q8N1F7;P52948-PRO_0000019930;P57740;P52948-PRO_0000019929;Q12769;Q92621;Q96HA1;Q8TEM1;Q9UKX7;Q8NFH4;Q8NFH5;P12270;O75694;Q8WUM0;Q8WYP5;P78406;Q9BW27;Q8NFH3
prerank,Small ribosomal subunit processome,-0.5738974736932747,-3.994432013159222,0.0,0.0,0.0,24/29,13.51%,Q9BVJ6;Q9H0A0;Q9Y3A4;Q14692;Q92979;Q5QJE6;Q8NDD1;Q8NEJ9;CPX-2478;O75691;Q9BVI4;CPX-2688;O15213;P78316;Q9NRX1;O43818;Q9Y3A2;Q9Y324;Q13601;Q9NY61;Q9Y2P8;Q9NQZ2;CPX-2450;Q9H6R4
