Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,39S mitochondrial large ribosomal subunit,-0.5146149522203485,-4.73896669391756,0.0,0.0,0.0,54/54,49.34%,Q13405;Q9NX20;Q9NYK5;Q9NZE8;Q7Z7F7;Q9BYD1;Q9BYD2;Q9BYD3;P09001;Q9BRJ2;Q9P015;Q9P0J6;Q8N5N7;Q8N983;Q8TAE8;Q9BYC9;Q96A35;Q96DV4;Q96EL3;Q96GC5;Q9BQ48;Q9BQC6;Q9BYC8;Q8TCC3;P49406;P52815;Q13084;Q14197;Q16540;Q4U2R6;Q5T653;Q6P161;Q6P1L8;Q7Z2W9;Q9H0U6;Q9H2W6;Q9H9J2;Q9HD33;Q9NP92;Q9NQ50;Q9NRX2;Q9NVS2;Q9BZE1;Q9P0M9;Q9Y3B7;Q9Y6G3;URS000047A7F4_9606;URS000080E36F_9606;Q9BYD6;Q86TS9;Q8IXM3;O75394;Q7Z7H8;Q9NWU5
prerank,Mitochondrial respiratory chain complex I,0.8433904013471797,4.164973144299344,0.0,0.0,0.0,49/49,16.81%,CHEBI:49601;CHEBI:16238;O14561;P03923;P03905;Q86Y39;P19404;O75251;O75438;O43676;O43181;O43674;O00217;O15239;O43678;O43677;Q16718;O75380;P51970;P56181;P28331;Q16795;P03901;P03897;P03891;P56556;O95167;O96000;O95182;O95298;O95299;P17568;Q9NX14;Q9UI09;Q9Y6M9;O75306;O95178;O95169;O95168;Q9P0J0;CHEBI:64607;CHEBI:30408;O43920;P03886;CHEBI:58210;O95139;O75489;P49821;P03915
prerank,Major Spliceosomal Post-B-act complex,0.863810184768351,4.060882165175275,0.0,0.0,0.0,38/41,10.11%,Q15393;Q9BWJ5;O75533;P62308;P62304;P62306;P62318;P14678;P62314;P62316;Q13573;P09661;URS00006A1489_9606;P08579;CHEBI:139356;URS00006767A8_9606;Q15029;Q6P2Q9;Q96DI7;Q13435;Q15427;Q9P013;Q99459;O43660;URS000075BAAE_9606;Q9UNP9;Q9HCS7;O60306;Q9BZJ0;P41223;Q9NW64;O75934;Q9UMS4;Q9UQ35;Q9HCG8;O60508;Q9Y3C6;O95926
prerank,Major Spliceosomal B-act-IV complex,0.8514058306888187,4.043274948211914,0.0,0.0,0.0,39/43,10.11%,Q15393;Q9BWJ5;O75533;P62308;P62304;P62306;P62318;P14678;P62314;P62316;Q13573;P09661;URS00006A1489_9606;P08579;CHEBI:139356;URS00006767A8_9606;Q15029;Q6P2Q9;Q96DI7;Q13435;Q15427;Q12874;Q9P013;Q99459;O43660;URS000075BAAE_9606;Q9UNP9;Q9HCS7;O60306;Q9BZJ0;P41223;Q9NW64;O75934;Q9UMS4;Q9UQ35;Q9HCG8;O60508;Q9Y3C6;O95926
prerank,Major Spliceosomal B-act-III complex,0.8489496669812632,4.0429251231061265,0.0,0.0,0.0,41/46,9.41%,Q15393;Q9BWJ5;O75533;P62308;P62304;P62306;P62318;P14678;P62314;P62316;Q13573;P09661;URS00006A1489_9606;P08579;CHEBI:139356;URS00006767A8_9606;Q15029;Q6P2Q9;Q96DI7;O75643;Q13435;Q15427;Q12874;Q15459;Q15428;Q9P013;Q99459;O43660;URS000075BAAE_9606;Q9UNP9;Q9HCS7;O60306;Q9BZJ0;P41223;Q9NW64;O75934;Q9UMS4;Q9UQ35;Q9HCG8;O60508;Q9Y3C6
prerank,Major Spliceosomal Pre-B-act complex,0.8612416095720007,4.0316570348890295,0.0,0.0,0.0,36/41,7.67%,Q15393;Q9BWJ5;O75533;P62308;P62304;P62306;P62318;P14678;P62314;P62316;Q13573;P09661;URS00006A1489_9606;P08579;CHEBI:139356;URS00006767A8_9606;Q15029;Q6P2Q9;Q96DI7;O75643;Q13435;Q15427;Q12874;Q15459;Q15428;Q9P013;Q99459;O43660;URS000075BAAE_9606;Q9UNP9;Q9HCS7;O60306;Q9BZJ0;P41223;Q9NW64;Q9Y3B4
prerank,Major Spliceosomal B-act-II complex,0.8442566250057773,3.982766467675435,0.0,0.0,0.0,38/43,9.41%,Q15393;Q9BWJ5;O75533;P62308;P62304;P62306;P62318;P14678;P62314;P62316;Q13573;P09661;URS00006A1489_9606;P08579;CHEBI:139356;URS00006767A8_9606;Q15029;Q6P2Q9;Q96DI7;O75643;Q13435;Q15427;Q12874;Q15459;Q15428;Q9P013;Q99459;O43660;URS000075BAAE_9606;Q9UNP9;Q9HCS7;O60306;Q9BZJ0;P41223;Q9NW64;Q9UQ35;Q9HCG8;Q9Y3C6
prerank,Major Spliceosomal B-act-I complex,0.839326172068566,3.978836092154693,0.0,0.0,0.0,38/44,8.80%,Q15393;Q9BWJ5;O75533;P62308;P62304;P62306;P62318;P14678;P62314;P62316;Q13573;P09661;URS00006A1489_9606;P08579;CHEBI:139356;URS00006767A8_9606;Q15029;Q6P2Q9;Q96DI7;O75643;Q13435;Q15427;Q12874;Q15459;Q15428;Q9P013;Q99459;O43660;URS000075BAAE_9606;Q9UNP9;Q9HCS7;O60306;Q9BZJ0;P41223;Q9NW64;Q9Y3B4;Q9UQ35;Q9HCG8
prerank,"Intron Lariat Spliceosome, type 1 complex",0.8937035288331744,3.973141096127596,0.0,0.0,0.0,31/32,10.11%,P62308;P62304;P62306;P62318;P14678;P62314;P62316;Q13573;P09661;URS00006A1489_9606;P08579;CHEBI:139356;URS00006767A8_9606;Q15029;Q6P2Q9;Q96DI7;Q9P013;Q99459;O43660;URS000075BAAE_9606;Q9UNP9;Q9HCS7;O60306;Q9BZJ0;P41223;Q9NW64;O75934;Q9UMS4;O60508;Q9Y3C6;O95926
prerank,"Intron Lariat Spliceosome, type 2 complex",0.8810107612715283,3.9632717117998886,0.0,0.0,0.0,31/33,10.11%,P62308;P62304;P62306;P62318;P14678;P62314;P62316;Q13573;P09661;URS00006A1489_9606;P08579;CHEBI:139356;URS00006767A8_9606;Q15029;Q6P2Q9;Q96DI7;Q9P013;Q99459;O43660;URS000075BAAE_9606;Q9UNP9;Q9HCS7;O60306;Q9BZJ0;P41223;Q9NW64;O75934;Q9UMS4;O60508;Q9Y3C6;O95926
