IntegerID	OriginalID
0	P13612
1	Q9BSJ2
2	CPX-7669
3	CPX-6949
4	Q8IWZ6
5	CPX-2736
6	Q15291
7	Q96S15
8	Q8WVZ9
9	Q92989
10	Q13200
11	Q9P241
12	CPX-5052
13	CPX-7969
14	P11473
15	Q13794
16	Q5TAQ9
17	Q9BUF7
18	CPX-6263
19	Q86U44
20	0000009021
21	CPX-5664
22	CPX-6959
23	CPX-5786
24	CPX-5741
25	0000367047
26	Q96RL1
27	P60866
28	Q86XT2
29	Q9NV06
30	CPX-2186
31	CPX-2312
32	Q969F9
33	0000000351
34	P17861
35	0000010895
36	Q8WXG9
37	P13224
38	P05106
39	P06493
40	CPX-2239
41	Q8IW19
42	P12259
43	CPX-1650
44	P61266
45	P18827
46	O15270
47	0000004617
48	Q9Y262
49	P00748
50	Q9UBU8
51	CPX-2557
52	Q9BZE1
53	O43790
54	P49716
55	CPX-175
56	Q9UGM1
57	CPX-3142
58	0000025604
59	O75575
60	P0CG04
61	CPX-1820
62	CPX-5963
63	L0R819
64	Q9GZQ3
65	0000000389
66	O75592
67	P62306
68	Q9NZH6
69	Q9BTT4
70	Q92934
71	Q9H1X1
72	CPX-5984
73	CPX-7064
74	Q8N157
75	Q96CB8
76	P22415
77	CPX-1004
78	P46736
79	0000004795
80	CPX-6480
81	CPX-2174
82	Q13698
83	CPX-6597
84	P16298
85	CPX-8163
86	CPX-240
87	CPX-9741
88	Q9H8H0
89	CPX-218
90	CPX-4945
91	CPX-2196
92	CPX-6125
93	CPX-711
94	CPX-8686
95	P98196
96	Q9HCU8
97	Q676U5
98	P0C1Z6
99	Q14765
100	Q8N4N3
101	Q6PJI9
102	Q9P253
103	Q5JPE7
104	Q9NPI8
105	O75533
106	CPX-2550
107	CPX-5974
108	CPX-7007
109	CPX-8823
110	P19793
111	CPX-2318
112	O94855
113	CPX-513
114	Q9Y5J9
115	Q9H6Q4
116	Q9H9S5
117	P54274
118	Q9H069
119	C9JR72
120	CPX-6186
121	Q05513
122	Q969Q0
123	Q15628
124	CPX-8130
125	CPX-8135
126	CPX-26378
127	P51798
128	Q99496
129	P41238
130	P11215
131	CPX-2165
132	Q96JN0
133	CPX-1727
134	CPX-6261
135	CPX-476
136	Q8N201
137	CPX-316
138	CPX-8089
139	P48059
140	Q9NUX5
141	O43677
142	O94823
143	CPX-7581
144	Q5UCC4
145	Q96GS4
146	P03901
147	Q16718
148	Q9C000
149	Q9H9S4
150	CPX-9621
151	Q9NQP4
152	P01569
153	Q92759
154	Q8IZH2
155	CPX-2652
156	Q9ULZ3
157	Q9UKT5
158	CPX-2431
159	CPX-2014
160	Q8WYA0
161	CPX-856
162	P61009
163	CPX-8632
164	Q9C086
165	CPX-8875
166	CPX-2865
167	CPX-1173
168	Q14145
169	CPX-2784
170	P40925
171	Q9BRI3
172	CPX-7481
173	Q9UID3
174	CPX-26384
175	CPX-2821
176	CPX-1823
177	Q8NB49
178	P30988
179	CPX-5993
180	Q8NEZ4
181	P47755
182	CPX-2012
183	P24539
184	P07942
185	CPX-6565
186	Q6ZNX1
187	CPX-6308
188	P22309
189	CPX-9961
190	Q9H0L4
191	P52298
192	Q9Y5U8
193	Q96JC1
194	CPX-1066
195	CPX-6149
196	Q8WYR1
197	Q0PNE2
198	CPX-7519
199	Q15428
200	Q12912
201	CPX-709
202	CPX-1227
203	P0C2W1
204	Q99570
205	Q9Y3A2
206	P49768
207	Q14692
208	O43257
209	CPX-2360
210	Q96LU5
211	P52435
212	Q9NV31
213	P61218
214	Q8N1F7
215	P61619
216	CPX-6002
217	O60832
218	CPX-4203
219	P15291
220	CPX-7601
221	O43837
222	Q9UJU2
223	Q86WC4
224	CPX-7724
225	P11277
226	Q8N122
227	0000225008
228	Q0VG06
229	CPX-4224
230	Q9UL45
231	O95825
232	O75818
233	P49790
234	Q9Y512
235	CPX-2368
236	CPX-26389
237	CPX-6413
238	Q9NV88
239	CPX-8073
240	CPX-2391
241	Q13489
242	P01130
243	CPX-25761
244	0000027121
245	CPX-271
246	CPX-1064
247	Q16623
248	Q96EH5
249	0000004631
250	CPX-1211
251	0000302750
252	Q9BS18
253	A0M8Q6
254	CPX-2327
255	CPX-8575
256	CPX-7530
257	CPX-6144
258	CPX-329
259	CPX-6199
260	Q9BPX6
261	P15313
262	CPX-2411
263	Q96M94
264	Q15007
265	CPX-2213
266	CPX-9204
267	CPX-6408
268	Q5T2S8
269	CPX-1845
270	Q16740
271	CPX-6405
272	Q15788
273	P42701
274	CPX-6642
275	CPX-5149
276	Q9GZN0
277	Q9NWB7
278	O00219
279	CPX-2498
280	CPX-624
281	CPX-6382
282	CPX-623
283	Q9NZ08
284	Q8IUR0
285	O43196
286	Q99549
287	CPX-8663
288	Q6NZ36
289	Q9HAW0
290	P28074
291	Q8NCN5
292	O60706
293	Q9UK61
294	URS00004A7003
295	Q9H0U3
296	CPX-8604
297	P43246
298	P41002
299	Q9Y376
300	P13671
301	Q6NUQ1
302	CPX-26404
303	CPX-2285
304	Q9NPF5
305	CPX-2129
306	O75306
307	P38398
308	CPX-6908
309	Q8N108
310	CPX-2387
311	Q99259
312	O95926
313	Q8N5C8
314	CPX-7142
315	CPX-2283
316	P19838
317	P14406
318	CPX-2770
319	P30049
320	Q92837
321	Q9H0K4
322	P52655
323	CPX-8556
324	Q8N684
325	CPX-8148
326	Q92878
327	P25786
328	URS0000704D22
329	Q92541
330	Q8N163
331	CPX-8571
332	P03986
333	Q9NZH7
334	Q9Y6K1
335	CPX-2612
336	CPX-8188
337	O75886
338	CPX-6956
339	Q9NXK8
340	Q9UN37
341	CPX-2310
342	CPX-7121
343	Q9BQ95
344	Q96MG7
345	P28749
346	CPX-8679
347	P48556
348	Q9NYJ8
349	Q8N668
350	CPX-2890
351	Q9NX20
352	O75771
353	CPX-4206
354	P02462
355	O95059
356	Q05586
357	O95996
358	P20701
359	CPX-26379
360	Q13185
361	Q8IYA8
362	CPX-130
363	Q9C0C2
364	Q86U42
365	Q9BVL2
366	CPX-6044
367	Q92890
368	P01127
369	Q9NPE3
370	O15151
371	O00268
372	Q9Y2D1
373	P35606
374	Q96DB9
375	Q07699
376	CPX-26449
377	P57740
378	CPX-2556
379	P48167
380	O60264
381	Q9Y6A1
382	CPX-2613
383	Q96EB6
384	P40763
385	P18850
386	Q13418
387	CPX-702
388	P56962
389	Q9ULR0
390	CPX-6603
391	Q92643
392	Q9UPT9
393	CPX-4225
394	Q8IYV9
395	Q9UKK3
396	Q9H4I0
397	Q93050
398	CPX-2005
399	Q9Y5N6
400	CPX-6522
401	CPX-70
402	CPX-2627
403	Q969P5
404	Q86W42
405	URS000080E36F
406	Q96Q05
407	P13804
408	Q92843
409	O43615
410	CPX-348
411	CPX-5842
412	CPX-8183
413	Q9NUP9
414	CPX-1783
415	O14682
416	P0DN86
417	CPX-6909
418	O14521
419	Q96LZ3
420	Q14494
421	CPX-7667
422	P69905
423	CPX-8902
424	P04839
425	CPX-915
426	Q99471
427	Q9Y3D7
428	CPX-8661
429	Q96EP0
430	P52292
431	CPX-6524
432	Q14203
433	CPX-9081
434	P08559
435	O15504
436	CPX-8865
437	Q9UM00
438	Q9H9S3
439	CPX-1993
440	CPX-8570
441	P38484
442	P68543
443	Q9P2W1
444	CPX-6175
445	Q6ZNK6
446	O75529
447	Q7L0Y3
448	CPX-9381
449	P42224
450	CPX-7341
451	P62910
452	CPX-9001
453	CPX-3073
454	P40227
455	P63010
456	CPX-715
457	P19387
458	CPX-5601
459	Q96DA6
460	P51946
461	CPX-9162
462	Q9NW64
463	CPX-2282
464	Q8NEB9
465	CPX-6412
466	Q8NAA4
467	CPX-6479
468	Q86X83
469	CPX-5834
470	CPX-2227
471	Q13426
472	Q13547
473	Q9UPY3
474	P41208
475	Q969H6
476	CPX-5635
477	P10643
478	Q9Y297
479	P98161
480	Q9NX63
481	O43818
482	Q9NQT4
483	P62081
484	P05121
485	Q13367
486	O75578
487	Q9Y6M9
488	0000009099
489	CPX-6271
490	P61353
491	CPX-1195
492	O95619
493	Q9BW11
494	P61599
495	Q13503
496	Q9NUG6
497	Q8TAF3
498	CPX-929
499	CPX-2513
500	Q9UM54
501	P54098
502	CPX-6910
503	O00168
504	CPX-6121
505	P63244
506	Q9P2I0
507	Q14160
508	P0C0L5
509	0000027833
510	Q86XM0
511	O43143
512	CPX-7162
513	O43684
514	Q9H4M3
515	CPX-2108
516	CPX-1201
517	CPX-1172
518	O94763
519	Q9H9G7
520	Q8IZF0
521	CPX-9022
522	CPX-25758
523	O95983
524	CPX-478
525	O94888
526	P60568
527	CPX-984
528	CPX-25720
529	Q8IZ40
530	Q6P1X5
531	CPX-8125
532	CPX-8088
533	CPX-1969
534	CPX-8693
535	P35232
536	CPX-2797
537	P25054
538	O75474
539	CPX-6528
540	P55212
541	CPX-2198
542	CPX-7014
543	P39019
544	Q9NYH9
545	Q14188
546	P51531
547	CPX-195
548	CPX-1991
549	P10070
550	0000021066
551	CPX-8174
552	Q14997
553	CPX-1216
554	Q69YN4
555	P62316
556	CPX-7111
557	O43463
558	P01589
559	O75436
560	CPX-9141
561	Q9Y5Q8
562	O14593
563	P49356
564	CPX-8731
565	Q13505
566	CPX-6416
567	Q9BQC3
568	O75394
569	Q96JP0
570	Q9NY46
571	Q9NZ32
572	CPX-273
573	CPX-8601
574	Q92993
575	Q13651
576	CPX-2621
577	CPX-1826
578	P19429
579	Q05DH4
580	CPX-8574
581	CPX-8169
582	CPX-1223
583	CPX-8724
584	P09132
585	O75691
586	P0CF51
587	CPX-6970
588	O94952
589	CPX-7509
590	CPX-10340
591	P56282
592	Q9UBQ0
593	Q53GS7
594	Q9Y291
595	O76003
596	P62841
597	O95876
598	CPX-2358
599	CPX-5381
600	Q6P5R6
601	Q13257
602	CPX-6468
603	P02549
604	Q9NR31
605	CPX-2538
606	Q9Y4W6
607	CPX-550
608	O14920
609	O95229
610	Q9P2J3
611	CPX-605
612	Q92839
613	P46977
614	CPX-7281
615	CPX-150
616	CPX-2868
617	0000027587
618	Q587J8
619	P33991
620	Q8TAQ2
621	P33402
622	Q96S44
623	Q9HD33
624	CPX-6404
625	URS000075D341
626	CPX-6527
627	Q9Y5Q3
628	Q9BQE9
629	Q96A33
630	CPX-2799
631	P61011
632	CPX-2323
633	P49406
634	0000450730
635	Q92562
636	Q1HG43
637	P02100
638	CPX-1202
639	O14782
640	CPX-3295
641	CPX-10313
642	O14807
643	CPX-7011
644	P15954
645	P54646
646	P20618
647	P0CAP2
648	Q8IU60
649	O00422
650	CPX-2428
651	CPX-8732
652	CPX-4943
653	CPX-6863
654	Q9NZJ6
655	P00846
656	CPX-1097
657	Q9P086
658	CPX-1170
659	CPX-7905
660	O75381
661	CPX-2317
662	Q9P2N5
663	Q9H3R5
664	CPX-8695
665	Q9UGJ0
666	CPX-5049
667	Q5VWG9
668	Q9BSI4
669	Q9Y3C7
670	Q9P2G3
671	Q96AH0
672	Q9Y333
673	CPX-439
674	Q96RQ1
675	Q8IX90
676	CPX-1777
677	CPX-6942
678	P60468
679	P09669
680	Q9UJJ9
681	CPX-1210
682	CPX-8144
683	CPX-25726
684	CPX-102
685	Q9P0M9
686	CPX-6966
687	O14893
688	CPX-5001
689	Q9BSH3
690	Q71SY5
691	CPX-2506
692	O95639
693	CPX-241
694	0000010930
695	CPX-8133
696	P04198
697	Q9NVH2
698	P54725
699	CPX-2489
700	Q15596
701	Q9NQS7
702	CPX-527
703	O14949
704	CPX-5989
705	Q9BVK8
706	Q14686
707	Q8N2C7
708	Q07817
709	O95169
710	P29083
711	CPX-3200
712	Q96RY7
713	Q9UKT7
714	Q04844
715	Q6P3S6
716	O60896
717	CPX-74
718	CPX-989
719	CPX-9206
720	P78537
721	P07919
722	Q9BZJ0
723	O76075
724	P31153
725	CPX-6665
726	Q9HBG4
727	CPX-885
728	Q9Y547
729	Q75QN2
730	P78316
731	P55884
732	CPX-5641
733	P42229
734	Q99543
735	P18510
736	CPX-7904
737	P28331
738	P13232
739	CPX-3905
740	0000000356
741	O00602
742	CPX-482
743	Q14527
744	O60939
745	CPX-8407
746	CPX-6224
747	CPX-26408
748	P62195
749	CPX-1781
750	Q9UKC9
751	P55735
752	P82933
753	P0C0L4
754	Q9NZN8
755	CPX-26373
756	O00411
757	Q99665
758	P56134
759	Q9UJW0
760	Q96IJ6
761	P49458
762	0000015302
763	CPX-26369
764	P45379
765	Q9BUV8
766	0000027579
767	O43482
768	Q00597
769	Q9Y3C6
770	CPX-1816
771	Q9UHV7
772	CPX-2668
773	Q9UKB1
774	CPX-8637
775	Q96Q15
776	0000015266
777	P41227
778	P43699
779	CPX-6153
780	0000005970
781	CPX-5901
782	P00156
783	Q5MNV8
784	CPX-7441
785	CPX-3138
786	P18124
787	CPX-7584
788	CPX-602
789	CPX-6784
790	CPX-6441
791	Q9UKT6
792	CPX-9086
793	O15213
794	P53677
795	CPX-6932
796	CPX-561
797	P83436
798	P48643
799	O00258
800	CPX-707
801	Q16695
802	Q9P2K3
803	CPX-8097
804	CPX-7965
805	P62304
806	P38117
807	Q8N488
808	Q9NXE8
809	CPX-6205
810	Q9NWS0
811	CPX-2180
812	CPX-5791
813	CPX-791
814	Q6TDP4
815	P26373
816	CPX-7971
817	CPX-688
818	CPX-945
819	P48454
820	P43307
821	CPX-7166
822	O94776
823	CPX-8674
824	CPX-7109
825	P58400
826	Q03188
827	Q9ULD6
828	Q6P2E9
829	P29400
830	Q86XK2
831	Q9UL46
832	P08579
833	P29460
834	P35659
835	O94905
836	Q71UM5
837	0000033797
838	Q9NQ92
839	Q9P2H3
840	Q8WWB5
841	Q9UK73
842	P11532
843	Q9Y230
844	Q96HW7
845	CPX-2540
846	CPX-6502
847	CPX-2782
848	Q9UJX3
849	O75586
850	CPX-7146
851	Q13084
852	CPX-2497
853	CPX-7966
854	P07814
855	Q99459
856	Q7RTV0
857	CPX-6094
858	CPX-7181
859	P62891
860	Q9P2X0
861	P01571
862	Q9Y5N5
863	P06400
864	CPX-2503
865	CPX-5843
866	CPX-10101
867	CPX-5996
868	CPX-2876
869	P50748
870	Q8N1L9
871	0000004571
872	Q9BQG0
873	CPX-117
874	Q49AN0
875	CPX-7202
876	CPX-6268
877	CPX-6365
878	CPX-7504
879	CPX-26469
880	Q9UL62
881	CPX-951
882	Q9HAP2
883	CPX-6470
884	Q15020
885	CPX-676
886	CPX-2435
887	P25789
888	O60220
889	CPX-6790
890	CPX-7641
891	Q9H5X1
892	CPX-26407
893	Q15021
894	O14908
895	CPX-8879
896	CPX-8095
897	Q96T91
898	Q9P0U1
899	P40692
900	O43290
901	O43929
902	P20333
903	O00311
904	CPX-2831
905	Q86SX6
906	P60059
907	CPX-2190
908	Q6NUS6
909	CPX-8442
910	Q9BTF0
911	CPX-880
912	P53420
913	CPX-2241
914	P14784
915	Q9HB29
916	Q8WUQ7
917	CPX-5044
918	CPX-395
919	CPX-722
920	Q9NQZ2
921	CPX-7143
922	Q9NV56
923	CPX-7098
924	CPX-9307
925	P61326
926	Q9NY27
927	Q5VZE5
928	Q8N9N2
929	P05386
930	CPX-514
931	CPX-8666
932	Q5VWK5
933	CPX-8834
934	CPX-8108
935	Q52LA3
936	CPX-8740
937	Q9GZP0
938	CPX-4402
939	O75528
940	CPX-6568
941	P61923
942	Q3B726
943	Q04637
944	CPX-1070
945	CPX-2203
946	Q15388
947	O00232
948	Q9UL63
949	P62312
950	CPX-8142
951	P01880
952	P29374
953	Q15018
954	P26715
955	Q5W0V3
956	Q5T653
957	Q9H808
958	O76031
959	Q53T94
960	CPX-785
961	Q14582
962	Q9H6S1
963	P36222
964	Q08945
965	CPX-383
966	Q9UKV5
967	M14387
968	CPX-1860
969	P62072
970	CPX-1779
971	Q15477
972	Q8N3R9
973	CPX-7068
974	Q9Y3E7
975	CPX-2954
976	Q5TBB1
977	CPX-503
978	Q9NSN8
979	CPX-6196
980	CPX-2403
981	Q9BVJ6
982	P49720
983	CPX-501
984	CPX-9442
985	P52701
986	CPX-6466
987	O60231
988	CPX-8085
989	Q92922
990	O75182
991	CPX-6082
992	CPX-197
993	CPX-7513
994	CPX-25716
995	P08865
996	P62241
997	CPX-6974
998	CPX-7205
999	CPX-7531
1000	CPX-6152
1001	CPX-69
1002	Q8NEV9
1003	P18074
1004	Q9NRG9
1005	CPX-9126
1006	Q9BYN8
1007	P05496
1008	Q9UNM6
1009	Q8TB52
1010	Q86SE9
1011	P48764
1012	CPX-8806
1013	P69892
1014	P46098
1015	CPX-1801
1016	Q15573
1017	CPX-346
1018	CPX-1147
1019	CPX-5971
1020	P49721
1021	Q00653
1022	CPX-6787
1023	Q2TBE0
1024	Q16531
1025	P60006
1026	Q96NY9
1027	Q99575
1028	Q2WGJ8
1029	Q16585
1030	P42575
1031	CPX-137
1032	CPX-3946
1033	O43913
1034	Q9NYV4
1035	O15541
1036	CPX-1203
1037	CPX-356
1038	CPX-2386
1039	Q96DV4
1040	O60894
1041	P05997
1042	Q96H22
1043	CPX-2505
1044	Q969U6
1045	Q9NPH9
1046	CPX-2515
1047	Q9BQQ3
1048	P04070
1049	O75380
1050	CPX-654
1051	Q75N03
1052	Q6ZRH7
1053	CPX-8870
1054	CPX-8631
1055	CPX-1062
1056	P15172
1057	P60602
1058	P56192
1059	CPX-2951
1060	CPX-21210
1061	P62829
1062	Q9HAJ7
1063	P02042
1064	Q6W2J9
1065	CPX-1063
1066	0000004545
1067	CPX-1920
1068	CPX-8606
1069	CPX-630
1070	Q9HAD4
1071	Q99643
1072	CPX-26382
1073	CPX-891
1074	CPX-1175
1075	CPX-26458
1076	0000367048
1077	Q9NPP4
1078	CPX-8672
1079	0000015821
1080	Q6AI39
1081	O60524
1082	P05026
1083	Q9BXW9
1084	Q9H8E8
1085	P62310
1086	Q15532
1087	P06702
1088	Q9NVD7
1089	CPX-7517
1090	P25398
1091	Q52LR7
1092	P61803
1093	O96007
1094	Q8TAT6
1095	P14770
1096	CPX-10161
1097	Q5T6S3
1098	CPX-26353
1099	P49005
1100	O43747
1101	O60573
1102	CPX-6233
1103	CPX-440
1104	CPX-5839
1105	Q92844
1106	CPX-6011
1107	CPX-6789
1108	P23415
1109	CPX-9881
1110	Q15459
1111	CPX-1313
1112	Q9BT25
1113	Q9UGJ1
1114	Q6I9Y2
1115	CPX-6177
1116	Q14103
1117	CPX-2500
1118	Q9UK45
1119	CPX-26381
1120	CPX-2542
1121	Q9H9A5
1122	Q9UKA1
1123	Q8IY18
1124	Q13619
1125	P05015
1126	Q16514
1127	CPX-6923
1128	Q15022
1129	O60749
1130	Q8NFH5
1131	CPX-2173
1132	Q8IXJ9
1133	Q14626
1134	P06746
1135	O43181
1136	Q86YP4
1137	P53803
1138	Q8IUZ0
1139	O15230
1140	P03952
